	Source_Dialogue	Reference	MT
45	Y-you're gonna wear out the spring coil.	छल्लेदार स्प्रिंग घिस जाएगी।	तू बर्फ के बर्फीले बर्फ के बर्फीले बर्फ के बर्फीले बर्फ के बर्फीले बर्फ के बर्फीले बर्फ के बर्फीले बर्फ के बर्फीले बर्फ के बर्फीले बर्फ के बर्फीले बर्फ के बर्फीले बर्फ के बर्फीले बर्फ के बर्फीले बर्फ के बर्फीले बर्फ के बर्फीले बर्फ के बर्फीले बर्फ के बर्फीले बर्फ के बर्फी
46	I don't know.	मैं नहीं जानता.	मैं नहीं जानता।
47	Korean (_UHC)	कोरियाई (_UHC)	कोरियाई (_UHC)
48	No. You know what I'm gonna do for you?	नहीं, तुम्हें पता है मैं तुम्हारे लिए क्या कर रहा हूँ पता है क्या?	नहीं। आपके लिए मैं क्या करूंगा?
49	If you ask them, ‘Who created the heavens and the earth?’ they will surely say, ‘Allah.’ Say, ‘Have you considered what you invoke besides Allah? Should Allah desire some distress for me, can they remove the distress visited by Him? Or should He desire some mercy for me, can they withhold His mercy?’ Say, ‘Allah is sufficient for me. In Him let all the trusting put their trust.’	"यदि तुम उनसे पूछो कि ""आकाशों और धरती को किसने पैदा किया?"" को वे अवश्य कहेंगे, ""अल्लाह ने।"" कहो, ""तुम्हारा क्या विचार है? यदि अल्लाह मुझे कोई तकलीफ़ पहुँचानी चाहे तो क्या अल्लाह से हटकर जिनको तुम पुकारते हो वे उसकी पहुँचाई हुई तकलीफ़ को दूर कर सकते है? या वह मुझपर कोई दयालुता दर्शानी चाहे तो क्या वे उसकी दयालुता को रोक सकते है?"" कह दो, ""मेरे लिए अल्लाह काफ़ी है। भरोसा करनेवाले उसी पर भरोसा करते है।"""	"अगर आप उनसे पूछें, ""आकाश और पृथ्वी के निर्माता कौन हैं?"" तो वे निश्चित रूप से कहेंगे, ""अल्लाह।"" कहिए, ""आप अल्लाह के अलावा कुछ भी आराधना करते हैं, तो अल्लाह अपने द्वारा मेरे ऊपर दुःख बर्बर करे, तो वे अपने द्वारा मेरे ऊपर दुःख देने वाले को हटा सकते हैं नहीं? या अल्लाह मेरे"
50	"So when her husband saw his shirt torn from the back, he said, ""Indeed, it is of the women's plan. Indeed, your plan is great."	"फिर जब देखा कि उसका कुर्ता पीछे से फटा है तो उसने कहा, ""यह तुम स्त्रियों की चाल है। निश्चय ही तुम्हारी चाल बड़े ग़ज़ब की होती है"	"तो जब उसके पति ने देखा कि उसका शर्ट पीछे से टूट गया, तो उसने कहा, ""प्रभु, यह महिलाओं के योजना के है। अपना योजना बहुत बड़ी है।"""
51	Show field i_n View	दृश्य में क्षेत्र दिखायें (_n)	फ़ील्ड i_n देखें
52	Thanks. I think.	शुक्रिया, मेरे खयाल से।	धन्यवाद। मैं सोचता हूँ।
53	Maybe the even the shroud itself, everything.	शायद यह भी कफन ही, सब कुछ.	शायद आवश्यकता हो सकती है कि आवागमन के आवश्यकता हो सकती है कि आवागमन के आवश्यकता हो सकती है कि आवागमन के आवश्यकता हो सकती है कि आवागमन के आवश्यकता हो सकती है कि आवागमन के आवश्यकता हो सकती है कि आवागमन के आवश्यकता हो सकती है कि आवागमन के आवश्यकता हो सकती है कि आवागमन के आवश्यकता हो सकती है कि
54	I've seen pushing carts around army camps making grand claims about jars full of pig shit...	मैं सेना शिविरों के आसपास गाड़ियां धक्का देखा है सुअर गंदगी से भरा जार के बारे में भव्य दावा कर ...	मेरे ने अर्मी कैंप में ट्रैक्टर चलाने वालों को देखा है जो बर्तनों में बकरी के दूध के बजाय पौधों के बर्तन भरे हुए बताते हैं।
55	Add	जोड़ें	जोड़ें
56	As an example I have handed over my blog posting rights to a free speech	अपने ब्लॉग अंतर्राष्ट्रीय रिपोर्टरों और चिट्ठाकारों के सुपुर्द कर उन्हें जारी रखें।	उदाहरण के लिए, मैंने मेरे ब्लॉग पोस्टिंग के अधिकारों को आزاد बोलचाल के लिए सौंप दिए हैं।
57	_Next	अगला (_N)	अगला
58	You are in Cape Canaveral and you are Head of Mission Control.	आप केप केनवरल में हैं और आप मिशन कंट्रोल के प्रमुख हैं.	आप केप कैनवेरल में हैं और आप मिशन कंट्रोल के अध्यक्ष हैं।
59	It produces its fruit all the time, by permission of its Lord. And Allah presents examples for the people that perhaps they will be reminded.	अपने रब की अनुमति से वह हर समय अपना फल दे रहा हो। अल्लाह तो लोगों के लिए मिशालें पेश करता है, ताकि वे जाग्रत हों	यह हमेशा अपने आपके आपत्ति के साथ फल उत्पन्न करता है। और ईश्वर लोगों के लिए उदाहरण प्रस्तुत करता है ताकि वे आश्चर्यचकित हो जाएं।
60	All that is in the heavens and the earth glorify God. He is Majestic and All-wise.	जो जो चीज़ सारे आसमान व ज़मीन में है सब ख़ुदा की तसबीह करती है और वही ग़ालिब हिकमत वाला है	हेवन और पृथ्वी में सभी आत्मा आराधना करते हैं। वह अत्यंत शक्तिशाली और ज्ञानी है।
61	- It does not matter where she is.	- यह कोई फर्क नहीं पड़ता है जहाँ वह है।	- वह कहाँ भी हो सकती है।
62	Reload current file	री-लोड फ़ाइल	वर्तमान फ़ाइल पुनः लोड करें
63	Ignorance is not the same... as innocence.	अज्ञान में ही नहीं है ... मासूमियत के रूप में।	अज्ञान असत्य नहीं होता... अपवित्रता।
64	Proceed	आगे बढ़ें	जारी रहो
65	But to your Lord is the return.	निश्चय ही तुम्हारे रब ही की ओर पलटना है	लेकिन आपके ईश्वर के लिए वापस आना है।
66	- Did you file the football yet?	- अगर आप अभी तक फुटबॉल दायर की थी?	- आपने फुटबॉल को अभी भेज दिया है कि नहीं?
67	Clock	घड़ीName	घड़ी
68	Dumpling Squad!	डंपलिंग दल!	डंपिंग स्क्वेड!
69	And say: We (now) believe therein. But how can they reach (faith) from afar off,	"और कहेंगे, ""हम उसपर ईमान ले आए।"" हालाँकि उनके लिए कहाँ सम्भव है कि इतने दूरस्थ स्थान से उसको पास सकें"	और कहो: हम इसमें आशा करते हैं। लेकिन वे दूर से फ़िक्र तक पहुंच सकते हैं कैसे?
70	Yahoo! Japan	Yahoo! Japan	याहू जापान
71	SciDev.Net's conference blog reports that:	नेट के सम्मेलन ब्लॉग ने रपट दी:	साइडेव नेट के कांग्रेस ब्लॉग के रिपोर्ट के अनुसार:
72	_Contents	विषय सूची (_C)	अंतराल विवरण
73	WITH THAT, THEY COULD PUT HIM AT THE JOB.	उस के साथ, वे काम पर उसे डाल सकता है.	उसके साथ उसे नौकरी के लिए रख सकते थे।
74	Attachment Reminder	संलग्नक स्मारक	संलग्न आवश्यकता
75	What rifles? You got a Chink with a sword and a buncha juggling idiots.	आप एक तलवार और जादू बेवकूफों का एक गुच्छा के साथ एक झनझन मिला.	कौन से रिफल्स? आपके पास एक चीनी लड़का है, जिसके पास एक बल्ला और एक बूती लड़के के साथ है।
76	He will send down abundant rain from the sky for you,	(और) तुम पर आसमान से मूसलाधार पानी बरसाएगा	उसे आपके लिए आकाश से अधिक बरसात भेजेगा।
77	There are no songs to write to disc	डिस्क में लिखने के लिए कोई गीत नहीं है	कोई गीत लिखने के लिए नहीं हैं।
78	I've tried thinking and reading about all sorts of different things.	मैंने बहुत-सी चीज़ों के बारे में सोचने और पढ़ने की कोशिश की है.	मैंने अपने चिंतन और पाठ द्वारा विभिन्न विषयों के बारे में काफी सोचा और पढ़ा है।
79	The event could not be deleted due to an error: %s	एक त्रुटि के कारण कार्यक्रम विलोपित नहीं किया जा सका: %s	कार्यक्रम को डिलीट नहीं किया जा सका कारण एक त्रुटि: %s
80	The past three have seen hundreds of new blogs and forums.	पिछले तीन वर्षों में सैकड़ों नए ब्लॉग और फ़ोरम बने हैं.	पिछले तीन में से सैकड़ों नए ब्लॉग और फोरम देखे गए हैं।
81	The door was open, and he saw this crazy woman in the bathtub.	दरवाजा खुला था, और उसने बाथ टब में उस पागल औरत को देखा.	दरवाजा खुला था, और वह बाथरूम में इस बेकाबू महिला को देख रहा था।
82	You're late, pretty boy.	तुम देर से, सुंदर लड़के हैं.	अच्छा, आप देर हो गए हो।
83	And I don't want to work with you.	और मैं तुम्हारे साथ काम करने के लिए नहीं करना चाहती.	और मैं तुमसे काम नहीं करना चाहता।
84	Battery at warning level	बैटरी चेतावनी स्तर पर हैComment	बैटरी चेतावनी स्तर पर
85	Let me hear a massive cheer for getting Climate Camp 2009 started!	मुझे ज़ोर से हर्षध्वनी सुनाई देनी चाहिए, क्लाइमेट कैम्प 2009 को आरम्भ करने के लिए	मुझे आवाज देना चाहिए कि क्लाइमेट कैंप 2009 के शुरू होने पर एक बड़ा विजय आवाज लगे!
86	_Image	छवि (_I)	छवि
87	Open the selected image with a different application	चयनित छवि भिन्न अनुप्रयोग से खोलें	एक अलग एप्लिकेशन से चुनी गई छवि खोलें
88	Your creation and your upraising are as but as a single soul. God is All-hearing, All-seeing.	तुम सबका पैदा करना और फिर (मरने के बाद) जिला उठाना एक शख्स के (पैदा करने और जिला उठाने के) बराबर है बेशक ख़ुदा (तुम सब की) सुनता और सब कुछ देख रहा है	आपके निर्माण और आपके उन्नति के लिए एक ही आत्मा के बराबर हैं। ईश्वर सभी के सुनने वाला और सभी के देखने वाला है।
89	"""And O my people! I fear for you a Day when there will be Mutual calling (and wailing),-"	और ऐ मेरी क़ौम के लोगो! मुझे तुम्हारे बारे में चीख़-पुकार के दिन का भय है,	"""और मेरे लोगो! मेरे लिए आपके लिए एक दिन की भयंकर चिंता है जब आप एक दूसरे को बुलाएंगे और आवाज उठाएंगे—"""
90	If Hasan Khan's security has been compromised, then it is a very serious matter.	अगर हसन खान की सुरक्षा के साथ समझौता किया गया है तो यह बहुत गंभीर बात है।	अगर हसान कैन की सुरक्षा बर्बरात कर दी गई हो, तो यह बहुत गंभीर बात होगी।
91	He said: Lo! I fain would marry thee to one of these two daughters of mine on condition that thou hirest thyself to me for (the term of) eight pilgrimages. Then if thou completest ten it will be of thine own accord, for I would not make it hard for thee. Allah willing, thou wilt find me of the righteous.	(और इनमें दोनों बातें पायी जाती हैं तब) शुएब ने कहा मै चाहता हूँ कि अपनी दोनों लड़कियों में से एक के साथ तुम्हारा इस (महर) पर निकाह कर दूँ कि तुम आठ बरस तक मेरी नौकरी करो और अगर तुम दस बरस पूरे कर दो तो तुम्हारा एहसान और मै तुम पर मेहनत मशक्क़त भी डालना नही चाहता और तुम मुझे इन्शा अल्लाह नेको कार आदमी पाओगे	उसने कहा: देख! मैं तुझे अपनी इन दो बेटियों में से एक से विवाह कराऊंगा, लेकिन तुम अपना धन देकर मुझे आठ तिरंगों के लिए नियमित रूप से आवश्यकता के लिए देकर ले लो। फिर अगर तुम दस तिरंगों तक पहुंच जाओगे, तो यह तुम्हारा स्वयं कर लिया जाएगा, क्योंकि मैं तुम्हें कठिन नहीं करना च
92	You got paint on you.	तुम्हारे रंग लग गया है.	आपके पर रंग लग गया है।
93	Hello, my name is Dick Hallorann.	नमस्ते, मेरा नाम डिक हैलोरन है.	नमस्ते, मेरा नाम डिक हैलोरन है।
94	We are the best Knower of that which they say, and thou art not over them over them tyrant. Wherefore admonish thou by the Qur'an him who feareth My threat.	हम जानते है जो कुछ वे कहते है, तुम उनपर कोई ज़बरदस्ती करनेवाले तो हो नहीं। अतः तुम क़ुरआन के द्वारा उसे नसीहत करो जो हमारी चेतावनी से डरे	हम उन बातों के सबसे अच्छे जानकार हैं जिनके बारे में वे कहते हैं, और तू उनके ऊपर त्याग नहीं हो सकता। इसलिए अपने आप को मेरे डर के लिए आह्वान कर।
95	Bhairava!	भैरवा!	भैरव!
96	If my dad could see me now...	यदि मेरे पिता अब मुझे देख सकता था...	अगर मेरा पिता अब मेरे सामने देख सकता है...
97	Tet's offline in 15 minutes.	15मिनटमेंTet केऑफ़लाइन	टेट बाहर निकल जाएगा 15 मिनट में।
98	..that we're going to be blessed with a girl instead of useless boys.	..that हम बेकार लड़के के बजाय एक लड़की के साथ धन्य हो जा रहे हैं।	जो कि हमें एक लड़की बर्बर लड़कों के स्थान पर दिलाई जाएगी।
99	Add	जोड़ें (d)	जोड़ें
100	L have your child.	मैं अपने बच्चे है.	मैं आपके बच्चे को रख लेता हूं।
101	Tweedledee and Tweedledum went out the door, and in came Tweedle Dumb and Dumber.	दोनों नाकारा लोगों को दरवाज़ा दिखाया गया... और आए दो और नाकारा लोग।	ट्वीडलीडी और ट्वीडलेडम बाहर निकल गए, और बाहर से आए ट्वीडल डंब और डंबर।
102	And glorify His Praises morning and afternoon [the early morning (Fajr) and 'Asr prayers].	और प्रातःकाल और सन्ध्या समय उसकी तसबीह करते रहो -	और सुबह और दोपहर (फजर और असर नमाज) में उसके ताल्मेज की आह्वान करो।
103	2O million pounds.	2O लाख पाउंड.	20 लाख पाउंड।
104	Exaltations be to the Lord of the heavens and the earth, the Lord of the Throne, above that which they describe'	"आकाशों और धरती का रब, सिंहासन का स्वामी, उससे महान और उच्च है जो वे बयान करते है।"""	स्तुति करो ईश्वर को, आकाश और भूतल के ईश्वर, आस्थान के ईश्वर, जो वे वर्णित करते हैं उससे ऊपर हो।
105	- You need a time-out!	- तुम्हें अकेले रहना चाहिए!	- आपको एक टाइम-आउट चाहिए!
106	%s (%s)	%s (%s)	% s (% s)
107	I have been expecting you Captain. Perhaps you would like some tea.	मैं तुम्हारे लिए इंतजार कर रहा था कप्तान- शायद आपको कुछ चाय पसंद है?	कप्तान, आपके आने की उम्मीद थी। आप चाय ले सकते हैं।
108	Allah and His angels praise and venerate the Prophet. Believers, praise and venerate him and pronounce peace upon him in abundance.	इसमें भी शक नहीं कि खुदा और उसके फरिश्ते पैग़म्बर (और उनकी आल) पर दुरूद भेजते हैं तो ऐ ईमानदारों तुम भी दुरूद भेजते रहो और बराबर सलाम करते रहो	अल्लाह और उसके आंखों के देवता नबी की तारीफ करते हैं और उसकी भक्ति करते हैं। विश्वास वालों, उसकी तारीफ करो और उसकी भक्ति करो और उसके लिए अत्यधिक शांति बरकत ब्रह्मचर्य बरकत ब्रह्मचर्य बरकत ब्रह्मचर्य बरकत ब्रह्मचर्य बरकत ब्रह्मचर्य बरकत ब्रह्मचर्य बरकत ब्रह्मचर्य बरकत ब्र
109	No, I'm in the middle of something.	नहीं, मैं कुछ के बीच में हूँ.	नहीं, मैं कुछ बात के मध्य में हूँ।
110	The action, 16th of December, where NGOs and small nations and countries, all sorts of people from inside the conference...	16 दिसम्बर की कार्यवाही जिसमें एन. जी.	कार्यक्रम, 16 दिसंबर के, जहां अंतरराष्ट्रीय संगठनों और छोटे देशों और देशों, सभी प्रकार के लोग बैठे हुए थे अंतरराष्ट्रीय सम्मलेन में...
111	After that, surely, you will die.	फिर तुम अवश्य मरनेवाले हो	उसके बाद, निश्चित रूप से, आप मर जाएंगे।
112	[man speaking native language]	[पुरुष अपनी मातृभाषा में बोल रहा है]	[मन बोलता हुआ विदेशी भाषा]
113	#As the earth turns and the summer's all gone#	# दिखाएँ # पर चला जाता है पृथ्वी बदल जाता है और गर्मियों के सभी # रूप में चला गया	#भूमि घूमती जाती है और गर्मी के सब खत्म हो जाते हैं#
114	Do they wait for any thing but the Hour (of change), that it may come upon them suddenly? Its signs have already appeared. How then will they be warned when it has come upon them?	तो क्या ये लोग बस क़यामत ही के मुनतज़िर हैं कि उन पर एक बारगी आ जाए तो उसकी निशानियाँ आ चुकी हैं तो जिस वक्त क़यामत उन (के सर) पर आ पहुँचेगी फिर उन्हें नसीहत कहाँ मुफीद हो सकती है	क्या वे केवल घटना (समय) के लिए इंतेक करते हैं, जो उन पर तेजी से आएगा? इसके लक्षण ले चुके हैं। तो फिर जब यह उन पर आ जाएगा, तो वे कैसे चेतावनी मिलेगी?
115	"""In rhapsody that day As a whiplash today"""	"""धुन में उस दिन एक चोट आज के रूप में"""	"""उस दिन रंजन के रूप में, आज एक बाजू के टंगा"""
116	Start date invalid.	आरंभिक तारीख अवैध है.	शुरुआती तारीख अमान्य है।
