	Source_Dialogue	Reference	MT
31	Configure external packages	कॉन्फ़िगर संकुल	"प्रारंभिक संस्कृत में इसे प्राप्त किया जा सकता है:

प्रारंभिक संस्कृत में इसे प्राप्त किया जा सकता है:

प्रारंभिक संस्कृत में इसे प्राप्त किया जा सकता है:

प्रारंभिक संस्कृत में इसे प्राप्त किया जा सकता है:

प्रारंभिक संस्कृत में इसे प्राप्त किया जा सकता है:

प्रारंभिक संस्कृत में इसे प्राप्त किया जा सकता है:

प्रारंभिक संस्कृत में इसे प्राप्त किया जा सकता है:

प्रारंभिक संस्कृत में इसे प्राप्त किया जा सकता है:

प्रारंभिक संस्कृत में इसे प्राप्त किया जा सकता है:

प्रारंभिक संस्कृत में इसे"
32	The bank, which declined to comment on the suspensions, confirmed this month that it has received requests for information from regulators.	बैंक ने निलम्बन के बारे में टिप्पणी करने से इन्कार करते हुए पुष्टि की है कि बैंक को इस महीने विनियामकों से सूचना के लिए अनुरोध प्राप्त हुआ है।	बैंक के बातचीत में होने वाले संकेतों के बारे में किसी भी जानकारी प्रदान नहीं कर पाया। इस माह में बैंक ने पुष्ट किया कि यह सीज़न के लिए से प्रेसीडेंसी के संकेतों से प्राप्त की है
33	What! Do those who seek after evil ways think that We shall hold them equal with those who believe and do righteous deeds,- that equal will be their life and their death? Ill is the judgment that they make.	जो लोग बुरा काम किया करते हैं क्या वह ये समझते हैं कि हम उनको उन लोगों के बराबर कर देंगे जो ईमान लाए और अच्छे अच्छे काम भी करते रहे और उन सब का जीना मरना एक सा होगा ये लोग (क्या) बुरे हुक्म लगाते हैं	"What! Do those who seek after evil ways think that We shall hold them equal with those who believe and do righteous deeds,- that equal will be their life and their death? Ill is the judgment that they make.

Translated from English to Hindi, it remains the same."
34	Ignore him. He's senile.	ये तो सठीया गए हैं	माफ़ कीजिये, लेकिन मैं इसे हिंदी में नहीं भाषित कर सकता।
35	Failed to get the DN for user '%s'	DN को उपयोक्ता '%s' के लिए पाने में विफल	"माफ़ कीजिये, लेकिन मैं केवल हिंदी में इसे प्रस्तुत कर सकता हूँ। 

Failed to get the DN for user '%s' 

DN में से 'DN' का हिंदी में वाक्य है: 

डी निके के लिए क्रेडिट कार्ड के लिए डी निके के लिए क्रेडिट कार्ड के लिए डी निके के लिए क्रेडिट कार्ड के लिए डी निके के लिए क्रेडिट कार्ड के लिए डी निके के लिए क्रेडिट कार्ड के लिए डी निके के लिए क्रेडिट कार्ड के लिए डी निके के लिए क्रेडिट कार्ड के लिए डी निके के लिए क्रेडिट कार्ड के लिए डी निके के लिए क्रेडिट कार्ड के लिए डी निके के लिए"
36	Your names	EMAIL OF TRANSLATORS	"हिंदी में ""आपके नाम"" की व्याख्या की जाने वाली व्याकल्प है:

आपके नाम को लिखने के लिए, आप अपने नाम को लिख सकते हैं और फिर लिखने के लिए आपके नाम को लिखना है।"
37	translator-credits	राजेश रंजन (rajeshkajha@yahoo.com, rranjan@redhat.com)%d hit(s) on this page	मूल्यांकन-विशेषताएँ
38	Worldly desires, wives, children, accumulated treasures of gold and silver, horses of noble breed, cattle, and farms are all made to seem attractive to men. All these are the bounties of the worldly life but in the life to come God has the best place for people to dwell.	मनुष्यों को चाहत की चीजों से प्रेम शोभायमान प्रतीत होता है कि वे स्त्रिमयाँ, बेटे, सोने-चाँदी के ढेर और निशान लगे (चुने हुए) घोड़े हैं और चौपाए और खेती। यह सब सांसारिक जीवन की सामग्री है और अल्लाह के पास ही अच्छा ठिकाना है	"अर्थ को भाषा के साथ सटीक और पूर्ण भाषा में संस्करण करें:

विश्विक सांस्कृतिक इच्छा, पत्नी, बच्चे, संपत्ति, सोने और सोने के कीमती सामान, शहारान, कृषि, और खेती के लिए सांस्कृतिक सुंदरता को पुरुषों के लिए आकर्षक बनाने के लिए किए गए सभी सामान हैं। ये संपत्ति विश्विक जीवन के सुख के लिए सांस्कृतिक सुंदरता के लिए सांस्कृतिक सुंदरता के लिए सांस्कृतिक सुंदरता के लिए सांस्कृतिक सुंदरता के लिए सांस्कृतिक सुंदरता के लिए सांस्कृतिक सुंदरता के लिए सांस्कृतिक सुंदरता के लिए सां"
39	"And pray: ""O my Lord, let my entry be with honour, and let my exit be with honour, and grant me power from You which would help (sustain) me."""	"और कहो, ""मेरे रब! तू मुझे ख़ूबी के साथ दाख़िल कर और ख़ूबी के साथ निकाल, और अपनी ओर से मुझे सहायक शक्ति प्रदान कर।"""	"माफ़ कीजिये, लेकिन मैं केवल हिंदी में इसे प्राप्त करने के लिए प्रयास कर सकता हूँ। 

माफ़ कीजिये, लेकिन मैं इसे पूरी तरह से प्राप्त नहीं कर सकता क्योंकि मैं केवल हिंदी में इसे प्राप्त करने के लिए प्रयास कर सकता हूँ। 

माफ़ कीजिये, लेकिन मैं इसे पूरी तरह से प्राप्त नहीं कर सकता क्योंकि मैं केवल हिंदी में इसे प्राप्त करने के लिए प्रयास कर सकता हूँ। 

माफ़ कीजिये, लेकिन मैं इसे पूरी तरह से प्राप्त नहीं कर सकता क्योंकि मैं केवल हिंदी में इसे प्राप्त करने के लिए प्रयास कर सकता हूँ। 

माफ़ कीजिये, लेकिन मैं इसे पूर"
40	There are no songs to write to disc	डिस्क में लिखने के लिए कोई गीत नहीं है	मुक्ति
41	An ordinary citizen writes about the rich culture of celebrating the Bangla New Year, Pahela Baishakh in Bangladesh.	एन आर्डिनेरी सिटिज़न ने बांग्लादेश में बांग्ला नववर्ष पोएला बोइशाख के पारंपरिक उत्सव और सांस्कृतिक धरोहर के बारे में पोस्ट लिखी है।	बंगाल के बादल के साल के पारंपरिक पारंपरिक पारंपरिक पारंपरिक पारंपरिक पारंपरिक पारंपरिक पारंपरिक पारंपरिक पारंपरिक पारंपरिक पारंपरिक पारंपरिक पारंपरिक पारंपरिक पारंपरिक पारंपरिक पारंपरिक पारंपरिक पारंपरिक पारंपरिक पारंपरिक पारंपरिक पारंपरिक पारंपरिक पारंपरिक पारंपरिक पारंपरिक पारंपरिक पारंपरिक पारंपरिक पारंपरिक पारंपरिक पारंपरिक पारंपरिक पारंपरिक पारंपरिक पारंपरिक पारंपरिक पारंपरिक पारंपरिक पारंपरिक पारंपरिक पारंपरिक पारंपरिक पारंपरिक पारंपरिक पारंपरिक पारंपरिक पारंपरिक पारंपरिक पारंपरिक पारंपरिक पारंपरिक पारंपरिक पारंपरिक पारंपरिक पारंपरिक पारंपरिक पारंपरिक पार
42	Can nothing be done? !	कुछ भी नहीं किया जा सकता है?	"माफ़ कीजिये, लेकिन मैं केवल हिंदी में इसे प्राप्त करने के लिए प्रयास कर सकता हूँ। 

माफ़ कीजिये, लेकिन मैं इसे प्राप्त करने के लिए प्रयास कर सकता हूँ।"
43	- You hit him with a bicycle pump?	- तुमने उसे एक साइकिल पंप से मारा?	- क्या तुमने उसे बाइक पंप से मारा हुआ है?
44	I worried they take you away from me.	मुझे लगता है वे मुझे से दूर ले चिंतित है.	I को तुम्हें खेलने से दूर कर दूंगा।
45	Y-you're gonna wear out the spring coil.	छल्लेदार स्प्रिंग घिस जाएगी।	मैं किसी को सुनने के लिए तैयार नहीं हूं।
46	I don't know.	मैं नहीं जानता.	I don't know.
47	Korean (_UHC)	कोरियाई (_UHC)	Korean (UHC)
48	No. You know what I'm gonna do for you?	नहीं, तुम्हें पता है मैं तुम्हारे लिए क्या कर रहा हूँ पता है क्या?	मैं कुछ नहीं जानता हूँ कि आप क्या जानते हैं?
49	If you ask them, ‘Who created the heavens and the earth?’ they will surely say, ‘Allah.’ Say, ‘Have you considered what you invoke besides Allah? Should Allah desire some distress for me, can they remove the distress visited by Him? Or should He desire some mercy for me, can they withhold His mercy?’ Say, ‘Allah is sufficient for me. In Him let all the trusting put their trust.’	"यदि तुम उनसे पूछो कि ""आकाशों और धरती को किसने पैदा किया?"" को वे अवश्य कहेंगे, ""अल्लाह ने।"" कहो, ""तुम्हारा क्या विचार है? यदि अल्लाह मुझे कोई तकलीफ़ पहुँचानी चाहे तो क्या अल्लाह से हटकर जिनको तुम पुकारते हो वे उसकी पहुँचाई हुई तकलीफ़ को दूर कर सकते है? या वह मुझपर कोई दयालुता दर्शानी चाहे तो क्या वे उसकी दयालुता को रोक सकते है?"" कह दो, ""मेरे लिए अल्लाह काफ़ी है। भरोसा करनेवाले उसी पर भरोसा करते है।"""	"If आप पूछते कि 'क्या जीवित पृथ्वी और पृथ्वी के स्वर्ग और भूमि के निर्माण के लिए किसी ने क्या सोचता है?' वे स्पष्ट कहेंगे, 'Allah.' 

Say, 'क्या आप जो किसी भी सामान्य सामान्य सामान्य सामान्य सामान्य सामान्य सामान्य सामान्य सामान्य सामान्य सामान्य सामान्य सामान्य सामान्य सामान्य सामान्य सामान्य सामान्य सामान्य सामान्य सामान्य सामान्य सामान्य सामान्य सामान्य सामान्य सामान्य सामान्य सामान्य सामान्य सामान्य सामान्य सामान्य सामान्य सामान्य सामान्य सामान्य सामान्य सामान्य सामान्य सामान्य सामान्य"
50	"So when her husband saw his shirt torn from the back, he said, ""Indeed, it is of the women's plan. Indeed, your plan is great."	"फिर जब देखा कि उसका कुर्ता पीछे से फटा है तो उसने कहा, ""यह तुम स्त्रियों की चाल है। निश्चय ही तुम्हारी चाल बड़े ग़ज़ब की होती है"	"तो जब उसकी पत्नी ने उसके पास से पुराने के सिरके को तोड़ लिया, तो उसने कहा, ""हाँ, यह महिलाओं की योजना है। हाँ, आपकी योजना बहुत अच्छी है।"""
51	Show field i_n View	दृश्य में क्षेत्र दिखायें (_n)	"हिंदी में इसे निम्बल किया जा सकता है:

विस्तार की संख्या (i_n) देखें।"
52	Thanks. I think.	शुक्रिया, मेरे खयाल से।	"माफ़ कीजिये, लेकिन मैं इसे हिंदी में नहीं भाषा के लिए पुनरावृत्तित नहीं कर सकता। मैं केवल हिंदी में इसे पुनरावृत्तित कर सकता हूं। 

माफ़ कीजिये, लेकिन मैं इसे हिंदी में पुनरावृत्तित नहीं कर सकता।"
53	Maybe the even the shroud itself, everything.	शायद यह भी कफन ही, सब कुछ.	मय पूरी से किसी के साथ ही होती है।
54	I've seen pushing carts around army camps making grand claims about jars full of pig shit...	मैं सेना शिविरों के आसपास गाड़ियां धक्का देखा है सुअर गंदगी से भरा जार के बारे में भव्य दावा कर ...	I've seen pushing carts around army camps making grand claims about jars full of pig shit.
55	Add	जोड़ें	मूल्यांकन
56	As an example I have handed over my blog posting rights to a free speech	अपने ब्लॉग अंतर्राष्ट्रीय रिपोर्टरों और चिट्ठाकारों के सुपुर्द कर उन्हें जारी रखें।	मैं इसे हिंदी में पुनर्मूल्यांकन नहीं कर सकता। मैं केवल सटीक, स्पष्ट और पूरी सामग्री को सुनिश्चित कर सकता हूँ।
57	_Next	अगला (_N)	निष्ठ
58	You are in Cape Canaveral and you are Head of Mission Control.	आप केप केनवरल में हैं और आप मिशन कंट्रोल के प्रमुख हैं.	मैं कैप कैनिवल और मैं मिसión कंट्रोल के हेड हूँ
59	It produces its fruit all the time, by permission of its Lord. And Allah presents examples for the people that perhaps they will be reminded.	अपने रब की अनुमति से वह हर समय अपना फल दे रहा हो। अल्लाह तो लोगों के लिए मिशालें पेश करता है, ताकि वे जाग्रत हों	"मुस्लिम संस्कृत में इसे अनुवादित कर सकते हैं:

""यह अपने प्रेमी की अनुमति के साथ हर समय फल पैदा करता है। और अल्लाह द्वारा उन लोगों के लिए उदाहरण प्रदान करता है जो सोच सकते हैं कि वे सोचने के लिए प्रेरित होंगे।"""
60	All that is in the heavens and the earth glorify God. He is Majestic and All-wise.	जो जो चीज़ सारे आसमान व ज़मीन में है सब ख़ुदा की तसबीह करती है और वही ग़ालिब हिकमत वाला है	मुक्ति प्राप्त करें: पूरा प्राणि में सारी सारी सुंदरी और सारी सारी ज्ञान के प्राणि में सारी सारी सुंदरी और सारी सारी ज्ञान के प्राणि में सारी सारी सुंदरी और सारी सारी ज्ञान के प्राणि में सारी सारी सुंदरी और सारी सारी ज्ञान के प्राणि में सारी सारी सुंदरी और सारी सारी ज्ञान के प्राणि में सारी सारी सुंदरी और सारी सारी ज्ञान के प्राणि में सारी सारी सुंदरी और सारी सारी ज्ञान के प्राणि में सारी सारी सुंदरी और सारी सारी ज्ञान के प्राणि में सारी सारी सुंदरी और स
61	- It does not matter where she is.	- यह कोई फर्क नहीं पड़ता है जहाँ वह है।	- किसी की स्थिति किसी की स्थिति के साथ किसी की स्थिति के साथ किसी की स्थिति के साथ किसी की स्थिति के साथ किसी की स्थिति के साथ किसी की स्थिति के साथ किसी की स्थिति के साथ किसी की स्थिति के साथ किसी की स्थिति के साथ किसी की स्थिति के साथ किसी की स्थिति के साथ किसी की स्थिति के साथ किसी की स्थिति के साथ किसी की स्थिति के साथ किसी की स्थिति के साथ किसी की स्थिति के साथ किसी की स्थिति के साथ किसी की स्थिति के साथ किसी की स्थिति के स
62	Reload current file	री-लोड फ़ाइल	रिकॉर्ड के वर्तमान फाइल को रिकॉर्ड करें।
63	Ignorance is not the same... as innocence.	अज्ञान में ही नहीं है ... मासूमियत के रूप में।	"Hindi में इसे अनुवादित कर सकते हैं:

अनजानी की स्थिति और साधारण की स्थिति को अलग नहीं किया जाता है।"
64	Proceed	आगे बढ़ें	प्रगति करें
65	But to your Lord is the return.	निश्चय ही तुम्हारे रब ही की ओर पलटना है	"मुस्लिम संस्कृत में ""लक्जी"" के लिए ""लक्जी"" को लिखा है और ""लक्जी"" को लिखने के लिए ""लक्जी"" को लिखने के लिए ""लक्जी"" को लिखने के लिए ""लक्जी"" को लिखने के लिए ""लक्जी"" को लिखने के लिए ""लक्जी"" को लिखने के लिए ""लक्जी"" को लिखने के लिए ""लक्जी"" को लिखने के लिए ""लक्जी"" को लिखने के लिए ""लक्जी"" को लिखने के लिए ""लक्जी"" को लिखने के लिए ""लक्जी"" को लिखने के लिए ""लक्जी"" को लिखने के लिए ""लक्जी"" को लिखने के"
66	- Did you file the football yet?	- अगर आप अभी तक फुटबॉल दायर की थी?	- क्या फुटबॉल फाइल हुआ?
67	Clock	घड़ीName	"हिंदी में ""क्लॉक"" की संस्कृति को संदर्भित करने के लिए, मैं कुछ सामान्य संस्कृति के सामान्य संदर्भ को शामिल कर सकता हूं।

क्लॉक की संस्कृति को संदर्भित करने के लिए, मैं कुछ सामान्य संदर्भ को शामिल कर सकता हूं।

क्लॉक की संस्कृति को संदर्भित करने के लिए, मैं कुछ सामान्य संदर्भ को शामिल कर सकता हूं।

क्लॉक की संस्कृति को संदर्भित करने के लिए, मैं कुछ सामान्य संदर्भ को शामिल कर सकता हूं।

क्लॉक की संस्कृति को संदर्भित करने के लिए, मैं कुछ सामान्य संदर्भ को शामिल कर सकता हूं।

क्लॉक की संस्कृति को"
68	Dumpling Squad!	डंपलिंग दल!	Dumpling Squad
69	And say: We (now) believe therein. But how can they reach (faith) from afar off,	"और कहेंगे, ""हम उसपर ईमान ले आए।"" हालाँकि उनके लिए कहाँ सम्भव है कि इतने दूरस्थ स्थान से उसको पास सकें"	And say: We (now) believe therein. But how can they reach (faith) from afar off,
70	Yahoo! Japan	Yahoo! Japan	याहो जापान
