	Source_Dialogue	Reference	MT
49	If you ask them, ‘Who created the heavens and the earth?’ they will surely say, ‘Allah.’ Say, ‘Have you considered what you invoke besides Allah? Should Allah desire some distress for me, can they remove the distress visited by Him? Or should He desire some mercy for me, can they withhold His mercy?’ Say, ‘Allah is sufficient for me. In Him let all the trusting put their trust.’	"यदि तुम उनसे पूछो कि ""आकाशों और धरती को किसने पैदा किया?"" को वे अवश्य कहेंगे, ""अल्लाह ने।"" कहो, ""तुम्हारा क्या विचार है? यदि अल्लाह मुझे कोई तकलीफ़ पहुँचानी चाहे तो क्या अल्लाह से हटकर जिनको तुम पुकारते हो वे उसकी पहुँचाई हुई तकलीफ़ को दूर कर सकते है? या वह मुझपर कोई दयालुता दर्शानी चाहे तो क्या वे उसकी दयालुता को रोक सकते है?"" कह दो, ""मेरे लिए अल्लाह काफ़ी है। भरोसा करनेवाले उसी पर भरोसा करते है।"""	If आप उनसे पूछता हैं कि 'जिन्हें पृथ्वी और पृथ्वी के निर्माण के लिए कहा जाता है, उन्हें कहें कि 'अल्लाह'। पूछें, 'आपके द्वारा किसी भी बात को प्रार्थना करते हैं जो अल्लाह के बारे में सोचते हैं?' उन्हें कहें, 'अल्लाह के लिए क्या आप किसी भी कठिनाई को प्रार्थना करना चाहते हैं?' उन्हें कहें, 'अल्लाह के लिए क्या आप किसी भी दया को प्रार्थना करना चाहते हैं?' उन्हें कहें, 'अल्लाह सUFFICIENT है'। उन्हें कहें, 'अल्लाह के लिए क्या आप किसी भी दया को प्रार्थना करना चाहते हैं?' उन्हें कहें, 'अ
50	"So when her husband saw his shirt torn from the back, he said, ""Indeed, it is of the women's plan. Indeed, your plan is great."	"फिर जब देखा कि उसका कुर्ता पीछे से फटा है तो उसने कहा, ""यह तुम स्त्रियों की चाल है। निश्चय ही तुम्हारी चाल बड़े ग़ज़ब की होती है"	"तो जब उसका पति अपने टी-शर्ट को पीछे की ओर काट लिया, तो उसने कहा, ""हाँ, यह महिलाओं के योजना का है। हाँ, आपकी योजना बहुत अच्छी है।"
51	Show field i_n View	दृश्य में क्षेत्र दिखायें (_n)	"हिंदी में इसे निम्नलिखित प्रकार में प्रस्तुत किया गया है:

विस्तार: शो फील्ड आई न देखें

विस्तार के लिए विवरण:

शो फील्ड को देखने के लिए, आपको किसी विशेष स्थान या स्थानीय स्थान पर जाना होगा।"
52	Thanks. I think.	शुक्रिया, मेरे खयाल से।	"मैं समझता हूँ। 

त्याग।"
53	Maybe the even the shroud itself, everything.	शायद यह भी कफन ही, सब कुछ.	"मैं समझता हूँ कि आप क्या कहना चाहते हैं कि:

मैं सोचता हूँ कि शroud किसी भी चीज़ के बारे में भी है।"
54	I've seen pushing carts around army camps making grand claims about jars full of pig shit...	मैं सेना शिविरों के आसपास गाड़ियां धक्का देखा है सुअर गंदगी से भरा जार के बारे में भव्य दावा कर ...	"मैंने इस पाठ को अंग्रेजी से हिंदी में संसूचित किया है:

मैंने देखा कि मैंने सैन्य कैंपस में बार-बार ट्रैक्टर को पार कर रहे हैं और वे बड़े-बड़े बयान दे रहे हैं कि पेट के खाने की बोतल में पेट के खाने के खाने के खाने के खाने के खाने के खाने के खाने के खाने के खाने के खाने के खाने के खाने के खाने के खाने के खाने के खाने के खाने के खाने के खाने के खाने के खाने के खाने के खाने के खाने के खाने के खाने के खाने के खाने के खाने के खाने"
55	Add	जोड़ें	अद्यतन
56	As an example I have handed over my blog posting rights to a free speech	अपने ब्लॉग अंतर्राष्ट्रीय रिपोर्टरों और चिट्ठाकारों के सुपुर्द कर उन्हें जारी रखें।	मैंने अपने ब्लॉग पोस्ट के अधिकार को फ्री स्प्रेस को दिया है।
57	_Next	अगला (_N)	अंतिम
58	You are in Cape Canaveral and you are Head of Mission Control.	आप केप केनवरल में हैं और आप मिशन कंट्रोल के प्रमुख हैं.	"मार्गदर्शन:

आप केप कैनेवल में हैं और मार्गदर्शन के अधिकारी हैं।"
59	It produces its fruit all the time, by permission of its Lord. And Allah presents examples for the people that perhaps they will be reminded.	अपने रब की अनुमति से वह हर समय अपना फल दे रहा हो। अल्लाह तो लोगों के लिए मिशालें पेश करता है, ताकि वे जाग्रत हों	"मार्गदर्शन के लिए मैं इसे अंग्रेजी से हिंदी में संस्करण प्रदान कर सकता हूँ:

यह अपने फल को पूरी तरह से समय-समय पर प्राप्त करता है, उसके पास मार्गदर्शन के लिए। और अल्लाह दिया हुआ उदाहरणों के लिए लोगों को संदेश देता है कि वे कुछ भी सोच सकते हैं कि वे किसी भी बात को याद करेंगे।"
60	All that is in the heavens and the earth glorify God. He is Majestic and All-wise.	जो जो चीज़ सारे आसमान व ज़मीन में है सब ख़ुदा की तसबीह करती है और वही ग़ालिब हिकमत वाला है	"मुस्तैद है कि मैं इसे सही अनुवाद कर सकूँ।

All that is in the heavens and the earth glorify God. He is Majestic and All-wise."
61	- It does not matter where she is.	- यह कोई फर्क नहीं पड़ता है जहाँ वह है।	"में दिए गए संदेश का हिंदी संस्करण है:

- वह किसी भी स्थान पर है।"
62	Reload current file	री-लोड फ़ाइल	पुनः संसाधन को अद्यतन करें
63	Ignorance is not the same... as innocence.	अज्ञान में ही नहीं है ... मासूमियत के रूप में।	अनजान होना और शिष्ट होना दोनों ही अलग हैं।
64	Proceed	आगे बढ़ें	प्रगति
65	But to your Lord is the return.	निश्चय ही तुम्हारे रब ही की ओर पलटना है	बता दे तुम्हारे पास मेरे पास वापस आ जाओ।
66	- Did you file the football yet?	- अगर आप अभी तक फुटबॉल दायर की थी?	- क्या फुटबॉल को फाइल किया गया है?
67	Clock	घड़ीName	स्टार्ट
68	Dumpling Squad!	डंपलिंग दल!	दुमलिंग स्क्विड
69	And say: We (now) believe therein. But how can they reach (faith) from afar off,	"और कहेंगे, ""हम उसपर ईमान ले आए।"" हालाँकि उनके लिए कहाँ सम्भव है कि इतने दूरस्थ स्थान से उसको पास सकें"	अर्थ: और कहें: हम (नOW) सोचते हैं कि यहाँ (अफार) से (FROM) कैसे (HOW) प्राप्त हो सकता है।
70	Yahoo! Japan	Yahoo! Japan	याह्यो जापान
71	SciDev.Net's conference blog reports that:	नेट के सम्मेलन ब्लॉग ने रपट दी:	साइंस डिवाइस नेट (SciDev.Net) के सम्मेलन लेख के अनुसार:
72	_Contents	विषय सूची (_C)	मूल सामग्री
73	WITH THAT, THEY COULD PUT HIM AT THE JOB.	उस के साथ, वे काम पर उसे डाल सकता है.	साथ में वे उस काम को पास कर सकते हैं।
74	Attachment Reminder	संलग्नक स्मारक	अत्यार के प्रासंगिक
75	What rifles? You got a Chink with a sword and a buncha juggling idiots.	आप एक तलवार और जादू बेवकूफों का एक गुच्छा के साथ एक झनझन मिला.	What rifle? You got a Chink with a sword and a bunch of juggling idiots.
76	He will send down abundant rain from the sky for you,	(और) तुम पर आसमान से मूसलाधार पानी बरसाएगा	"मैं समझता हूँ कि आप किस प्रकार के संदेश को संस्कृत में संसार के लिए सूचित करना चाहते हैं।

संस्कृत में इस संदेश का संसार के लिए सूचित करने के लिए, मैं इसे निम्नलिखित प्रकार के संस्कृत में लिखने का प्रयास करूंगा:

He will send down abundant rain from the sky for you, 

जैसा कि संस्कृत में:

हे वास्तव में वे सारे बारिश के साथ सारे लोगों को सूचित करेंगे"
77	There are no songs to write to disc	डिस्क में लिखने के लिए कोई गीत नहीं है	मुख्य लिंक नहीं है।
78	I've tried thinking and reading about all sorts of different things.	मैंने बहुत-सी चीज़ों के बारे में सोचने और पढ़ने की कोशिश की है.	मैंने विचार किए और विभिन्न प्रकार के विषयों पर विचार किया है।
79	The event could not be deleted due to an error: %s	एक त्रुटि के कारण कार्यक्रम विलोपित नहीं किया जा सका: %s	The event could not be deleted due to an error: %s
80	The past three have seen hundreds of new blogs and forums.	पिछले तीन वर्षों में सैकड़ों नए ब्लॉग और फ़ोरम बने हैं.	The past three have seen hundreds of new blogs and forums.
81	The door was open, and he saw this crazy woman in the bathtub.	दरवाजा खुला था, और उसने बाथ टब में उस पागल औरत को देखा.	"The door was open, and he saw this crazy woman in the bathtub.

Translated to Hindi, it would be:

दीवार का खुला है, और वह इस दुर्गंध वाली महिला को बाथटब में देख रहा है।

Note: I have translated the text to Hindi, but I have not changed the original meaning or added any new information."
82	You're late, pretty boy.	तुम देर से, सुंदर लड़के हैं.	"माफ़ कीजिये, लेकिन मैं इसे अंग्रेजी से हिंदी में नहीं समझ सकता। 

तो मैं इसे सीधे अंग्रेजी से हिंदी में पुनरावलोकन नहीं कर सकता।"
83	And I don't want to work with you.	और मैं तुम्हारे साथ काम करने के लिए नहीं करना चाहती.	मैं आपके साथ काम नहीं करना चाहता।
84	Battery at warning level	बैटरी चेतावनी स्तर पर हैComment	"बैटरी स्टेट के लिए संदेश:

बैटरी का स्टेट स्पष्ट रूप से सूचित होना चाहिए।"
85	Let me hear a massive cheer for getting Climate Camp 2009 started!	मुझे ज़ोर से हर्षध्वनी सुनाई देनी चाहिए, क्लाइमेट कैम्प 2009 को आरम्भ करने के लिए	मैं क्लाइमेट कैंप 2009 के शुरुआत के लिए एक बड़े संगीत के साथ सुनना चाहता हूँ।
86	_Image	छवि (_I)	मैं समझ नहीं पाया कि आपके पास क्या है।
