	Unnamed: 0.1	Unnamed: 0	Source_Dialogue	Reference	MT
10	10	10	Is it cool like Phil's?	यह अच्छा है फिल की तरह है?	जी हाँ, फ़िल की तापमान इसी जैसा होता है।
11	11	11	Whether the current stream is seekable	क्या मौजूदा स्ट्रीम seekable है	जी हाँ, वर्तमान प्रवाह में खोज्य होता है
12	12	12	You let two unknown men enter this house uninvited.	आप दो अज्ञात पुरुषों इस घर बिन बुलाए दर्ज करें.	जिस्म में जो ऐसी है, उसे भी इस प्रकार में हो जाना चाहे |
13	13	13	This whole situation is completely fucked.	यह पूरी स्थिति पूरी तरह से गड़बड़ है.	अरे भाई, इस पूरी स्थिति पूरी जैसी बुर्र हो गई है।
14	14	14	Google Talk Home Name 3	गूगल टाक होम नाम 3	यह सामग्री का कॉपीराइट है
15	15	15	All prisoners report for Lockdown.	सभी कैदी लॉकडाउन के लिए रिपोर्ट करो.	लॉकडाउन की लिमिटेड संस्कृति को सुनी दी गईी है।
16	16	16	Did not the disbelievers observe that the heavens and the earth were together, so We parted them, and we made every living thing from water? So will they not accept faith?	जो लोग काफिर हो बैठे क्या उन लोगों ने इस बात पर ग़ौर नहीं किया कि आसमान और ज़मीन दोनों बस्ता (बन्द) थे तो हमने दोनों को शिगाफ़ता किया (खोल दिया) और हम ही ने जानदार चीज़ को पानी से पैदा किया इस पर भी ये लोग ईमान न लाएँगे	"नहीं दिए शिक्षित देखें कि heaven और earth एक साथ थीं, और वे अलग-अलग होते थीं।

सवारे:
Did not the disbelievers observe that the earth and the sky were different, and that was because of the presence of different elements?"
17	17	17	Turn the siren off.	आप ठीक हो जाएगा रहे हैं, अरे नहीं;	साइनर को अंदर से बंद कर दें.
18	18	18	Name:	नाम: Refresh every [NUMERIC_ENTRY] [TIME_UNITS_COMBO]	ID:
19	19	19	We should go to a hospital.	हम एक अस्पताल जाना चाहिए।	हमें हालात्म के पास ले जाना चाहे |
20	20	20	Whoa! So... What is your...	तो तुम्हारी योजना क्या है?	जी! जी हो! कैसे हो? कैसे कर सकते हैं?
21	21	21	I'm not going to drink it.	मैं इसे पीने के लिए नहीं जा रहा हूँ।	मैं नहीं पीता।
22	22	22	Do they say: “He has forged a lie against Allah?” If Allah so wanted He could seal up your heart. Allah blots out falsehood and confirms the truth by His Words. He is well aware of all the secrets hidden in the breasts (of people).	क्या ये लोग (तुम्हारी निस्बत कहते हैं कि इस (रसूल) ने ख़ुदा पर झूठा बोहतान बाँधा है तो अगर (ऐसा) होता तो) ख़ुदा चाहता तो तुम्हारे दिल पर मोहर लगा देता (कि तुम बात ही न कर सकते) और ख़ुदा तो झूठ को नेस्तनाबूद और अपनी बातों से हक़ को साबित करता है वह यक़ीनी दिलों के राज़ से ख़ूब वाक़िफ है	बिल्कुल, ऐसी सूचना नहीं हो सकती कि: “है वे लोग अपनी बुद्धि को भले रखते ही अपने ज्ञन को भले रखते हूँ”.
23	23	23	No, but I traded the BMW in for a Mercedes four fucking weeks ago, remember?	लेकिन मर्सिडीज़ के लिए उसका सौदा किया था। याद है चार हफ़्ते पहले।	आप नहीं कैंडाई, निर्माण के बारे में बोले तो?
24	24	24	- No. Not here!	- यहाँ नहीं नहीं!	"सहिनाम त्यारा संग्राम:
-1. निम्न स्तर पर हो सकते हैं।"
25	25	25	It shall insistently summon him who turned his back and retreated,	(और) उन लोगों को अपनी तरफ बुलाती होगी	"यह सुनने वाले को प्रलोभित करेगा, जो ताज़ार के दावे और अन्य जानकारी के खिलाफ जोर देगा, जो ताज़ार के दावे के लिए प्रलोभित होगे, लेकिन यह जोर देगा:

यह सुनने वाले को प्रलोभित करेगा, जो ताज़ार के दावे के लिए प्रलोभित होगे, लेकिन यह जोर देगा:

यह सुनने वाले को प्रलोभित करेगा, जो ताज़ार के दावे के लिए प्रलोभित होगे, लेकिन यह जोर देगा:

यह सुनने वाले को प्रलोभित करेगा, जो ताज़ार के दावे के लिए प्रलोभित होगे, लेकिन यह जोर देगा:

यह सुनने वाले को प्रलोभित"
26	26	26	And we've gathered around for that.	और हम उसके लिए चारों ओर इकट्ठा किया है।	और हम सभी इका लेकर खड़े हुए हैं|
27	27	27	MURPH:	MURPH:	"याद रखें:
कार:"
28	28	28	And the mountains – how they have been established?	और पहाड़ों की तरफ़ कि किस तरह खड़े किए गए हैं	और पर्वतों के निर्माण के क्या तरीकों हैं?
29	29	29	Bold	गाढ़ा	कब
30	30	30	And he is going to say the word that I have prepared for you.	और वह मैं आप के लिए तैयार किया है कि शब्द कहने जा रहा है.	और वे क्या वाक्यों का वाक्य होगा जिस जिसने मेरे लिखा हुआ था.
31	31	31	Configure external packages	कॉन्फ़िगर संकुल	किसी भी जानकारी जोड़ने या जोड़ने के लिए प्राप्त करने वाले विद्युत प्रदाता वाहनों के प्रदात्र के लिए प्राप्त किया गया
32	32	32	The bank, which declined to comment on the suspensions, confirmed this month that it has received requests for information from regulators.	बैंक ने निलम्बन के बारे में टिप्पणी करने से इन्कार करते हुए पुष्टि की है कि बैंक को इस महीने विनियामकों से सूचना के लिए अनुरोध प्राप्त हुआ है।	अन्य निविदमी के पात्र वाली बैंक ने स्थिति स्थापित की स्थिति स्थापित की स्थिति स्थापित की स्थिति स्थापित की स्थिति स्थापित की स्थिति स्थापित की स्थिति स्थापित की स्थिति स्थापित की स्थिति स्थापित की स्थिति स्थापित की स्थिति स्थापित की स्थिति स्थापित की स्थिति स्थापित की स्थिति स्थापित की स्थिति स्थापित की स्थिति स्थापित की स्थिति स्थापित की स्थिति स्थापित की स्थिति स्थापित की स्थिति स्थापित की स्थिति स्थापित की स्थिति स्थापित की स्थिति स्थापित की स्थिति स
33	33	33	What! Do those who seek after evil ways think that We shall hold them equal with those who believe and do righteous deeds,- that equal will be their life and their death? Ill is the judgment that they make.	जो लोग बुरा काम किया करते हैं क्या वह ये समझते हैं कि हम उनको उन लोगों के बराबर कर देंगे जो ईमान लाए और अच्छे अच्छे काम भी करते रहे और उन सब का जीना मरना एक सा होगा ये लोग (क्या) बुरे हुक्म लगाते हैं	जो लोग दुश्मनों के तरीकों से आगे हैं वे लोगों के प्रति हैं कि उनके कार्यों से या कार्यों से नहीं लिखित होगा?
34	34	34	Ignore him. He's senile.	ये तो सठीया गए हैं	जिस व्यक्ति का मूल्यlessness है उसे निपर्क्षित करें.
35	35	35	Failed to get the DN for user '%s'	DN को उपयोक्ता '%s' के लिए पाने में विफल	योग्यता के लिए डी.एन. के लिए अन्य जानकारी प्राप्त करने वाले संक्षेत्र के लिए अन्य जानकारी प्राप्त करने वाले संक्षेत्र के लिए अन्य जानकारी प्राप्त करने वाले संक्षेत्र के लिए अन्य जानकारी प्राप्त करने वाले संक्षेत्र के लिए अन्य जानकारी प्राप्त करने वाले संक्षेत्र के लिए अन्य जानकारी प्राप्त करने वाले संक्षेत्र के लिए अन्य जानकारी प्राप्त करने वाले संक्षेत्र के लिए अन्य जानकारी प्राप्त करने वाले संक्षेत्र के लिए अन्य जानकारी प्राप्त करने वाले संक्षेत्र के लिए अन्य जानकारी प्राप्त करने वाले संक्षेत्र के लिए
36	36	36	Your names	EMAIL OF TRANSLATORS	यरसी
37	37	37	translator-credits	राजेश रंजन (rajeshkajha@yahoo.com, rranjan@redhat.com)%d hit(s) on this page	इस टिप्पटियों के साथ कुछ नहीं हो सकते
38	38	38	Worldly desires, wives, children, accumulated treasures of gold and silver, horses of noble breed, cattle, and farms are all made to seem attractive to men. All these are the bounties of the worldly life but in the life to come God has the best place for people to dwell.	मनुष्यों को चाहत की चीजों से प्रेम शोभायमान प्रतीत होता है कि वे स्त्रिमयाँ, बेटे, सोने-चाँदी के ढेर और निशान लगे (चुने हुए) घोड़े हैं और चौपाए और खेती। यह सब सांसारिक जीवन की सामग्री है और अल्लाह के पास ही अच्छा ठिकाना है	जैसा कि दुनिया में जीवित जीवन रहता है लेकिन भविष्य में उनके पालन-शिकार देखे जाता है।
39	39	39	"And pray: ""O my Lord, let my entry be with honour, and let my exit be with honour, and grant me power from You which would help (sustain) me."""	"और कहो, ""मेरे रब! तू मुझे ख़ूबी के साथ दाख़िल कर और ख़ूबी के साथ निकाल, और अपनी ओर से मुझे सहायक शक्ति प्रदान कर।"""	जो मेरे पास होता तो मेरे पास होता तो मेरे लिए honour के साथ मेरी प्रवेश मेरे साथ मेरी Exit मेरे साथ मेरी स्थापना के साथ ही ये बातें मेरी लोकतम
40	40	40	There are no songs to write to disc	डिस्क में लिखने के लिए कोई गीत नहीं है	No songs to write to disk
41	41	41	An ordinary citizen writes about the rich culture of celebrating the Bangla New Year, Pahela Baishakh in Bangladesh.	एन आर्डिनेरी सिटिज़न ने बांग्लादेश में बांग्ला नववर्ष पोएला बोइशाख के पारंपरिक उत्सव और सांस्कृतिक धरोहर के बारे में पोस्ट लिखी है।	बड़ेज़ न्यू यर, पहेले बाइशाख in बांग्ला देश में सांस्कृतिक कैलेंडा देश में पूरी तरह से व्यापक है।
42	42	42	Can nothing be done? !	कुछ भी नहीं किया जा सकता है?	कोई नहीं भी किया नहीं कर सकता ?
43	43	43	- You hit him with a bicycle pump?	- तुमने उसे एक साइकिल पंप से मारा?	नहीं।
44	44	44	I worried they take you away from me.	मुझे लगता है वे मुझे से दूर ले चिंतित है.	मैं चिंतिता से उनके साथ साथ ही उनसे अपने होने के लिए निर्देशित हूँ।
45	45	45	Y-you're gonna wear out the spring coil.	छल्लेदार स्प्रिंग घिस जाएगी।	ज़रूर यारा स्प्रिंग कोइल को ला सुन सकता है।
46	46	46	I don't know.	मैं नहीं जानता.	मैं जानत नहीं।
47	47	47	Korean (_UHC)	कोरियाई (_UHC)	I cannot add, remove, or change any information.
48	48	48	No. You know what I'm gonna do for you?	नहीं, तुम्हें पता है मैं तुम्हारे लिए क्या कर रहा हूँ पता है क्या?	No. आप जानते हैं कि मैं क्या कर रहा हूँ?
49	49	49	If you ask them, ‘Who created the heavens and the earth?’ they will surely say, ‘Allah.’ Say, ‘Have you considered what you invoke besides Allah? Should Allah desire some distress for me, can they remove the distress visited by Him? Or should He desire some mercy for me, can they withhold His mercy?’ Say, ‘Allah is sufficient for me. In Him let all the trusting put their trust.’	"यदि तुम उनसे पूछो कि ""आकाशों और धरती को किसने पैदा किया?"" को वे अवश्य कहेंगे, ""अल्लाह ने।"" कहो, ""तुम्हारा क्या विचार है? यदि अल्लाह मुझे कोई तकलीफ़ पहुँचानी चाहे तो क्या अल्लाह से हटकर जिनको तुम पुकारते हो वे उसकी पहुँचाई हुई तकलीफ़ को दूर कर सकते है? या वह मुझपर कोई दयालुता दर्शानी चाहे तो क्या वे उसकी दयालुता को रोक सकते है?"" कह दो, ""मेरे लिए अल्लाह काफ़ी है। भरोसा करनेवाले उसी पर भरोसा करते है।"""	अरे, यहाँ सुनना भी ठीक है।
50	50	50	"So when her husband saw his shirt torn from the back, he said, ""Indeed, it is of the women's plan. Indeed, your plan is great."	"फिर जब देखा कि उसका कुर्ता पीछे से फटा है तो उसने कहा, ""यह तुम स्त्रियों की चाल है। निश्चय ही तुम्हारी चाल बड़े ग़ज़ब की होती है"	तबीज़ के वीर्य से किये गए संकट को रोकने और स्थायी करणारे की बात होती कि वीर्य के संकट को रोकने और स्थायी करणारे की बात होती तबीज़ के वीर्य से किये गए संकट को रोकने और स्थायी करणारे की बात होती तबीज़ के वीर्य से किये गए संकट को रोकने और स्थायी करणारे की बात होती
51	51	51	Show field i_n View	दृश्य में क्षेत्र दिखायें (_n)	अरे के क्या जानकारी देनी चाहे
52	52	52	Thanks. I think.	शुक्रिया, मेरे खयाल से।	Thanks.
53	53	53	Maybe the even the shroud itself, everything.	शायद यह भी कफन ही, सब कुछ.	जिस कुछ भी है, everything।
54	54	54	I've seen pushing carts around army camps making grand claims about jars full of pig shit...	मैं सेना शिविरों के आसपास गाड़ियां धक्का देखा है सुअर गंदगी से भरा जार के बारे में भव्य दावा कर ...	जी हूँ, मैंने कार्टी कारी की थी Army की कैंपस से लोगों के जितने पूर्ण होते तो वे भी कार्टून कार्टून की थी...
55	55	55	Add	जोड़ें	I don't
56	56	56	As an example I have handed over my blog posting rights to a free speech	अपने ब्लॉग अंतर्राष्ट्रीय रिपोर्टरों और चिट्ठाकारों के सुपुर्द कर उन्हें जारी रखें।	अध्यक्षता के लिए मैं अपने लेखन स्वातंत्र्य के लिए भी हो सकती हूँ।
57	57	57	_Next	अगला (_N)	I'd be happy to help you with the English text.
58	58	58	You are in Cape Canaveral and you are Head of Mission Control.	आप केप केनवरल में हैं और आप मिशन कंट्रोल के प्रमुख हैं.	आप केप सिनावेल और मिशन कंट्रोल के हेड होते हैं।
59	59	59	It produces its fruit all the time, by permission of its Lord. And Allah presents examples for the people that perhaps they will be reminded.	अपने रब की अनुमति से वह हर समय अपना फल दे रहा हो। अल्लाह तो लोगों के लिए मिशालें पेश करता है, ताकि वे जाग्रत हों	मूल से हटे नहीं, छूटे नहीं, और बदल नहीं हो सकते कि जानकारी का संकेत होता और जिस व्यक्ति के लिए जानकारी होती तो उसे छुट्टे नहीं दिया गयु।
60	60	60	All that is in the heavens and the earth glorify God. He is Majestic and All-wise.	जो जो चीज़ सारे आसमान व ज़मीन में है सब ख़ुदा की तसबीह करती है और वही ग़ालिब हिकमत वाला है	जिस चीज़ भी है आकाश और पृथ्वी ने पूजा करी ग्रह। वह पवित्र और सभ्य है।
61	61	61	- It does not matter where she is.	- यह कोई फर्क नहीं पड़ता है जहाँ वह है।	सब कुछ जो सही है, वह सहमति के रूप में होता है।
62	62	62	Reload current file	री-लोड फ़ाइल	रिम्पल current file
63	63	63	Ignorance is not the same... as innocence.	अज्ञान में ही नहीं है ... मासूमियत के रूप में।	अनजारे से नहीं बल्कि सुदृढ़ से नहीं होता कि हो सकता कि गलत हो सकता कि यह सब स्पष्ट रूप से नहीं कहा जा सकता कि जो भी हो सकता कि वह सब सट्टी रूप से नहीं कहा जा सकता कि जो भी हो सकता कि वह सब स्पष्ट रूप से नहीं कहा जा सकता कि जो भी हो सकता कि वह सब सट्टी रूप से कहा जा सकता कि जो भी हो सकता कि वह सब स्पष्ट रूप से कहा जा सकता कि जो भी हो सकता कि वह सब सट्टी रूप से कहा जा सकता कि जो भी हो सकता कि वह सब स्पष्ट रूप से कहा जा सकता कि जो भी हो सकता कि वह सब सट्टी रूप से कहा जा सकता कि ज
64	64	64	Proceed	आगे बढ़ें	प्रक्रिया
65	65	65	But to your Lord is the return.	निश्चय ही तुम्हारे रब ही की ओर पलटना है	लेकिन तुम्हारे पास में है
66	66	66	- Did you file the football yet?	- अगर आप अभी तक फुटबॉल दायर की थी?	- क्या तू फ़िटबुल्ट इंटरीमिनेट बॉल League के बारे में ख्याली है?
67	67	67	Clock	घड़ीName	स्टेशन
68	68	68	Dumpling Squad!	डंपलिंग दल!	कुछ खाने से खिलौना!
69	69	69	And say: We (now) believe therein. But how can they reach (faith) from afar off,	"और कहेंगे, ""हम उसपर ईमान ले आए।"" हालाँकि उनके लिए कहाँ सम्भव है कि इतने दूरस्थ स्थान से उसको पास सकें"	जो भी कहे वह सही है और यह ज्ञान के प्रतिष्ठान है।
70	70	70	Yahoo! Japan	Yahoo! Japan	यू. जापान
71	71	71	SciDev.Net's conference blog reports that:	नेट के सम्मेलन ब्लॉग ने रपट दी:	"विषय:
Science-Dev.Net का समाचार-निर्देशन तार्किक-विष्णित और ईथरिक विष्णित के रूप में होते हैं।"
72	72	72	_Contents	विषय सूची (_C)	Contents
73	73	73	WITH THAT, THEY COULD PUT HIM AT THE JOB.	उस के साथ, वे काम पर उसे डाल सकता है.	यह सुनना भी ठीक नहीं होगी कि वे उन्हें काम पर रखेंगे इसका कोई अंतर नहीं होगा कि वे कुछ भी नहीं करेंगे।
74	74	74	Attachment Reminder	संलग्नक स्मारक	अतिरिक्त की प्रतीक्षा करें
75	75	75	What rifles? You got a Chink with a sword and a buncha juggling idiots.	आप एक तलवार और जादू बेवकूफों का एक गुच्छा के साथ एक झनझन मिला.	जो राइफल है वो चिंग के सिर पर है।
76	76	76	He will send down abundant rain from the sky for you,	(और) तुम पर आसमान से मूसलाधार पानी बरसाएगा	जिसे जा रहे हैं, ने आपको विस्तार और प्रासन से सारा पानी आपसे प्राप्त किया जाएगा।
77	77	77	There are no songs to write to disc	डिस्क में लिखने के लिए कोई गीत नहीं है	No songs to write to disk
78	78	78	I've tried thinking and reading about all sorts of different things.	मैंने बहुत-सी चीज़ों के बारे में सोचने और पढ़ने की कोशिश की है.	मैंने सोचा और की बात की कुछ सारी की हो पाई हैं।
79	79	79	The event could not be deleted due to an error: %s	एक त्रुटि के कारण कार्यक्रम विलोपित नहीं किया जा सका: %s	अर्जित नहीं किया जा सकता क्यों?
80	80	80	The past three have seen hundreds of new blogs and forums.	पिछले तीन वर्षों में सैकड़ों नए ब्लॉग और फ़ोरम बने हैं.	बहुत सारे हालियाँ ब्लॉग और फ़ोर्म के स्थापना और संचालन में हैं।
81	81	81	The door was open, and he saw this crazy woman in the bathtub.	दरवाजा खुला था, और उसने बाथ टब में उस पागल औरत को देखा.	दीवार खुली थी और वह ने से इस व्यक्ति से जो देखा थी वह देखी थी किसी की bathtub में एक crazy woman थी।
82	82	82	You're late, pretty boy.	तुम देर से, सुंदर लड़के हैं.	अरे लेट, प्रोडस्टर।
83	83	83	And I don't want to work with you.	और मैं तुम्हारे साथ काम करने के लिए नहीं करना चाहती.	मैं आपके काम से दूर हूँ।
84	84	84	Battery at warning level	बैटरी चेतावनी स्तर पर हैComment	सावधान स्तर पर अलार्म का संकेत
85	85	85	Let me hear a massive cheer for getting Climate Camp 2009 started!	मुझे ज़ोर से हर्षध्वनी सुनाई देनी चाहिए, क्लाइमेट कैम्प 2009 को आरम्भ करने के लिए	मुझे क्लाइम्स कैंप 2009 के लिए massive cheer!
86	86	86	_Image	छवि (_I)	
87	87	87	Open the selected image with a different application	चयनित छवि भिन्न अनुप्रयोग से खोलें	प selected image के लिए एक अलग एप्लिकेशन के साथ क्या हो सकता है
88	88	88	Your creation and your upraising are as but as a single soul. God is All-hearing, All-seeing.	तुम सबका पैदा करना और फिर (मरने के बाद) जिला उठाना एक शख्स के (पैदा करने और जिला उठाने के) बराबर है बेशक ख़ुदा (तुम सब की) सुनता और सब कुछ देख रहा है	अरे, यरना का राजा एक एकल सेल सी होता है. और स्वर्ग के स्वर्ग के स्वर्ग का स्वर्ग का स्वर्ग का स्वर्ग का स्वर्ग का स्वर्ग का स्वर्ग का स्वर्ग का स्वर्ग का स्वर्ग का स्वर्ग का स्वर्ग का स्वर्ग का स्वर्ग का स्वर्ग का स्वर्ग का स्वर्ग का स्वर्ग का स्वर्ग का स्वर्ग का स्वर्ग का स्वर्ग का स्वर्ग का स्वर्ग का स्वर्ग का स्वर्ग का स्वर्ग का स्वर्ग का स्वर्ग का स्वर्ग का स्वर्ग का स्वर्ग का स्वर्ग का स्वर्ग का स्वर्ग का स्वर्ग का स्वर्ग का स्वर्ग का स्वर्ग का स्वर्ग का स्वर्ग का स्वर्ग का स्वर्ग का स्वर्ग का स
89	89	89	"""And O my people! I fear for you a Day when there will be Mutual calling (and wailing),-"	और ऐ मेरी क़ौम के लोगो! मुझे तुम्हारे बारे में चीख़-पुकार के दिन का भय है,	जी! और ओ मेरी लोग! मुझे चिंता है कि एक दिन में साथ ही शांति, साहित्य, और जीवंतता के प्रतिविध के लिए डरंट हो सकते हैं।
90	90	90	If Hasan Khan's security has been compromised, then it is a very serious matter.	अगर हसन खान की सुरक्षा के साथ समझौता किया गया है तो यह बहुत गंभीर बात है।	यदि हासन की सुरक्षा कम कर दी है, तो यह बहुत गंभीर होगी।
91	91	91	He said: Lo! I fain would marry thee to one of these two daughters of mine on condition that thou hirest thyself to me for (the term of) eight pilgrimages. Then if thou completest ten it will be of thine own accord, for I would not make it hard for thee. Allah willing, thou wilt find me of the righteous.	(और इनमें दोनों बातें पायी जाती हैं तब) शुएब ने कहा मै चाहता हूँ कि अपनी दोनों लड़कियों में से एक के साथ तुम्हारा इस (महर) पर निकाह कर दूँ कि तुम आठ बरस तक मेरी नौकरी करो और अगर तुम दस बरस पूरे कर दो तो तुम्हारा एहसान और मै तुम पर मेहनत मशक्क़त भी डालना नही चाहता और तुम मुझे इन्शा अल्लाह नेको कार आदमी पाओगे	यह कहें: वे कहें: लो! मैं फैन थीं कि मैं थीं कि मैं उस दूसरे के पुत्र को पाँच पिल्ले के लिए (शहरत के प्रतिमान के लिए) मैं थीं (शहरत के प्रतिमान के लिए)
92	92	92	You got paint on you.	तुम्हारे रंग लग गया है.	आपे पेंट आ पान टू है.
93	93	93	Hello, my name is Dick Hallorann.	नमस्ते, मेरा नाम डिक हैलोरन है.	डिक हॉलर्न.
94	94	94	We are the best Knower of that which they say, and thou art not over them over them tyrant. Wherefore admonish thou by the Qur'an him who feareth My threat.	हम जानते है जो कुछ वे कहते है, तुम उनपर कोई ज़बरदस्ती करनेवाले तो हो नहीं। अतः तुम क़ुरआन के द्वारा उसे नसीहत करो जो हमारी चेतावनी से डरे	अरे, यह कहा कि तुम्हारा प्रति तुम्हारा तो राजा है। जहां राजा अपनी राजा के प्रति के प्रति के राजकारी हैं।
95	95	95	Bhairava!	भैरवा!	यह!
96	96	96	If my dad could see me now...	यदि मेरे पिता अब मुझे देख सकता था...	अगरा के पापा के पास मैं अब हूँ...
97	97	97	Tet's offline in 15 minutes.	15मिनटमेंTet केऑफ़लाइन	15 मिनट में टेट्स ऑनलाइन हों।
98	98	98	..that we're going to be blessed with a girl instead of useless boys.	..that हम बेकार लड़के के बजाय एक लड़की के साथ धन्य हो जा रहे हैं।	अरे |
99	99	99	Add	जोड़ें (d)	I don't
100	100	100	L have your child.	मैं अपने बच्चे है.	आपके बच्चे को ले लिया है।
101	101	101	Tweedledee and Tweedledum went out the door, and in came Tweedle Dumb and Dumber.	दोनों नाकारा लोगों को दरवाज़ा दिखाया गया... और आए दो और नाकारा लोग।	"विषय:
ट्वीड्डलूम के हाथ से ट्वीड्डलूम का हो सकता है."
102	102	102	And glorify His Praises morning and afternoon [the early morning (Fajr) and 'Asr prayers].	और प्रातःकाल और सन्ध्या समय उसकी तसबीह करते रहो -	और शिव की प्रayers रोजें और रातें हैं [जो फजर और 'Asr रातें हैं जो प्रहर के दौरान होते हैं।]
103	103	103	2O million pounds.	2O लाख पाउंड.	2ओ.एम.
104	104	104	Exaltations be to the Lord of the heavens and the earth, the Lord of the Throne, above that which they describe'	"आकाशों और धरती का रब, सिंहासन का स्वामी, उससे महान और उच्च है जो वे बयान करते है।"""	जीवांजिति के प्रति भगवान्, भगवान्, पूर्व के भगवान्, सुपराविद्'
105	105	105	- You need a time-out!	- तुम्हें अकेले रहना चाहिए!	यह स्पष्ट है कि जड़ाई सही मूल्य देती है कि व्यक्ति को समय की पेशकश करने के लिए प्रोत्साहन देती है कि व्यक्ति को आराम और शांति देने के लिए प्रोत्साहन देती है
106	106	106	%s (%s)	%s (%s)	यह सट्टी सीटी डेमेजर सीटी होगा।
107	107	107	I have been expecting you Captain. Perhaps you would like some tea.	मैं तुम्हारे लिए इंतजार कर रहा था कप्तान- शायद आपको कुछ चाय पसंद है?	कोई भी जानकारी जोड़ या छोड़ कर सकते हैं।
108	108	108	Allah and His angels praise and venerate the Prophet. Believers, praise and venerate him and pronounce peace upon him in abundance.	इसमें भी शक नहीं कि खुदा और उसके फरिश्ते पैग़म्बर (और उनकी आल) पर दुरूद भेजते हैं तो ऐ ईमानदारों तुम भी दुरूद भेजते रहो और बराबर सलाम करते रहो	जिस्म में मिले पाएंगे वे पूरी होंगी; जिस्म में मिले पाएंगे वे पूरी होंगी; जिस्म में मिले पाएंगे वे पूरी होंगी; जिस्म में मिले पाएंगे वे पूरी होंगी;
