	Unnamed: 0.1	Unnamed: 0	Source_Dialogue	Reference	MT
20	20	20	Whoa! So... What is your...	तो तुम्हारी योजना क्या है?	रोलिं.
21	21	21	I'm not going to drink it.	मैं इसे पीने के लिए नहीं जा रहा हूँ।	मैं नहीं कहूँ कि उसे पीने के लिए जोखिम नहीं उठात.
22	22	22	Do they say: “He has forged a lie against Allah?” If Allah so wanted He could seal up your heart. Allah blots out falsehood and confirms the truth by His Words. He is well aware of all the secrets hidden in the breasts (of people).	क्या ये लोग (तुम्हारी निस्बत कहते हैं कि इस (रसूल) ने ख़ुदा पर झूठा बोहतान बाँधा है तो अगर (ऐसा) होता तो) ख़ुदा चाहता तो तुम्हारे दिल पर मोहर लगा देता (कि तुम बात ही न कर सकते) और ख़ुदा तो झूठ को नेस्तनाबूद और अपनी बातों से हक़ को साबित करता है वह यक़ीनी दिलों के राज़ से ख़ूब वाक़िफ है	अस्पष्ट हो सकता हूँ कि अल्लाह ने इस विवरण को संशोधित करने के लिए कहा हो |
23	23	23	No, but I traded the BMW in for a Mercedes four fucking weeks ago, remember?	लेकिन मर्सिडीज़ के लिए उसका सौदा किया था। याद है चार हफ़्ते पहले।	जी, लेकिन मैं बीएमवी को डब्ल्क्स बेज़ के लिए तोपन तो नह करूँ?
24	24	24	- No. Not here!	- यहाँ नहीं नहीं!	- यहाँ नहीं!
25	25	25	It shall insistently summon him who turned his back and retreated,	(और) उन लोगों को अपनी तरफ बुलाती होगी	यह दृढ़ता राजकुमार को राजकुमारी के स्वरूप में अपने राजकुमारी के स्वरूप में अपने राजकुमारी के स्वरूप में अपने राजकुमारी के स्वरूप में अपने राजकुमारी के स्वरूप में अपने राजकुमारी के स्वरूप में अपने राजकुमारी के स्वरूप में अपने राजकुमारी के स्वरूप में अपने राजकुमारी के स्वरूप में अपने राजकुमारी के स्वरूप में अपने राजकुमारी के स्वरूप में अपने राजकुमारी के स्वरूप में अपने राजकुमारी के स्वरूप में अपने राजकुमारी के स्वरूप में अपने राजकुमारी के स्वरूप में अपने राजकुमारी के स्वरूप में अपने राजक
26	26	26	And we've gathered around for that.	और हम उसके लिए चारों ओर इकट्ठा किया है।	और हम सभी एक साथ इका रहे हैं ।
27	27	27	MURPH:	MURPH:	डब्ल्यू:
28	28	28	And the mountains – how they have been established?	और पहाड़ों की तरफ़ कि किस तरह खड़े किए गए हैं	और वे -किस प्रकार से बने हैं?
29	29	29	Bold	गाढ़ा	"कहाँ:
जैसा:
बढ़िरूँगे"
30	30	30	And he is going to say the word that I have prepared for you.	और वह मैं आप के लिए तैयार किया है कि शब्द कहने जा रहा है.	और वे तो बताएँगे शब्द जिसे मैंने प्राप्त किया था वे वे वो भी हो सकते हैं कि मैंने तैयार किया था वे वो भी हो सकते हैं।
31	31	31	Configure external packages	कॉन्फ़िगर संकुल	बाहर के पैकेज कॉन्फर्म करना
32	32	32	The bank, which declined to comment on the suspensions, confirmed this month that it has received requests for information from regulators.	बैंक ने निलम्बन के बारे में टिप्पणी करने से इन्कार करते हुए पुष्टि की है कि बैंक को इस महीने विनियामकों से सूचना के लिए अनुरोध प्राप्त हुआ है।	डब्ल्यू.टी., जिसने इस संबंध में कोई कम्टेंट किए, उसे इस साल में इस माह में कहा गया कि वे इस प्रक्रिया से भी पहले तो दिए रहे, बल्कि इस प्रक्रिया से भी पहले तो दिए रहे,
33	33	33	What! Do those who seek after evil ways think that We shall hold them equal with those who believe and do righteous deeds,- that equal will be their life and their death? Ill is the judgment that they make.	जो लोग बुरा काम किया करते हैं क्या वह ये समझते हैं कि हम उनको उन लोगों के बराबर कर देंगे जो ईमान लाए और अच्छे अच्छे काम भी करते रहे और उन सब का जीना मरना एक सा होगा ये लोग (क्या) बुरे हुक्म लगाते हैं	अरे, क्या वे जो दोषीय तरीकों से जाते हैं, वे जो विधि से जाते हैं, वे सभी विधि से जाते हैं और सभी विधि से जाते हैं साथ हि कुछ लोग जो कुछ भी हो सकता है, वो ही नहीं।
34	34	34	Ignore him. He's senile.	ये तो सठीया गए हैं	इस प्रकार कार्यवान है।
35	35	35	Failed to get the DN for user '%s'	DN को उपयोक्ता '%s' के लिए पाने में विफल	उपसंग्रह के लिए डी.एन. पी./सी.
36	36	36	Your names	EMAIL OF TRANSLATORS	पहचान
37	37	37	translator-credits	राजेश रंजन (rajeshkajha@yahoo.com, rranjan@redhat.com)%d hit(s) on this page	जिस प्रक्रिया या प्रयोग के प्रतिक्रिया के समय से पहले किसी व्यक्ति से प्रतिक्रिया या प्रयोग के प्रतिक्रिया के समय से पहले किसी व्यक्ति से प्रतिक्रिया या प्रयोग के प्रतिक्रिया के समय से पहले किसी व्यक्ति से प्रतिक्रिया या प्रयोग के प्रतिक्रिया के समय से पहले किसी व्यक्ति से प्रतिक्रिया या प्रयोग के प्रतिक्रिया के समय से पहले किसी व्यक्ति से प्रतिक्रिया या प्रयोग के प्रतिक्रिया के समय से पहले किसी व्यक्ति से प्रतिक्रिया या प्रयोग के प्रतिक्रिया के समय से पहले किसी व्यक्ति से प्रतिक्रिया या प्रय
38	38	38	Worldly desires, wives, children, accumulated treasures of gold and silver, horses of noble breed, cattle, and farms are all made to seem attractive to men. All these are the bounties of the worldly life but in the life to come God has the best place for people to dwell.	मनुष्यों को चाहत की चीजों से प्रेम शोभायमान प्रतीत होता है कि वे स्त्रिमयाँ, बेटे, सोने-चाँदी के ढेर और निशान लगे (चुने हुए) घोड़े हैं और चौपाए और खेती। यह सब सांसारिक जीवन की सामग्री है और अल्लाह के पास ही अच्छा ठिकाना है	सद्य जीवन से जुड़ने के लिए कहा जाना याद है।
39	39	39	"And pray: ""O my Lord, let my entry be with honour, and let my exit be with honour, and grant me power from You which would help (sustain) me."""	"और कहो, ""मेरे रब! तू मुझे ख़ूबी के साथ दाख़िल कर और ख़ूबी के साथ निकाल, और अपनी ओर से मुझे सहायक शक्ति प्रदान कर।"""	"और प्रार्थना: ""हो मेरे पिता, जिससे मैं अपने पापा की तरह खुश और सम्मानित महसूस करूँगी।"
40	40	40	There are no songs to write to disc	डिस्क में लिखने के लिए कोई गीत नहीं है	जिस तरह से आप कुछ ही नहीं कर सकते
41	41	41	An ordinary citizen writes about the rich culture of celebrating the Bangla New Year, Pahela Baishakh in Bangladesh.	एन आर्डिनेरी सिटिज़न ने बांग्लादेश में बांग्ला नववर्ष पोएला बोइशाख के पारंपरिक उत्सव और सांस्कृतिक धरोहर के बारे में पोस्ट लिखी है।	बांग्ला न्यूनियर सैल्फ बाइशाख का मनाने वाले एक साधारण नागरिक के बारे में लिखत है कि क्या वे मनाने वाले व्यक्ति को बांग्ला न्यूनियर सैल्फ बाइशाख का मनाने वाला व्यक्ति है
42	42	42	Can nothing be done? !	कुछ भी नहीं किया जा सकता है?	क्या नश्वर्य से रुकावट मिल सकती है?
43	43	43	- You hit him with a bicycle pump?	- तुमने उसे एक साइकिल पंप से मारा?	- हिल में वे साइकिल के जूते से क्या?
44	44	44	I worried they take you away from me.	मुझे लगता है वे मुझे से दूर ले चिंतित है.	जिस तरह से मैंने भी अपने परिवार को चिंता व्यक्त की कि वे व्यक्तिगत रूप से वे परिवार के तौर पर भाग सकते हैं।
45	45	45	Y-you're gonna wear out the spring coil.	छल्लेदार स्प्रिंग घिस जाएगी।	जी-जैसे स्प्रिंग कोइल स्प्रिंग कोइल को टूट सकती है.
46	46	46	I don't know.	मैं नहीं जानता.	ज़कारी नहीं हूँ।
47	47	47	Korean (_UHC)	कोरियाई (_UHC)	कोरियाई(_UHC)
48	48	48	No. You know what I'm gonna do for you?	नहीं, तुम्हें पता है मैं तुम्हारे लिए क्या कर रहा हूँ पता है क्या?	No। आप जो पूछेंगे मैं उनका पालन-परिहारा करूँगा।
49	49	49	If you ask them, ‘Who created the heavens and the earth?’ they will surely say, ‘Allah.’ Say, ‘Have you considered what you invoke besides Allah? Should Allah desire some distress for me, can they remove the distress visited by Him? Or should He desire some mercy for me, can they withhold His mercy?’ Say, ‘Allah is sufficient for me. In Him let all the trusting put their trust.’	"यदि तुम उनसे पूछो कि ""आकाशों और धरती को किसने पैदा किया?"" को वे अवश्य कहेंगे, ""अल्लाह ने।"" कहो, ""तुम्हारा क्या विचार है? यदि अल्लाह मुझे कोई तकलीफ़ पहुँचानी चाहे तो क्या अल्लाह से हटकर जिनको तुम पुकारते हो वे उसकी पहुँचाई हुई तकलीफ़ को दूर कर सकते है? या वह मुझपर कोई दयालुता दर्शानी चाहे तो क्या वे उसकी दयालुता को रोक सकते है?"" कह दो, ""मेरे लिए अल्लाह काफ़ी है। भरोसा करनेवाले उसी पर भरोसा करते है।"""	अपना साँप को बनाने वे कहाँ सोचने लगें?
50	50	50	"So when her husband saw his shirt torn from the back, he said, ""Indeed, it is of the women's plan. Indeed, your plan is great."	"फिर जब देखा कि उसका कुर्ता पीछे से फटा है तो उसने कहा, ""यह तुम स्त्रियों की चाल है। निश्चय ही तुम्हारी चाल बड़े ग़ज़ब की होती है"	यह इसलिए है क्योंकि वह अपने जानकारी को बदलने या करने नहीं देती कि व्यक्ति किसी ऐसी स्थिति में हो सकता/वाला भी क्या नहीं देता कि व्यक्ति किसी ऐसी स्थिति में हो सकता/वाला भी नहीं देता कि व्यक्ति किसी ऐसी स्थिति में हो सकता/वाला भी नहीं देता कि व्यक्ति किसी ऐसी स्थिति में हो सकता/वाला भी नहीं देता कि व्यक्ति किसी ऐसी स्थिति में हो सकता/वाला भी नहीं देता कि व्यक्ति किसी ऐसी स्थिति में हो सकता/वाला भी नहीं देता कि व्यक्ति किसी ऐसी स्थिति में हो सकता/वाला भी नहीं द
51	51	51	Show field i_n View	दृश्य में क्षेत्र दिखायें (_n)	"हाँ, निम्नलिखित:
प्रदर्शन क्षेत्र की स्ट्रिंग व्यू"
52	52	52	Thanks. I think.	शुक्रिया, मेरे खयाल से।	Thanks.
53	53	53	Maybe the even the shroud itself, everything.	शायद यह भी कफन ही, सब कुछ.	जैसा हो सकता है, ऐसा भी हो सकता है।
54	54	54	I've seen pushing carts around army camps making grand claims about jars full of pig shit...	मैं सेना शिविरों के आसपास गाड़ियां धक्का देखा है सुअर गंदगी से भरा जार के बारे में भव्य दावा कर ...	मैंने सिखों को सैन्य क Camp के सामने फ़र्गेट किए गए पैसे सारे झूठा राया देने के लिए स्थापित किया गया
55	55	55	Add	जोड़ें	रह
56	56	56	As an example I have handed over my blog posting rights to a free speech	अपने ब्लॉग अंतर्राष्ट्रीय रिपोर्टरों और चिट्ठाकारों के सुपुर्द कर उन्हें जारी रखें।	यह एक उदाहरण है मैंने तो दी है कि मैंने अपने लेख के अधिक्ति से न दिया है।
57	57	57	_Next	अगला (_N)	जो भी
58	58	58	You are in Cape Canaveral and you are Head of Mission Control.	आप केप केनवरल में हैं और आप मिशन कंट्रोल के प्रमुख हैं.	आप केप सिनावेर और मिशन कंट्रोल हेड ऑफ मिशन कंट्रोल के रूप में हैं।
59	59	59	It produces its fruit all the time, by permission of its Lord. And Allah presents examples for the people that perhaps they will be reminded.	अपने रब की अनुमति से वह हर समय अपना फल दे रहा हो। अल्लाह तो लोगों के लिए मिशालें पेश करता है, ताकि वे जाग्रत हों	यह हमेशा फलिट से निकलता है, क्योंने इसका पालक-स्वीकृत विकलग व्यवहचचित्र है। और हे फ़ल्टो से निकलने वाले उसका पालक-स्वीकृत विकलग व्यवहचचित्र भी है।
60	60	60	All that is in the heavens and the earth glorify God. He is Majestic and All-wise.	जो जो चीज़ सारे आसमान व ज़मीन में है सब ख़ुदा की तसबीह करती है और वही ग़ालिब हिकमत वाला है	हेवENS और एर्टिस गौरवजनक और सभ-wise में मिले
61	61	61	- It does not matter where she is.	- यह कोई फर्क नहीं पड़ता है जहाँ वह है।	इस प्रकार यह सच है।
62	62	62	Reload current file	री-लोड फ़ाइल	रिमीट फाइल लोड कर
63	63	63	Ignorance is not the same... as innocence.	अज्ञान में ही नहीं है ... मासूमियत के रूप में।	अनजानी से नहीं हो सकता है कि यह सूक्ष्ट्रूपल भाषा में भी कहा जा सकता है।
64	64	64	Proceed	आगे बढ़ें	प्रक्रिया
65	65	65	But to your Lord is the return.	निश्चय ही तुम्हारे रब ही की ओर पलटना है	लेकिन तुम्हारे पास है यात.
66	66	66	- Did you file the football yet?	- अगर आप अभी तक फुटबॉल दायर की थी?	-फुटबॉल के बारे में क्या याद है?
67	67	67	Clock	घड़ीName	स्टेशन
68	68	68	Dumpling Squad!	डंपलिंग दल!	डुम्पल सुप्पी!
69	69	69	And say: We (now) believe therein. But how can they reach (faith) from afar off,	"और कहेंगे, ""हम उसपर ईमान ले आए।"" हालाँकि उनके लिए कहाँ सम्भव है कि इतने दूरस्थ स्थान से उसको पास सकें"	और कहें: हम (अब) विश्वभक्ति से विश्वभक्ति से विश्वभक्ति से विश्वभक्ति से विश्वभक्ति से विश्वभक्ति से विश्वभक्ति से विश्वभक्ति से विश्वभक्ति से विश्वभक्ति से विश्वभक्ति से विश्वभक्ति से विश्वभक्ति से विश्वभक्ति से विश्वभक्ति से विश्वभक्ति से विश्वभक्ति से विश्वभक्ति से विश्वभक्ति से विश्वभक्ति से विश्वभक्ति से विश्वभक्ति से विश्वभक्ति से विश्वभक्ति से विश्वभक्ति से विश्वभक्ति से विश्वभक्ति से विश्वभक
70	70	70	Yahoo! Japan	Yahoo! Japan	यू.आई.जे.
71	71	71	SciDev.Net's conference blog reports that:	नेट के सम्मेलन ब्लॉग ने रपट दी:	सी.आई.डी. नेट के सिविक डिवाइन. नेट के संवादित कार्या परिमिश्न किए जाते हैं और इस परिसंघातार जानकारी को बदलने से पहले इस बात पर ध्यान दिया जावे
72	72	72	_Contents	विषय सूची (_C)	कॉन्टेंट
73	73	73	WITH THAT, THEY COULD PUT HIM AT THE JOB.	उस के साथ, वे काम पर उसे डाल सकता है.	यह, उन्होंने ओब्जेक्टिव रूप से इस परियोजना पर रखे हैं के लिए कार्यालय पर रखे हैं |
74	74	74	Attachment Reminder	संलग्नक स्मारक	संकेत बताएँ
75	75	75	What rifles? You got a Chink with a sword and a buncha juggling idiots.	आप एक तलवार और जादू बेवकूफों का एक गुच्छा के साथ एक झनझन मिला.	जो भी रIFल?
76	76	76	He will send down abundant rain from the sky for you,	(और) तुम पर आसमान से मूसलाधार पानी बरसाएगा	वे तुम्हें बहुत सारे राज के पानी से तुम्हारे पास हो सकता है
77	77	77	There are no songs to write to disc	डिस्क में लिखने के लिए कोई गीत नहीं है	जिस तरह से आप कुछ ही नहीं कर सकते
78	78	78	I've tried thinking and reading about all sorts of different things.	मैंने बहुत-सी चीज़ों के बारे में सोचने और पढ़ने की कोशिश की है.	जिस तरह से मैंने सोचा और लिखा है, वैसी ही सब कुछ।
79	79	79	The event could not be deleted due to an error: %s	एक त्रुटि के कारण कार्यक्रम विलोपित नहीं किया जा सका: %s	दिए जा सकते क्यों नहीं हो सकता: %s
80	80	80	The past three have seen hundreds of new blogs and forums.	पिछले तीन वर्षों में सैकड़ों नए ब्लॉग और फ़ोरम बने हैं.	हावड़ा से 13 मार्च से आने वाले तीन वर्षों में हज़ारों नए ब्लॉग और फ़ोर्म्स दिखाते रहे.
81	81	81	The door was open, and he saw this crazy woman in the bathtub.	दरवाजा खुला था, और उसने बाथ टब में उस पागल औरत को देखा.	doors open,  and  he saw this crazy woman in the bathtub.
82	82	82	You're late, pretty boy.	तुम देर से, सुंदर लड़के हैं.	आपको परिवहन के कारण बताया जाना चाहेंटा: यू're लेट, सुंदर बॉय।
83	83	83	And I don't want to work with you.	और मैं तुम्हारे साथ काम करने के लिए नहीं करना चाहती.	और मैं अपने साथ काम नहीं करना चाहती।
84	84	84	Battery at warning level	बैटरी चेतावनी स्तर पर हैComment	कलार्नेट की सावधानी स्तर पर सिग्नान
85	85	85	Let me hear a massive cheer for getting Climate Camp 2009 started!	मुझे ज़ोर से हर्षध्वनी सुनाई देनी चाहिए, क्लाइमेट कैम्प 2009 को आरम्भ करने के लिए	लेकिन मैंनेClimate Camp 2009 की शुरुआत को सुना हूँ!
86	86	86	_Image	छवि (_I)	कृपया ध्यान से आगे न लें या गलत जानकारी दें।
87	87	87	Open the selected image with a different application	चयनित छवि भिन्न अनुप्रयोग से खोलें	चुने गए विषय को अलग एप्लिकेशन से निकालन
88	88	88	Your creation and your upraising are as but as a single soul. God is All-hearing, All-seeing.	तुम सबका पैदा करना और फिर (मरने के बाद) जिला उठाना एक शख्स के (पैदा करने और जिला उठाने के) बराबर है बेशक ख़ुदा (तुम सब की) सुनता और सब कुछ देख रहा है	अपने निर्माण और परिवर्तन को साथ ही यह कहना सही है कि ई गोद ग्रह ई हिंद ग्रह को भी बताते हैं।
89	89	89	"""And O my people! I fear for you a Day when there will be Mutual calling (and wailing),-"	और ऐ मेरी क़ौम के लोगो! मुझे तुम्हारे बारे में चीख़-पुकार के दिन का भय है,	और ओ मेरी लोग! मुझे डर हूँ कि एक दिन में साथ ही मेरे लोगों को भी डर-डांट और शांति देने के लिए तैयार होना चाहे तो यह भी देना चाहे तो शायद है कि भविष्य में ऐसी स्थितियों में भी असाधारण रूप में होना चाहे तो यह भी देना चाहे तो स्वाभाव्यता से हो सकता है।
90	90	90	If Hasan Khan's security has been compromised, then it is a very serious matter.	अगर हसन खान की सुरक्षा के साथ समझौता किया गया है तो यह बहुत गंभीर बात है।	अगरिहसन की सुरक्षा को कम करने वाली चिंता गंभीर
91	91	91	He said: Lo! I fain would marry thee to one of these two daughters of mine on condition that thou hirest thyself to me for (the term of) eight pilgrimages. Then if thou completest ten it will be of thine own accord, for I would not make it hard for thee. Allah willing, thou wilt find me of the righteous.	(और इनमें दोनों बातें पायी जाती हैं तब) शुएब ने कहा मै चाहता हूँ कि अपनी दोनों लड़कियों में से एक के साथ तुम्हारा इस (महर) पर निकाह कर दूँ कि तुम आठ बरस तक मेरी नौकरी करो और अगर तुम दस बरस पूरे कर दो तो तुम्हारा एहसान और मै तुम पर मेहनत मशक्क़त भी डालना नही चाहता और तुम मुझे इन्शा अल्लाह नेको कार आदमी पाओगे	"सबसे अच्छा:
अरे, जो कह रहा था वही हो सकता है।"
92	92	92	You got paint on you.	तुम्हारे रंग लग गया है.	आपके पेंसल पर ये रंग लग गए हैं.
93	93	93	Hello, my name is Dick Hallorann.	नमस्ते, मेरा नाम डिक हैलोरन है.	हैलो, मेरा नाम डिक हॉलरन है।
94	94	94	We are the best Knower of that which they say, and thou art not over them over them tyrant. Wherefore admonish thou by the Qur'an him who feareth My threat.	हम जानते है जो कुछ वे कहते है, तुम उनपर कोई ज़बरदस्ती करनेवाले तो हो नहीं। अतः तुम क़ुरआन के द्वारा उसे नसीहत करो जो हमारी चेतावनी से डरे	यह सब एक साथ ही बताने वाले एक पुस्तिका है। वे जो उनसे बातें करते हैं, उसे वे बताते हैं कि वे क्या फ़ेर हैं वे वे फ़ेर हैं कि वे वे फ़ेर हैं कि वे वे फ़ेर हैं (औरये फ़ेर हैं कि वे वा) व्यवहच्चित तथ्य हैं।
95	95	95	Bhairava!	भैरवा!	बह्यारव!
96	96	96	If my dad could see me now...	यदि मेरे पिता अब मुझे देख सकता था...	अगर मेरे पापा अब मुझे देख सकते
97	97	97	Tet's offline in 15 minutes.	15मिनटमेंTet केऑफ़लाइन	कुछ गड़बड़ातीत स्थानीय रूप से 15 मिनट बाहर हो जाते हैं।
98	98	98	..that we're going to be blessed with a girl instead of useless boys.	..that हम बेकार लड़के के बजाय एक लड़की के साथ धन्य हो जा रहे हैं।	जो हमें इस बात पर विश्वास दिलाने वाले लोगों को स्थानांतरण से सिंगल-रीडिंग-डिविडियो वाले लड़ सकते हैं।
99	99	99	Add	जोड़ें (d)	रह
100	100	100	L have your child.	मैं अपने बच्चे है.	आपके डॉक्टर ने आपके बच्चे का निरीक्षण किया है।
101	101	101	Tweedledee and Tweedledum went out the door, and in came Tweedle Dumb and Dumber.	दोनों नाकारा लोगों को दरवाज़ा दिखाया गया... और आए दो और नाकारा लोग।	तूडलीडी और टूडलीड़ दोनों निकल कर पास करे, और पास आने वाले व्यक्ति को तूडलीड़ और डब्ल्यू डब्ल्यू डब्ल्यू की तरह से पेश करने की क्षमता से भरी माना योग्य माना
102	102	102	And glorify His Praises morning and afternoon [the early morning (Fajr) and 'Asr prayers].	और प्रातःकाल और सन्ध्या समय उसकी तसबीह करते रहो -	और अपने प्रशंसा के समय (फाजर और असर व्रत्यु के समय) को पूजा योग्यता दिलचस्प!).
103	103	103	2O million pounds.	2O लाख पाउंड.	2O मिलियन पाउंड।
104	104	104	Exaltations be to the Lord of the heavens and the earth, the Lord of the Throne, above that which they describe'	"आकाशों और धरती का रब, सिंहासन का स्वामी, उससे महान और उच्च है जो वे बयान करते है।"""	असाधन के प्रति वे लोगों के प्रति वे ऊपर के जैसे व्यक्त हैं
105	105	105	- You need a time-out!	- तुम्हें अकेले रहना चाहिए!	इस पाठ को सीध सीधे 13 मई 2026 के जैसे हो सकता हूँ।
106	106	106	%s (%s)	%s (%s)	टीसीएस (टीसीएस)
107	107	107	I have been expecting you Captain. Perhaps you would like some tea.	मैं तुम्हारे लिए इंतजार कर रहा था कप्तान- शायद आपको कुछ चाय पसंद है?	मैंने तुम्हें इंतज़ार किया है कप्तान। शायद तुम्हें कुछ चाय भी चाहिए।
108	108	108	Allah and His angels praise and venerate the Prophet. Believers, praise and venerate him and pronounce peace upon him in abundance.	इसमें भी शक नहीं कि खुदा और उसके फरिश्ते पैग़म्बर (और उनकी आल) पर दुरूद भेजते हैं तो ऐ ईमानदारों तुम भी दुरूद भेजते रहो और बराबर सलाम करते रहो	अल्लाह और उनके इंदgorान व्यक्त करने वाले लोगों को पूर्ण हस्तप्रपात्र माना जाता है।
109	109	109	No, I'm in the middle of something.	नहीं, मैं कुछ के बीच में हूँ.	जी, मैं कुछ जानकारी के साथ मौजूद हूँ।
110	110	110	The action, 16th of December, where NGOs and small nations and countries, all sorts of people from inside the conference...	16 दिसम्बर की कार्यवाही जिसमें एन. जी.	"दृश्य:
16 दिसंबर, कॉन्फरेंस के अंदर विभिन्न प्रकार के लोगों से मिलन..."
111	111	111	After that, surely, you will die.	फिर तुम अवश्य मरनेवाले हो	यह रहे, सुना रहे, और सही बताया रहे तो आपको मृत्य तक नहोना जाता।
112	112	112	[man speaking native language]	[पुरुष अपनी मातृभाषा में बोल रहा है]	स्पष्ट रखें कि संसाधित, पूरी तरह से विशीता भेजी है और निरिगात नहीं करेगी.
