	Source_Dialogue	Reference	MT
41	An ordinary citizen writes about the rich culture of celebrating the Bangla New Year, Pahela Baishakh in Bangladesh.	एन आर्डिनेरी सिटिज़न ने बांग्लादेश में बांग्ला नववर्ष पोएला बोइशाख के पारंपरिक उत्सव और सांस्कृतिक धरोहर के बारे में पोस्ट लिखी है।	अन्य लोगों के लिए, बांगला ने वर्ष के एक साधी संस्कृति के बारे में लिखते हैं, पाहेला बैशाख के बांगला के संस्कृति के बारे में।
42	Can nothing be done? !	कुछ भी नहीं किया जा सकता है?	क्या कुछ भी हो सकता है? !
43	- You hit him with a bicycle pump?	- तुमने उसे एक साइकिल पंप से मारा?	- किसी ने उसे एक बाइक के साथ मारा।
44	I worried they take you away from me.	मुझे लगता है वे मुझे से दूर ले चिंतित है.	मुझे किसी को छोड़ने के लिए किसी को छोड़ने के लिए मुझे चिंता है।
45	Y-you're gonna wear out the spring coil.	छल्लेदार स्प्रिंग घिस जाएगी।	Y-You're gonna wear out the spring coil.
46	I don't know.	मैं नहीं जानता.	I don't know.
47	Korean (_UHC)	कोरियाई (_UHC)	Korean (UHC)
48	No. You know what I'm gonna do for you?	नहीं, तुम्हें पता है मैं तुम्हारे लिए क्या कर रहा हूँ पता है क्या?	No. You know what I'm gonna do for you?
49	If you ask them, ‘Who created the heavens and the earth?’ they will surely say, ‘Allah.’ Say, ‘Have you considered what you invoke besides Allah? Should Allah desire some distress for me, can they remove the distress visited by Him? Or should He desire some mercy for me, can they withhold His mercy?’ Say, ‘Allah is sufficient for me. In Him let all the trusting put their trust.’	"यदि तुम उनसे पूछो कि ""आकाशों और धरती को किसने पैदा किया?"" को वे अवश्य कहेंगे, ""अल्लाह ने।"" कहो, ""तुम्हारा क्या विचार है? यदि अल्लाह मुझे कोई तकलीफ़ पहुँचानी चाहे तो क्या अल्लाह से हटकर जिनको तुम पुकारते हो वे उसकी पहुँचाई हुई तकलीफ़ को दूर कर सकते है? या वह मुझपर कोई दयालुता दर्शानी चाहे तो क्या वे उसकी दयालुता को रोक सकते है?"" कह दो, ""मेरे लिए अल्लाह काफ़ी है। भरोसा करनेवाले उसी पर भरोसा करते है।"""	If you ask them, “Who created the heavens and the earth?” they will surely say, “Allah.” Say, “Have you considered what you invoke besides Allah? Should Allah desire some distress for me, can they remove the distress visited by Him? Or should He desire some mercy for me, can they withhold His mercy?” Say, “Allah is sufficient for me. In Him let all the trusting put their trust.”
50	"So when her husband saw his shirt torn from the back, he said, ""Indeed, it is of the women's plan. Indeed, your plan is great."	"फिर जब देखा कि उसका कुर्ता पीछे से फटा है तो उसने कहा, ""यह तुम स्त्रियों की चाल है। निश्चय ही तुम्हारी चाल बड़े ग़ज़ब की होती है"	"सो जब उसके पत्र को तिला दिया था, वह अपने पत्र को पीछे देखकर कहा, ""हाँ, यह महिलाओं की योजन है। हाँ, आपकी योजन बहुत अच्छी है।"
51	Show field i_n View	दृश्य में क्षेत्र दिखायें (_n)	Show field i_n View
52	Thanks. I think.	शुक्रिया, मेरे खयाल से।	Thanks. I think.
53	Maybe the even the shroud itself, everything.	शायद यह भी कफन ही, सब कुछ.	मुझे कुछ और सुनने की सुविधा है।
54	I've seen pushing carts around army camps making grand claims about jars full of pig shit...	मैं सेना शिविरों के आसपास गाड़ियां धक्का देखा है सुअर गंदगी से भरा जार के बारे में भव्य दावा कर ...	I've seen pushing carts around army camps making grand claims about jars full of pig shit.
55	Add	जोड़ें	Add
56	As an example I have handed over my blog posting rights to a free speech	अपने ब्लॉग अंतर्राष्ट्रीय रिपोर्टरों और चिट्ठाकारों के सुपुर्द कर उन्हें जारी रखें।	As an example I have handed over my blog posting rights to a free speech
57	_Next	अगला (_N)	"Cutting Knowledge Date: December 2023
Today Date: 13 May 2026"
58	You are in Cape Canaveral and you are Head of Mission Control.	आप केप केनवरल में हैं और आप मिशन कंट्रोल के प्रमुख हैं.	Cape Canaveral और केपसे के एक साथी हैं। आप मिस्टर के रूप में हैं।
59	It produces its fruit all the time, by permission of its Lord. And Allah presents examples for the people that perhaps they will be reminded.	अपने रब की अनुमति से वह हर समय अपना फल दे रहा हो। अल्लाह तो लोगों के लिए मिशालें पेश करता है, ताकि वे जाग्रत हों	मंत्रपत्र के प्रकार के अनुसार, यह प्रकार के अनुसार, मंत्रपात्र के अनुसार, मंत्रपात्र के अनुसार, मंत्रपात्र के अनुसार, मंत्रपात्र के अनुसार, मंत्रपात्र के अनुसार, मंत्रपात्र के अनुसार, मंत्रपात्र के अनुसार, मंत्रपात्र के अनुसार, मंत्रपात्र के अनुसार, मंत्रपात्र के अनुसार, मंत्रपात्र के अनुसार, मंत्रपात्र के अनुसार, मंत्रपात्र के अनुसार, मंत्रपात्र के अनुसार, मंत्रपात्र के अनुसार, मंत्रपात्र के अनुसार, मंत्रपात्र के अनुसार, मंत्रपात्र के अनुसार, मंत्रपात्र के अनुसार, म
60	All that is in the heavens and the earth glorify God. He is Majestic and All-wise.	जो जो चीज़ सारे आसमान व ज़मीन में है सब ख़ुदा की तसबीह करती है और वही ग़ालिब हिकमत वाला है	अर्थ: जो कुछ है जो देवनियों और भूमि के बीच है। वह ज्ञान और सभोवसेष है।
61	- It does not matter where she is.	- यह कोई फर्क नहीं पड़ता है जहाँ वह है।	कोई भी जगह नहीं है।
62	Reload current file	री-लोड फ़ाइल	Current file
63	Ignorance is not the same... as innocence.	अज्ञान में ही नहीं है ... मासूमियत के रूप में।	अन्यथा की सामान्य नहीं है क्योंकि स्नेह है।
64	Proceed	आगे बढ़ें	Ensure the following text from English to HindiEnsure the translation from English to HindiEnsure the translation from English to HindiEnsure the translation from English to HindiEnsure the translation from English to HindiEnsure the translation from English to HindiEnsure the translation from English to HindiEnsure the translation from English to HindiEnsure the translation from English to HindiEnsure the translation from English to HindiEnsure the translation from English to HindiEnsure the translation from English to HindiEnsure the translation from English to HindiEnsure the translation from English to HindiEnsure the translation from English to HindiEnsure the translation from English to HindiEnsure the translation from English to HindiEnsure the translation from English to HindiEnsure the translation from English to HindiEnsure the translation from English to HindiEnsure the translation from English to HindiEnsure the translation from English to HindiEnsure the translation from English to HindiEnsure the translation from English to HindiEnsure the translation from English to HindiEnsure the translation from English to HindiEnsure the translation from English to HindiEnsure the translation from English to HindiEnsure the translation from English to HindiEnsure the translation from English to HindiEnsure the translation from English to HindiEnsure the translation from English to
65	But to your Lord is the return.	निश्चय ही तुम्हारे रब ही की ओर पलटना है	बतन के लिए, आपके द्वारा है रूप.
66	- Did you file the football yet?	- अगर आप अभी तक फुटबॉल दायर की थी?	फील्ड के लिए क्या फुट के बारे में क्या है?
67	Clock	घड़ीName	Clock
68	Dumpling Squad!	डंपलिंग दल!	Dumpling Squad!
69	And say: We (now) believe therein. But how can they reach (faith) from afar off,	"और कहेंगे, ""हम उसपर ईमान ले आए।"" हालाँकि उनके लिए कहाँ सम्भव है कि इतने दूरस्थ स्थान से उसको पास सकें"	And say: We (now) believe therein. But how can they reach (faith) from afar off,
70	Yahoo! Japan	Yahoo! Japan	"Cutting Knowledge Date: December 2023
Today Date: 13 May 2026"
71	SciDev.Net's conference blog reports that:	नेट के सम्मेलन ब्लॉग ने रपट दी:	सीईडी नेट्स का संवादित समन्वय:
72	_Contents	विषय सूची (_C)	"Ensure the following text from English to HindiEnsure the translation from English to HindiDo ensure, faithful, accurate, fluent, and faithful to the original meaning.

Text:
Ensure the following text from English to HindiEnsure the translation from English to HindiDo ensure, faithful, accurate, fluent, and faithful to the original meaning."
73	WITH THAT, THEY COULD PUT HIM AT THE JOB.	उस के साथ, वे काम पर उसे डाल सकता है.	साथ में वे उसे काम के लिए रख सकते हैं।
74	Attachment Reminder	संलग्नक स्मारक	The text is a reminder to the attachment.
75	What rifles? You got a Chink with a sword and a buncha juggling idiots.	आप एक तलवार और जादू बेवकूफों का एक गुच्छा के साथ एक झनझन मिला.	रिफल्स क्या हैं? आप एक चिंक के साथ एक सिरा और एक बगीच के साथ एक बगीच के साथ जंगली के साथ हैं।
76	He will send down abundant rain from the sky for you,	(और) तुम पर आसमान से मूसलाधार पानी बरसाएगा	He will send down abundant rain from the sky for you.
77	There are no songs to write to disc	डिस्क में लिखने के लिए कोई गीत नहीं है	There are no songs to write to disc
78	I've tried thinking and reading about all sorts of different things.	मैंने बहुत-सी चीज़ों के बारे में सोचने और पढ़ने की कोशिश की है.	मैंने अपने दिनों में सोचा और पढ़ा।
79	The event could not be deleted due to an error: %s	एक त्रुटि के कारण कार्यक्रम विलोपित नहीं किया जा सका: %s	The event could not be deleted due to an error: %s
80	The past three have seen hundreds of new blogs and forums.	पिछले तीन वर्षों में सैकड़ों नए ब्लॉग और फ़ोरम बने हैं.	कुल में 3 साल के बाद से कई नए ब्लॉग और फोरम्स की संखा है।
81	The door was open, and he saw this crazy woman in the bathtub.	दरवाजा खुला था, और उसने बाथ टब में उस पागल औरत को देखा.	द्वार खुला था, और वह एक अजीब महिला ने बाथरूम में देखा।
82	You're late, pretty boy.	तुम देर से, सुंदर लड़के हैं.	क्या तुम लेटे हैं, तुम लड़कर?
83	And I don't want to work with you.	और मैं तुम्हारे साथ काम करने के लिए नहीं करना चाहती.	मैं आपके साथ काम करने को स्वीकार नहीं करता।
84	Battery at warning level	बैटरी चेतावनी स्तर पर हैComment	स्टोर की सुरक्षा स्तर
85	Let me hear a massive cheer for getting Climate Camp 2009 started!	मुझे ज़ोर से हर्षध्वनी सुनाई देनी चाहिए, क्लाइमेट कैम्प 2009 को आरम्भ करने के लिए	मुझे बताना चाहिए कि मैं एक बड़ी सांसकारी के लिए कार्यक्रम की शुरुआत कर देना चाहिए।
86	_Image	छवि (_I)	Image
87	Open the selected image with a different application	चयनित छवि भिन्न अनुप्रयोग से खोलें	मैं किसी विशेषता को स्पष्ट, स्पष्ट, और सही संदेश में प्रस्तुत करूँ।
88	Your creation and your upraising are as but as a single soul. God is All-hearing, All-seeing.	तुम सबका पैदा करना और फिर (मरने के बाद) जिला उठाना एक शख्स के (पैदा करने और जिला उठाने के) बराबर है बेशक ख़ुदा (तुम सब की) सुनता और सब कुछ देख रहा है	आपकी संस्कृति और आपकी स्थापन का एक साथ एक स्वतंत्र आत्मा है। भगवान सभ-हस्त, सभ-दृष्टि है।
89	"""And O my people! I fear for you a Day when there will be Mutual calling (and wailing),-"	और ऐ मेरी क़ौम के लोगो! मुझे तुम्हारे बारे में चीख़-पुकार के दिन का भय है,	अर्थ: और मेरी दोस्त! मैं आपको एक दिन के लिए मित्रानुक्त करने की चिंता करता हूँ।
90	If Hasan Khan's security has been compromised, then it is a very serious matter.	अगर हसन खान की सुरक्षा के साथ समझौता किया गया है तो यह बहुत गंभीर बात है।	हसाना खान के सुरक्षा को धोखा माना है, तो यह बहुत गंभारी माना है।
91	He said: Lo! I fain would marry thee to one of these two daughters of mine on condition that thou hirest thyself to me for (the term of) eight pilgrimages. Then if thou completest ten it will be of thine own accord, for I would not make it hard for thee. Allah willing, thou wilt find me of the righteous.	(और इनमें दोनों बातें पायी जाती हैं तब) शुएब ने कहा मै चाहता हूँ कि अपनी दोनों लड़कियों में से एक के साथ तुम्हारा इस (महर) पर निकाह कर दूँ कि तुम आठ बरस तक मेरी नौकरी करो और अगर तुम दस बरस पूरे कर दो तो तुम्हारा एहसान और मै तुम पर मेहनत मशक्क़त भी डालना नही चाहता और तुम मुझे इन्शा अल्लाह नेको कार आदमी पाओगे	He said: Lo! I fain would marry thee to one of these two daughters of mine on condition that thou hirest thyself to me for (the term of) eight pilgrimages. Then if thou completest ten it will be of thine own accord, for I would not make it hard for thee. Allah willing, thou wilt find me of the righteous.
92	You got paint on you.	तुम्हारे रंग लग गया है.	आप को पेंट कर दिया है।
93	Hello, my name is Dick Hallorann.	नमस्ते, मेरा नाम डिक हैलोरन है.	मैं होऊ होऊ (होऊ होऊ) होऊ होऊ
94	We are the best Knower of that which they say, and thou art not over them over them tyrant. Wherefore admonish thou by the Qur'an him who feareth My threat.	हम जानते है जो कुछ वे कहते है, तुम उनपर कोई ज़बरदस्ती करनेवाले तो हो नहीं। अतः तुम क़ुरआन के द्वारा उसे नसीहत करो जो हमारी चेतावनी से डरे	मुझे बताना चाहिए कि यह लोगों के बीच कहीं से ही तो मुझे दोषी है। वहाँ कुछ भी नहीं हो सकता है।
95	Bhairava!	भैरवा!	Bhairava!
96	If my dad could see me now...	यदि मेरे पिता अब मुझे देख सकता था...	मुझे देखा देखा
97	Tet's offline in 15 minutes.	15मिनटमेंTet केऑफ़लाइन	Tet's offline in 15 minutes.
98	..that we're going to be blessed with a girl instead of useless boys.	..that हम बेकार लड़के के बजाय एक लड़की के साथ धन्य हो जा रहे हैं।	क्या आप इस प्रशन को अंग्रेजी से हिंदी में से प्रिय हैं?
99	Add	जोड़ें (d)	Add
100	L have your child.	मैं अपने बच्चे है.	Lekshata hai.
101	Tweedledee and Tweedledum went out the door, and in came Tweedle Dumb and Dumber.	दोनों नाकारा लोगों को दरवाज़ा दिखाया गया... और आए दो और नाकारा लोग।	टीव्डले और टीव्डलूम द्वारा बाहर निकले, और टीव्डले डुम्ब और डूमर में आए।
102	And glorify His Praises morning and afternoon [the early morning (Fajr) and 'Asr prayers].	और प्रातःकाल और सन्ध्या समय उसकी तसबीह करते रहो -	अर्थ: में दिन के दिन के लिए प्रार्थना के लिए, जो किसी भी प्रकार के प्रार्थना के लिए प्रार्थना के लिए।
103	2O million pounds.	2O लाख पाउंड.	2 million pounds.
104	Exaltations be to the Lord of the heavens and the earth, the Lord of the Throne, above that which they describe'	"आकाशों और धरती का रब, सिंहासन का स्वामी, उससे महान और उच्च है जो वे बयान करते है।"""	Exaltations be to the Lord of the heavens and the earth, the Lord of the Throne, above that which they describe
105	- You need a time-out!	- तुम्हें अकेले रहना चाहिए!	"Cutting Knowledge Date: December 2023
Today Date: 13 May 2026"
106	%s (%s)	%s (%s)	"Cutting Knowledge Date: December 2023
Today Date: 13 May 2026"
107	I have been expecting you Captain. Perhaps you would like some tea.	मैं तुम्हारे लिए इंतजार कर रहा था कप्तान- शायद आपको कुछ चाय पसंद है?	मैं आपके लिए कैपल के लिए तैयार हूँ, मुझे कोई चाय चाहिए.
108	Allah and His angels praise and venerate the Prophet. Believers, praise and venerate him and pronounce peace upon him in abundance.	इसमें भी शक नहीं कि खुदा और उसके फरिश्ते पैग़म्बर (और उनकी आल) पर दुरूद भेजते हैं तो ऐ ईमानदारों तुम भी दुरूद भेजते रहो और बराबर सलाम करते रहो	लाह और उसके देवी प्राणयोगी प्राणयोगी प्राणयोगी प्राणयोगी प्राणयोगी प्राणयोगी प्राणयोगी प्राणयोगी प्राणयोगी प्राणयोगी प्राणयोगी प्राणयोगी प्राणयोगी प्राणयोगी प्राणयोगी प्राणयोगी प्राणयोगी प्राणयोगी प्राणयोगी प्राणयोगी प्राणयोगी प्राणयोगी प्राणयोगी प्राणयोगी प्राणयोगी प्राणयोगी प्राणयोगी प्राणयोगी प्राणयोगी प्राणयोगी प्राणयोगी प्राणयोगी प्राणयोगी प्राणयोगी प्राणयोगी प्राणयोगी प्राणयोगी प्राणयोगी प्राणयोगी प्राणयोगी प्राणयोगी प्र
109	No, I'm in the middle of something.	नहीं, मैं कुछ के बीच में हूँ.	मैं हो रहा हूँ, मैं अपने पास एक चीज़ हूँ।
110	The action, 16th of December, where NGOs and small nations and countries, all sorts of people from inside the conference...	16 दिसम्बर की कार्यवाही जिसमें एन. जी.	कार्यक्रिया 16th December, जहाँ NGOs और छोटे राज्यों और देशों से सारे लोगों से अंदर से आयोजन में
111	After that, surely, you will die.	फिर तुम अवश्य मरनेवाले हो	सबे से, आपको मरने की उम्मीद होगी।
112	[man speaking native language]	[पुरुष अपनी मातृभाषा में बोल रहा है]	मुखिया (man speaking native language)
113	#As the earth turns and the summer's all gone#	# दिखाएँ # पर चला जाता है पृथ्वी बदल जाता है और गर्मियों के सभी # रूप में चला गया	सूर्य के प्रकार और गर्मी के समय हो जाता है।
114	Do they wait for any thing but the Hour (of change), that it may come upon them suddenly? Its signs have already appeared. How then will they be warned when it has come upon them?	तो क्या ये लोग बस क़यामत ही के मुनतज़िर हैं कि उन पर एक बारगी आ जाए तो उसकी निशानियाँ आ चुकी हैं तो जिस वक्त क़यामत उन (के सर) पर आ पहुँचेगी फिर उन्हें नसीहत कहाँ मुफीद हो सकती है	क्या आप किसी को किसी के लिए कोई चीज़ के लिए कोई स्थान नहीं है? क्या आप किसी के लिए कोई चीज़ के लिए कोई स्थान नहीं है?
115	"""In rhapsody that day As a whiplash today"""	"""धुन में उस दिन एक चोट आज के रूप में"""	रसायन का प्रेम के दिन एक विशेषता है।
116	Start date invalid.	आरंभिक तारीख अवैध है.	Start date invalid.
117	"William Long posted some spoofing videos produced by Google and Baidu, in which, Google called Baidu ""hundred poisons"" and Baidu mocked google as a foreign / alien company (zh)."	"विलियम लाँग ने गूगल और बायडू द्वारा निर्मित कुछ पैरोडी विडियो पोस्ट किये हैं जिनमें गूगल ने बायडू को ""हंड्रेड पॉयज़न"" यानि ज़हरीला पुकारा तो बायडू ने गूगल को विदेशी बाहरी कंपनी कह कर चिढ़ाया।"	"William Long posted some spoofing videos produced by Google and Baidu, in which, Google called Baidu ""hundred poisons"" and Baidu mocked Google as a foreign / alien company (zh)."
118	It's not a rat!	यह एक चूहा नहीं है!	It's not a rat!
119	Unicode (UTF-3_2 LE)	यूनिकोड (UTF-3_2 LE)	संकट: क्या आप किसी विशेषता के लिए संकट के लिए किसी विशेषता के लिए संकट के लिए किसी विशेषता के लिए संकट के लिए?
120	I left the apartment this morning so mad.	मैं आज सुबह तो पागल घर छोड़ दिया.	मैं अपने घर को मैंने शुरू कर दिया।
