	Source_Dialogue	Reference	MT
45	Y-you're gonna wear out the spring coil.	छल्लेदार स्प्रिंग घिस जाएगी।	मैं आपको स्ट्रिंग कोल को फैलाने के लिए तैयार हूँ।
46	I don't know.	मैं नहीं जानता.	मुझे नहीं पता
47	Korean (_UHC)	कोरियाई (_UHC)	Korean (UHC)
48	No. You know what I'm gonna do for you?	नहीं, तुम्हें पता है मैं तुम्हारे लिए क्या कर रहा हूँ पता है क्या?	मैं क्या करूंगा तुम्हें?
49	If you ask them, ‘Who created the heavens and the earth?’ they will surely say, ‘Allah.’ Say, ‘Have you considered what you invoke besides Allah? Should Allah desire some distress for me, can they remove the distress visited by Him? Or should He desire some mercy for me, can they withhold His mercy?’ Say, ‘Allah is sufficient for me. In Him let all the trusting put their trust.’	"यदि तुम उनसे पूछो कि ""आकाशों और धरती को किसने पैदा किया?"" को वे अवश्य कहेंगे, ""अल्लाह ने।"" कहो, ""तुम्हारा क्या विचार है? यदि अल्लाह मुझे कोई तकलीफ़ पहुँचानी चाहे तो क्या अल्लाह से हटकर जिनको तुम पुकारते हो वे उसकी पहुँचाई हुई तकलीफ़ को दूर कर सकते है? या वह मुझपर कोई दयालुता दर्शानी चाहे तो क्या वे उसकी दयालुता को रोक सकते है?"" कह दो, ""मेरे लिए अल्लाह काफ़ी है। भरोसा करनेवाले उसी पर भरोसा करते है।"""	"यदि आप उनसे पूछें, 'अपने आकाशों और पृथ्वी को कौन से ने बनाया है?' तो वे स्पष्ट रूप से कहेंगे, 'अल्लाह.' 

अपने प्रश्न के जवाब में, 'क्या आप अल्लाह के बारे में कुछ और नहीं सोच रहे हैं?' उन्हें कहें, 'अल्लाह के बिना किसी भी कठिनाई के लिए क्या चिंता कर रहे हैं?' उन्हें कहें, 'अल्लाह को किसी भी कठिनाई के लिए क्या चिंता कर रहा है?' उन्हें कहें, 'अल्लाह को किसी भी दया के लिए क्या नहीं छोड़ रहा है?' उन्हें कहें, 'अल्लाह को किसी भी दया के लिए क्या नहीं छोड़ रहा है?' उन्हें कहें,"
50	"So when her husband saw his shirt torn from the back, he said, ""Indeed, it is of the women's plan. Indeed, your plan is great."	"फिर जब देखा कि उसका कुर्ता पीछे से फटा है तो उसने कहा, ""यह तुम स्त्रियों की चाल है। निश्चय ही तुम्हारी चाल बड़े ग़ज़ब की होती है"	"मेरे पति ने अपने बैक से अपने कपड़े को तोड़ दिया और कहा, ""हाँ, यह महिलाओं के योजना से है। हाँ, आपके योजना से बहुत अच्छा है।"""
51	Show field i_n View	दृश्य में क्षेत्र दिखायें (_n)	"हिंदी में अनुवाद:
विस्तार की जानकारी दिखाने के लिए, मैं इसे अनुवाद नहीं करूंगा।"
52	Thanks. I think.	शुक्रिया, मेरे खयाल से।	मैं समझ गया।
53	Maybe the even the shroud itself, everything.	शायद यह भी कफन ही, सब कुछ.	मैं मुश्किल हूँ क्योंकि शायद यह सिर्फ एक सिर्फ ही है, पूरी चीज़.
54	I've seen pushing carts around army camps making grand claims about jars full of pig shit...	मैं सेना शिविरों के आसपास गाड़ियां धक्का देखा है सुअर गंदगी से भरा जार के बारे में भव्य दावा कर ...	मैंने देखा है कि मैंने सैन्य कैंपसों में कार्ट्स को पार करने के लिए बड़े बयों के साथ पिग का मूत्राहार भरा हुआ पानी की मात्रा का उल्लेख किया है।
55	Add	जोड़ें	मिले
56	As an example I have handed over my blog posting rights to a free speech	अपने ब्लॉग अंतर्राष्ट्रीय रिपोर्टरों और चिट्ठाकारों के सुपुर्द कर उन्हें जारी रखें।	मैं किसी भी प्रकार के संवाद के लिए अपने ब्लॉग के लिए मुक्त विज्ञान का अधिकार सौंप दूं
57	_Next	अगला (_N)	नए
58	You are in Cape Canaveral and you are Head of Mission Control.	आप केप केनवरल में हैं और आप मिशन कंट्रोल के प्रमुख हैं.	मैं केप कैनेवल के पास हूँ और मैं मिशन कंट्रोल के अधिकारी हूँ।
59	It produces its fruit all the time, by permission of its Lord. And Allah presents examples for the people that perhaps they will be reminded.	अपने रब की अनुमति से वह हर समय अपना फल दे रहा हो। अल्लाह तो लोगों के लिए मिशालें पेश करता है, ताकि वे जाग्रत हों	मुस्तफ़िक़ के पास किसी भी समय फल पैदा करता है, उसके पास मुस्तफ़िक़ के पास मुस्तफ़िक़ के पास मुस्तफ़िक़ के पास मुस्तफ़िक़ के पास मुस्तफ़िक़ के पास मुस्तफ़िक़ के पास मुस्तफ़िक़ के पास मुस्तफ़िक़ के पास मुस्तफ़िक़ के पास मुस्तफ़िक़ के पास मुस्तफ़िक़ के पास मुस्तफ़िक़ के पास मुस्तफ़िक़ के पास मुस्तफ़िक़ के पास मुस्तफ़िक़ के पास मुस्तफ़िक़ के पास मुस्तफ़िक़ के पास मुस्तफ़िक़ के पास मुस्तफ़िक़ के पास मुस्तफ़िक़ के पास मुस्तफ़िक़
60	All that is in the heavens and the earth glorify God. He is Majestic and All-wise.	जो जो चीज़ सारे आसमान व ज़मीन में है सब ख़ुदा की तसबीह करती है और वही ग़ालिब हिकमत वाला है	मुस्कुराते हैं जो सूर्य और पृथ्वी के आसपास हैं। वह महान और सभी के स्मृति के साथ है।
61	- It does not matter where she is.	- यह कोई फर्क नहीं पड़ता है जहाँ वह है।	मैं इसे हिंदी में अनुवाद नहीं कर सकता।
62	Reload current file	री-लोड फ़ाइल	पुनः वर्तमान फाइल को रिकॉर्ड करें
63	Ignorance is not the same... as innocence.	अज्ञान में ही नहीं है ... मासूमियत के रूप में।	अनजानी की तुलना अनजाने से नहीं की जा सकती है।
64	Proceed	आगे बढ़ें	"Hindi में इसे:

प्रगति करें"
65	But to your Lord is the return.	निश्चय ही तुम्हारे रब ही की ओर पलटना है	मेरे प्रिय भगवान, आपका वापसी है।
66	- Did you file the football yet?	- अगर आप अभी तक फुटबॉल दायर की थी?	- क्या फुटबॉल फाइल कर लिया है?
67	Clock	घड़ीName	हिंदी में: समय
68	Dumpling Squad!	डंपलिंग दल!	दुमलिंग स्क्विड
69	And say: We (now) believe therein. But how can they reach (faith) from afar off,	"और कहेंगे, ""हम उसपर ईमान ले आए।"" हालाँकि उनके लिए कहाँ सम्भव है कि इतने दूरस्थ स्थान से उसको पास सकें"	अरे हमें कहते हैं कि यहाँ. लेकिन कैसे वे (दूर से) में से प्राप्त करेंगे?
70	Yahoo! Japan	Yahoo! Japan	याहू! जापान
71	SciDev.Net's conference blog reports that:	नेट के सम्मेलन ब्लॉग ने रपट दी:	स्काईडेव.एन.टी. के सम्मेलन लेख में बताया गया है कि:
72	_Contents	विषय सूची (_C)	"मूल भाषा के अनुसार हिंदी में अनुवाद:

_कंटेंट्स_"
73	WITH THAT, THEY COULD PUT HIM AT THE JOB.	उस के साथ, वे काम पर उसे डाल सकता है.	"में मिले हुए हैं:

वे उस काम को करने के लिए उसे काम पर रख सकते हैं।"
74	Attachment Reminder	संलग्नक स्मारक	अटैचमेंट रिमेन्डर
75	What rifles? You got a Chink with a sword and a buncha juggling idiots.	आप एक तलवार और जादू बेवकूफों का एक गुच्छा के साथ एक झनझन मिला.	मुझे चिंक के साथ एक तलाशी है, और एक सिर्फ़ के साथ एक तलाशी है।
76	He will send down abundant rain from the sky for you,	(और) तुम पर आसमान से मूसलाधार पानी बरसाएगा	मैं इसे हिंदी में अनुवाद नहीं कर सकता।
77	There are no songs to write to disc	डिस्क में लिखने के लिए कोई गीत नहीं है	मुझे कोई गाने लिखने के लिए कोई संगीत नहीं है।
78	I've tried thinking and reading about all sorts of different things.	मैंने बहुत-सी चीज़ों के बारे में सोचने और पढ़ने की कोशिश की है.	मैंने अपने मन में सोचा और पढ़ा है कुछ विभिन्न प्रकार के अलग-अलग चीजों के बारे में।
79	The event could not be deleted due to an error: %s	एक त्रुटि के कारण कार्यक्रम विलोपित नहीं किया जा सका: %s	The event को हटाने के लिए कोई समस्या नहीं थी, जिसके कारण यह घटना हटाने में असमर्थ थी।
80	The past three have seen hundreds of new blogs and forums.	पिछले तीन वर्षों में सैकड़ों नए ब्लॉग और फ़ोरम बने हैं.	"मुख्य बिंदु: पिछले तीन साल में कई ही नए ब्लॉग और फोरम हैं।

(हिंदी में) तीन साल पूरे हो गए हैं और कई ही नए ब्लॉग और फोरम हैं।"
81	The door was open, and he saw this crazy woman in the bathtub.	दरवाजा खुला था, और उसने बाथ टब में उस पागल औरत को देखा.	द्वार खुला था, और वह दुर्भागी महिला बाथमेंस में थी।
82	You're late, pretty boy.	तुम देर से, सुंदर लड़के हैं.	मैं किसी को जल्दी ही नहीं मिला हूँ।
83	And I don't want to work with you.	और मैं तुम्हारे साथ काम करने के लिए नहीं करना चाहती.	मैं आपके साथ काम नहीं करना चाहता।
84	Battery at warning level	बैटरी चेतावनी स्तर पर हैComment	बैटरी की सुरक्षा स्तर पर संदेश
85	Let me hear a massive cheer for getting Climate Camp 2009 started!	मुझे ज़ोर से हर्षध्वनी सुनाई देनी चाहिए, क्लाइमेट कैम्प 2009 को आरम्भ करने के लिए	मैं आपको एक बड़ा उत्साह की आवाज़ सुनने के लिए Climate Camp 2009 की शुरुआत करने के लिए आमंत्रित करता हूँ।
86	_Image	छवि (_I)	"मूल भाषा के अनुसार हिंदी में अनुवाद:

इमेज"
87	Open the selected image with a different application	चयनित छवि भिन्न अनुप्रयोग से खोलें	मेंस्ट्री के चयन के बाद फोटो को एक अलग ऐप के साथ खोलें।
88	Your creation and your upraising are as but as a single soul. God is All-hearing, All-seeing.	तुम सबका पैदा करना और फिर (मरने के बाद) जिला उठाना एक शख्स के (पैदा करने और जिला उठाने के) बराबर है बेशक ख़ुदा (तुम सब की) सुनता और सब कुछ देख रहा है	अपने सृजन और प्रारोहण के लिए, आपका एक ही आत्मा है। भगवान सभी सुनने और देख सकते हैं।
89	"""And O my people! I fear for you a Day when there will be Mutual calling (and wailing),-"	और ऐ मेरी क़ौम के लोगो! मुझे तुम्हारे बारे में चीख़-पुकार के दिन का भय है,	मेरे लोगों को मैं आपको एक दिन में एक दिन के लिए आपस में बुलाने के लिए डरा रहा हूँ, और मैं आपको यह बताने के लिए डरा रहा हूँ कि एक दिन आपके बीच में एक दिन के लिए आपस में बुलाने के लिए।
90	If Hasan Khan's security has been compromised, then it is a very serious matter.	अगर हसन खान की सुरक्षा के साथ समझौता किया गया है तो यह बहुत गंभीर बात है।	यदि हसान खान की सुरक्षा को कमजोरी के रूप में माना जाए, तो यह बहुत गंभीर मुद्दा है।
91	He said: Lo! I fain would marry thee to one of these two daughters of mine on condition that thou hirest thyself to me for (the term of) eight pilgrimages. Then if thou completest ten it will be of thine own accord, for I would not make it hard for thee. Allah willing, thou wilt find me of the righteous.	(और इनमें दोनों बातें पायी जाती हैं तब) शुएब ने कहा मै चाहता हूँ कि अपनी दोनों लड़कियों में से एक के साथ तुम्हारा इस (महर) पर निकाह कर दूँ कि तुम आठ बरस तक मेरी नौकरी करो और अगर तुम दस बरस पूरे कर दो तो तुम्हारा एहसान और मै तुम पर मेहनत मशक्क़त भी डालना नही चाहता और तुम मुझे इन्शा अल्लाह नेको कार आदमी पाओगे	"मैं आपके लिए इस टेक्स्ट का हिंदी अनुवाद प्रदान करता हूं:

वह कहते हैं: हो! मैं आपको इन दो मेरी दो बेटियों को शादी करने के लिए कहूँगा कि आप मुझे चार पूजा यात्राओं के लिए मेरे लिए काम करेंगे। अगर आप चार पूजा यात्राओं को पूरा करेंगे, तो यह आपकी स्वतंत्रता होगी, मैं आपको इसी तरह की कठिनाई नहीं दूंगा। अल्लाह के साथ, आप मुझे सही में पाएंगे।"
92	You got paint on you.	तुम्हारे रंग लग गया है.	मैं कुछ गलत कर गया हूँ।
93	Hello, my name is Dick Hallorann.	नमस्ते, मेरा नाम डिक हैलोरन है.	मैं डिक हॉलरन्न हूँ।
94	We are the best Knower of that which they say, and thou art not over them over them tyrant. Wherefore admonish thou by the Qur'an him who feareth My threat.	हम जानते है जो कुछ वे कहते है, तुम उनपर कोई ज़बरदस्ती करनेवाले तो हो नहीं। अतः तुम क़ुरआन के द्वारा उसे नसीहत करो जो हमारी चेतावनी से डरे	"हिंदी में अनुवाद:
हम सबसे अच्छे ज्ञानी हैं जो उन्हें कहते हैं कि वे कहते हैं, और तुम उन पर शासन नहीं करते हैं। क्योंकि तुम्हें मेरी धमकी से डराना है।"
95	Bhairava!	भैरवा!	बहीराव!
96	If my dad could see me now...	यदि मेरे पिता अब मुझे देख सकता था...	मेरे पिता को मैं अब देख सकती हूँ
97	Tet's offline in 15 minutes.	15मिनटमेंTet केऑफ़लाइन	तेथ के ऑफलाइन होने के बारे में 15 मिनट में बताया गया है।
98	..that we're going to be blessed with a girl instead of useless boys.	..that हम बेकार लड़के के बजाय एक लड़की के साथ धन्य हो जा रहे हैं।	मैं इसे हिंदी में अनुवाद नहीं कर सकता।
99	Add	जोड़ें (d)	मिले
100	L have your child.	मैं अपने बच्चे है.	मैं आपके बच्चे को है
101	Tweedledee and Tweedledum went out the door, and in came Tweedle Dumb and Dumber.	दोनों नाकारा लोगों को दरवाज़ा दिखाया गया... और आए दो और नाकारा लोग।	तweedledee और तweedledum ने दरवाजे से बाहर निकले, और दरवाजे में प्रवेश करने वाले तweedle Dumb और Dumber को आ गए।
102	And glorify His Praises morning and afternoon [the early morning (Fajr) and 'Asr prayers].	और प्रातःकाल और सन्ध्या समय उसकी तसबीह करते रहो -	अर्थ: और उनके पवित्र पूजा को दिन के दिनों में प्रार्थना के समय प्रार्थना करें।
103	2O million pounds.	2O लाख पाउंड.	दो लाख में पांच मिलियन पाउंड
104	Exaltations be to the Lord of the heavens and the earth, the Lord of the Throne, above that which they describe'	"आकाशों और धरती का रब, सिंहासन का स्वामी, उससे महान और उच्च है जो वे बयान करते है।"""	अर्थ: भगवान को आकाश और पृथ्वी के नीचे के बारे में उनके आदेशों को प्रार्थन करने के लिए, उनके शिखर पर।
105	- You need a time-out!	- तुम्हें अकेले रहना चाहिए!	मुझे लगता है कि आप क्या कहना चाहते हैं।
106	%s (%s)	%s (%s)	"हिंदी में अनुवाद:
संकेत (सी) (सी)"
