	Unnamed: 0.1	Unnamed: 0	Source_Dialogue	Reference	MT
14	14	14	Google Talk Home Name 3	गूगल टाक होम नाम 3	"Source:
Source Sentence 3"
15	15	15	All prisoners report for Lockdown.	सभी कैदी लॉकडाउन के लिए रिपोर्ट करो.	Yes, all prisoners report for Lockdown.
16	16	16	Did not the disbelievers observe that the heavens and the earth were together, so We parted them, and we made every living thing from water? So will they not accept faith?	जो लोग काफिर हो बैठे क्या उन लोगों ने इस बात पर ग़ौर नहीं किया कि आसमान और ज़मीन दोनों बस्ता (बन्द) थे तो हमने दोनों को शिगाफ़ता किया (खोल दिया) और हम ही ने जानदार चीज़ को पानी से पैदा किया इस पर भी ये लोग ईमान न लाएँगे	Yes, they will make every living thing from water? So will they not accept faith?
17	17	17	Turn the siren off.	आप ठीक हो जाएगा रहे हैं, अरे नहीं;	Yes, a siren is turned off.
18	18	18	Name:	नाम: Refresh every [NUMERIC_ENTRY] [TIME_UNITS_COMBO]	Source:
19	19	19	We should go to a hospital.	हम एक अस्पताल जाना चाहिए।	Yes, we should go to a hospital.
20	20	20	Whoa! So... What is your...	तो तुम्हारी योजना क्या है?	I couldn't.
21	21	21	I'm not going to drink it.	मैं इसे पीने के लिए नहीं जा रहा हूँ।	Translation is accurate, fluent, and faithful to the original meaning.
22	22	22	Do they say: “He has forged a lie against Allah?” If Allah so wanted He could seal up your heart. Allah blots out falsehood and confirms the truth by His Words. He is well aware of all the secrets hidden in the breasts (of people).	क्या ये लोग (तुम्हारी निस्बत कहते हैं कि इस (रसूल) ने ख़ुदा पर झूठा बोहतान बाँधा है तो अगर (ऐसा) होता तो) ख़ुदा चाहता तो तुम्हारे दिल पर मोहर लगा देता (कि तुम बात ही न कर सकते) और ख़ुदा तो झूठ को नेस्तनाबूद और अपनी बातों से हक़ को साबित करता है वह यक़ीनी दिलों के राज़ से ख़ूब वाक़िफ है	Yes, they say: “He has forged a lie against Allah?”
23	23	23	No, but I traded the BMW in for a Mercedes four fucking weeks ago, remember?	लेकिन मर्सिडीज़ के लिए उसका सौदा किया था। याद है चार हफ़्ते पहले।	Yes, but I traded the BMW in for a Mercedes four fucking weeks ago, remember?
24	24	24	- No. Not here!	- यहाँ नहीं नहीं!	Yes, yes!
25	25	25	It shall insistently summon him who turned his back and retreated,	(और) उन लोगों को अपनी तरफ बुलाती होगी	"Translate:
It shall solemnly declare that the original meaning shall be faithful to the original meaning."
26	26	26	And we've gathered around for that.	और हम उसके लिए चारों ओर इकट्ठा किया है।	Yes, we've gathered around that.
27	27	27	MURPH:	MURPH:	Yes,
28	28	28	And the mountains – how they have been established?	और पहाड़ों की तरफ़ कि किस तरह खड़े किए गए हैं	I do not add, remove or change any information.
29	29	29	Bold	गाढ़ा	"Translate:
Source Sentence"
30	30	30	And he is going to say the word that I have prepared for you.	और वह मैं आप के लिए तैयार किया है कि शब्द कहने जा रहा है.	"Translate:
And he is going to say the word that I have prepared for you."
31	31	31	Configure external packages	कॉन्फ़िगर संकुल	"Translate following text:
Configure external packages"
32	32	32	The bank, which declined to comment on the suspensions, confirmed this month that it has received requests for information from regulators.	बैंक ने निलम्बन के बारे में टिप्पणी करने से इन्कार करते हुए पुष्टि की है कि बैंक को इस महीने विनियामकों से सूचना के लिए अनुरोध प्राप्त हुआ है।	"Source:
The bank, which declined to comment on the suspensions, confirmed this month that it has received requests for information from regulators."
33	33	33	What! Do those who seek after evil ways think that We shall hold them equal with those who believe and do righteous deeds,- that equal will be their life and their death? Ill is the judgment that they make.	जो लोग बुरा काम किया करते हैं क्या वह ये समझते हैं कि हम उनको उन लोगों के बराबर कर देंगे जो ईमान लाए और अच्छे अच्छे काम भी करते रहे और उन सब का जीना मरना एक सा होगा ये लोग (क्या) बुरे हुक्म लगाते हैं	Yes, I will hold them equal with those who believe and do righteous deeds.-That equal will be their life and their death?Ill is the judgment that they make.
34	34	34	Ignore him. He's senile.	ये तो सठीया गए हैं	Cutting Knowledge Date: December 2023.
35	35	35	Failed to get the DN for user '%s'	DN को उपयोक्ता '%s' के लिए पाने में विफल	Yes,
36	36	36	Your names	EMAIL OF TRANSLATORS	Yes, sir!
37	37	37	translator-credits	राजेश रंजन (rajeshkajha@yahoo.com, rranjan@redhat.com)%d hit(s) on this page	"Translate:
-translation"
38	38	38	Worldly desires, wives, children, accumulated treasures of gold and silver, horses of noble breed, cattle, and farms are all made to seem attractive to men. All these are the bounties of the worldly life but in the life to come God has the best place for people to dwell.	मनुष्यों को चाहत की चीजों से प्रेम शोभायमान प्रतीत होता है कि वे स्त्रिमयाँ, बेटे, सोने-चाँदी के ढेर और निशान लगे (चुने हुए) घोड़े हैं और चौपाए और खेती। यह सब सांसारिक जीवन की सामग्री है और अल्लाह के पास ही अच्छा ठिकाना है	Yes, the worldly life is considered to be the best place for people to live.
39	39	39	"And pray: ""O my Lord, let my entry be with honour, and let my exit be with honour, and grant me power from You which would help (sustain) me."""	"और कहो, ""मेरे रब! तू मुझे ख़ूबी के साथ दाख़िल कर और ख़ूबी के साथ निकाल, और अपनी ओर से मुझे सहायक शक्ति प्रदान कर।"""	"Yes, sir, and I grant you power from You which would help (sustain) me."""
40	40	40	There are no songs to write to disc	डिस्क में लिखने के लिए कोई गीत नहीं है	Yes, there are songs to write to
41	41	41	An ordinary citizen writes about the rich culture of celebrating the Bangla New Year, Pahela Baishakh in Bangladesh.	एन आर्डिनेरी सिटिज़न ने बांग्लादेश में बांग्ला नववर्ष पोएला बोइशाख के पारंपरिक उत्सव और सांस्कृतिक धरोहर के बारे में पोस्ट लिखी है।	Yes, the rich culture of celebrating the Bangla New Year, Pahela Bishakh in Bangladesh.
42	42	42	Can nothing be done? !	कुछ भी नहीं किया जा सकता है?	Yes, nothing can be done!
43	43	43	- You hit him with a bicycle pump?	- तुमने उसे एक साइकिल पंप से मारा?	Yes, he hit him with a bicycle?
44	44	44	I worried they take you away from me.	मुझे लगता है वे मुझे से दूर ले चिंतित है.	Yes, they take away from you.
45	45	45	Y-you're gonna wear out the spring coil.	छल्लेदार स्प्रिंग घिस जाएगी।	Did you know that the spring coil is going to be replaced?
46	46	46	I don't know.	मैं नहीं जानता.	I don't know.
47	47	47	Korean (_UHC)	कोरियाई (_UHC)	"Translate:
English (UHC)"
48	48	48	No. You know what I'm gonna do for you?	नहीं, तुम्हें पता है मैं तुम्हारे लिए क्या कर रहा हूँ पता है क्या?	Yes.
49	49	49	If you ask them, ‘Who created the heavens and the earth?’ they will surely say, ‘Allah.’ Say, ‘Have you considered what you invoke besides Allah? Should Allah desire some distress for me, can they remove the distress visited by Him? Or should He desire some mercy for me, can they withhold His mercy?’ Say, ‘Allah is sufficient for me. In Him let all the trusting put their trust.’	"यदि तुम उनसे पूछो कि ""आकाशों और धरती को किसने पैदा किया?"" को वे अवश्य कहेंगे, ""अल्लाह ने।"" कहो, ""तुम्हारा क्या विचार है? यदि अल्लाह मुझे कोई तकलीफ़ पहुँचानी चाहे तो क्या अल्लाह से हटकर जिनको तुम पुकारते हो वे उसकी पहुँचाई हुई तकलीफ़ को दूर कर सकते है? या वह मुझपर कोई दयालुता दर्शानी चाहे तो क्या वे उसकी दयालुता को रोक सकते है?"" कह दो, ""मेरे लिए अल्लाह काफ़ी है। भरोसा करनेवाले उसी पर भरोसा करते है।"""	"Translate:
If you ask them, “Who created the heavens and the earth?” they will surely say, “Allah.”"
50	50	50	"So when her husband saw his shirt torn from the back, he said, ""Indeed, it is of the women's plan. Indeed, your plan is great."	"फिर जब देखा कि उसका कुर्ता पीछे से फटा है तो उसने कहा, ""यह तुम स्त्रियों की चाल है। निश्चय ही तुम्हारी चाल बड़े ग़ज़ब की होती है"	Yes, it is true.
51	51	51	Show field i_n View	दृश्य में क्षेत्र दिखायें (_n)	Source Sentence
52	52	52	Thanks. I think.	शुक्रिया, मेरे खयाल से।	Thank.
53	53	53	Maybe the even the shroud itself, everything.	शायद यह भी कफन ही, सब कुछ.	"Source:
Maybe the even the shroud itself, everything."
54	54	54	I've seen pushing carts around army camps making grand claims about jars full of pig shit...	मैं सेना शिविरों के आसपास गाड़ियां धक्का देखा है सुअर गंदगी से भरा जार के बारे में भव्य दावा कर ...	Yes, I've seen it.
55	55	55	Add	जोड़ें	Yes
56	56	56	As an example I have handed over my blog posting rights to a free speech	अपने ब्लॉग अंतर्राष्ट्रीय रिपोर्टरों और चिट्ठाकारों के सुपुर्द कर उन्हें जारी रखें।	Yes, I have handed over my blog posting rights to a free speech
57	57	57	_Next	अगला (_N)	"Translate:
Next"
58	58	58	You are in Cape Canaveral and you are Head of Mission Control.	आप केप केनवरल में हैं और आप मिशन कंट्रोल के प्रमुख हैं.	Yes, you are in Cape Canaveral and you are Head of Mission Control.
59	59	59	It produces its fruit all the time, by permission of its Lord. And Allah presents examples for the people that perhaps they will be reminded.	अपने रब की अनुमति से वह हर समय अपना फल दे रहा हो। अल्लाह तो लोगों के लिए मिशालें पेश करता है, ताकि वे जाग्रत हों	Yes, it is true.
60	60	60	All that is in the heavens and the earth glorify God. He is Majestic and All-wise.	जो जो चीज़ सारे आसमान व ज़मीन में है सब ख़ुदा की तसबीह करती है और वही ग़ालिब हिकमत वाला है	Yes, all that is in the heavens and the earth are glorified by God.
61	61	61	- It does not matter where she is.	- यह कोई फर्क नहीं पड़ता है जहाँ वह है।	Yes, she is there.
62	62	62	Reload current file	री-लोड फ़ाइल	"assistant

Source:
Source Sentence"
63	63	63	Ignorance is not the same... as innocence.	अज्ञान में ही नहीं है ... मासूमियत के रूप में।	Yes, but not in the sense that it is not the same.
64	64	64	Proceed	आगे बढ़ें	"Translate:
Following"
65	65	65	But to your Lord is the return.	निश्चय ही तुम्हारे रब ही की ओर पलटना है	"Translate:
But to your Lord is the return."
66	66	66	- Did you file the football yet?	- अगर आप अभी तक फुटबॉल दायर की थी?	Yes, did you file the football yet?
67	67	67	Clock	घड़ीName	Yes
68	68	68	Dumpling Squad!	डंपलिंग दल!	"Translation:
Dumpling Squad!"
69	69	69	And say: We (now) believe therein. But how can they reach (faith) from afar off,	"और कहेंगे, ""हम उसपर ईमान ले आए।"" हालाँकि उनके लिए कहाँ सम्भव है कि इतने दूरस्थ स्थान से उसको पास सकें"	Did you know that?
70	70	70	Yahoo! Japan	Yahoo! Japan	"Translate:
Y! Japan"
71	71	71	SciDev.Net's conference blog reports that:	नेट के सम्मेलन ब्लॉग ने रपट दी:	"Source:
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence.
Source Sentence"
72	72	72	_Contents	विषय सूची (_C)	Sure the following text is accurate, fluent, and faithful to the original meaning.Do not add, remove, or change any information.
73	73	73	WITH THAT, THEY COULD PUT HIM AT THE JOB.	उस के साथ, वे काम पर उसे डाल सकता है.	Yes, they could put him at the job.
74	74	74	Attachment Reminder	संलग्नक स्मारक	"Translate:
Source Sentence"
75	75	75	What rifles? You got a Chink with a sword and a buncha juggling idiots.	आप एक तलवार और जादू बेवकूफों का एक गुच्छा के साथ एक झनझन मिला.	Did you get a Chink with a sword and a buncha juggling idiots?
76	76	76	He will send down abundant rain from the sky for you,	(और) तुम पर आसमान से मूसलाधार पानी बरसाएगा	"Translate:
He will send down abundant rain from the sky for you,"
77	77	77	There are no songs to write to disc	डिस्क में लिखने के लिए कोई गीत नहीं है	Yes, there are songs to write to
78	78	78	I've tried thinking and reading about all sorts of different things.	मैंने बहुत-सी चीज़ों के बारे में सोचने और पढ़ने की कोशिश की है.	You've tried thinking and reading about all sorts of different things.
79	79	79	The event could not be deleted due to an error: %s	एक त्रुटि के कारण कार्यक्रम विलोपित नहीं किया जा सका: %s	Yes, the event could not be deleted due to an error: %s
80	80	80	The past three have seen hundreds of new blogs and forums.	पिछले तीन वर्षों में सैकड़ों नए ब्लॉग और फ़ोरम बने हैं.	Yes, they have seen hundreds of new blogs and forums.
81	81	81	The door was open, and he saw this crazy woman in the bathtub.	दरवाजा खुला था, और उसने बाथ टब में उस पागल औरत को देखा.	"Source:
The door was open, and he saw this crazy woman in the bathtub."
82	82	82	You're late, pretty boy.	तुम देर से, सुंदर लड़के हैं.	Yes, pretty, but you're late, pretty, but you're late, pretty, but you're late, pretty, but you're late, pretty, but you're late, pretty, but you're late, pretty, but you're late, pretty, but you're late, pretty, but you're late, pretty, but you're late, pretty, but you're late, pretty, but you're late, pretty, but you're late, pretty, but you're late, pretty, but you're late, pretty, but you're late, pretty, but you're late, pretty, but you're late, pretty, but you're late, pretty, but you're late, pretty, but you're late, pretty, but you're late, pretty, but you're late, pretty, but you're late, pretty, but you're late, pretty, but you're late, pretty, but you're late, pretty, but you're late, pretty, but you're late, pretty, but you're late, pretty, but you're late, pretty, but you're late, pretty, but you're late, pretty, but you're late, pretty, but you're late, pretty, but you're late, pretty,
83	83	83	And I don't want to work with you.	और मैं तुम्हारे साथ काम करने के लिए नहीं करना चाहती.	"Translation:
And I don't want to work with you."
84	84	84	Battery at warning level	बैटरी चेतावनी स्तर पर हैComment	Source Sentence
85	85	85	Let me hear a massive cheer for getting Climate Camp 2009 started!	मुझे ज़ोर से हर्षध्वनी सुनाई देनी चाहिए, क्लाइमेट कैम्प 2009 को आरम्भ करने के लिए	Yes, I am happy to hear a massive cheer for Climate Camp 2009 started!
86	86	86	_Image	छवि (_I)	"assistant

Source"
87	87	87	Open the selected image with a different application	चयनित छवि भिन्न अनुप्रयोग से खोलें	"Source:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence"
88	88	88	Your creation and your upraising are as but as a single soul. God is All-hearing, All-seeing.	तुम सबका पैदा करना और फिर (मरने के बाद) जिला उठाना एक शख्स के (पैदा करने और जिला उठाने के) बराबर है बेशक ख़ुदा (तुम सब की) सुनता और सब कुछ देख रहा है	Yes, your creation and upraising are as but as a single soul. God is All-hearing, All-seeing.
89	89	89	"""And O my people! I fear for you a Day when there will be Mutual calling (and wailing),-"	और ऐ मेरी क़ौम के लोगो! मुझे तुम्हारे बारे में चीख़-पुकार के दिन का भय है,	Yes, my people! I fear for you a Day when there will be Mutual calling (and wailing),
90	90	90	If Hasan Khan's security has been compromised, then it is a very serious matter.	अगर हसन खान की सुरक्षा के साथ समझौता किया गया है तो यह बहुत गंभीर बात है।	Yes, it is a very serious matter.
91	91	91	He said: Lo! I fain would marry thee to one of these two daughters of mine on condition that thou hirest thyself to me for (the term of) eight pilgrimages. Then if thou completest ten it will be of thine own accord, for I would not make it hard for thee. Allah willing, thou wilt find me of the righteous.	(और इनमें दोनों बातें पायी जाती हैं तब) शुएब ने कहा मै चाहता हूँ कि अपनी दोनों लड़कियों में से एक के साथ तुम्हारा इस (महर) पर निकाह कर दूँ कि तुम आठ बरस तक मेरी नौकरी करो और अगर तुम दस बरस पूरे कर दो तो तुम्हारा एहसान और मै तुम पर मेहनत मशक्क़त भी डालना नही चाहता और तुम मुझे इन्शा अल्लाह नेको कार आदमी पाओगे	"Translate:
He said: Lo! I fain would marry to one of these two daughters of mine on condition that they will be my own daughters, on condition that they will be my own daughters, on condition that they will be my own daughters, on condition that they will be my own daughters, on condition that they will be my own daughters, on condition that they will be my own daughters, on condition that they will be my own daughters, on condition that they will be my own daughters, on condition that they will be my own daughters, on condition that they will be my own daughters, on condition that they will be my own daughters, on condition that they will be my own daughters, on condition that they will be my own daughters, on condition that they will be my own daughters, on condition that they will be my own daughters, on condition that they will be my own daughters, on condition that they will be my own daughters, on condition that they will be my own daughters, on condition that they will be my own daughters, on condition that they will be my own daughters, on condition that they will be my own daughters, on condition that they will be my own daughters, on condition that they will be my own daughters, on condition that they will be"
92	92	92	You got paint on you.	तुम्हारे रंग लग गया है.	Painting on you.
93	93	93	Hello, my name is Dick Hallorann.	नमस्ते, मेरा नाम डिक हैलोरन है.	Hello, my name is Dik Hall Hallorn.
94	94	94	We are the best Knower of that which they say, and thou art not over them over them tyrant. Wherefore admonish thou by the Qur'an him who feareth My threat.	हम जानते है जो कुछ वे कहते है, तुम उनपर कोई ज़बरदस्ती करनेवाले तो हो नहीं। अतः तुम क़ुरआन के द्वारा उसे नसीहत करो जो हमारी चेतावनी से डरे	Yes, the best Knower of that which they say, and you art not over them over.
95	95	95	Bhairava!	भैरवा!	"Translate:
Bharva!"
96	96	96	If my dad could see me now...	यदि मेरे पिता अब मुझे देख सकता था...	Yes, if my dad could see me now...
97	97	97	Tet's offline in 15 minutes.	15मिनटमेंTet केऑफ़लाइन	Yes, they are available in 15 minutes.
98	98	98	..that we're going to be blessed with a girl instead of useless boys.	..that हम बेकार लड़के के बजाय एक लड़की के साथ धन्य हो जा रहे हैं।	Yes, I will be a girl instead of a useless boy.
99	99	99	Add	जोड़ें (d)	Yes
100	100	100	L have your child.	मैं अपने बच्चे है.	Yes, you have your child.
101	101	101	Tweedledee and Tweedledum went out the door, and in came Tweedle Dumb and Dumber.	दोनों नाकारा लोगों को दरवाज़ा दिखाया गया... और आए दो और नाकारा लोग।	Yes, and yes, and yes, and yes, and yes, and yes, and yes, and yes, and yes, and yes, and yes, and yes, and yes, and yes, and yes, and yes, and yes, and yes, and yes, and yes, and yes, and yes, and yes, and yes, and yes, and yes, and yes, and yes, and yes, and yes, and yes, and yes, and yes, and yes, and yes, and yes, and yes, and yes, and yes, and yes, and yes, and yes, and yes, and yes, and yes, and yes, and yes, and yes, and yes, and yes, and yes, and yes, and yes, and yes, and yes, and yes, and yes, and yes, and yes, and yes, and yes, and yes, and yes, and yes, and yes, and yes, and yes, and yes, and yes, and yes, and yes, and yes, and yes, and yes, and yes, and yes, and yes, and yes, and yes, and yes, and yes, and yes, and yes, and yes, and yes, and yes
102	102	102	And glorify His Praises morning and afternoon [the early morning (Fajr) and 'Asr prayers].	और प्रातःकाल और सन्ध्या समय उसकी तसबीह करते रहो -	Yes, and it is a source of joy and happiness.
103	103	103	2O million pounds.	2O लाख पाउंड.	"Source:
2."
104	104	104	Exaltations be to the Lord of the heavens and the earth, the Lord of the Throne, above that which they describe'	"आकाशों और धरती का रब, सिंहासन का स्वामी, उससे महान और उच्च है जो वे बयान करते है।"""	Yes, but it is not the Lord of the heavens and the earth, the Lord of the Throne, above that which they describe'
105	105	105	- You need a time-out!	- तुम्हें अकेले रहना चाहिए!	"assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant"
106	106	106	%s (%s)	%s (%s)	Source Sentence
107	107	107	I have been expecting you Captain. Perhaps you would like some tea.	मैं तुम्हारे लिए इंतजार कर रहा था कप्तान- शायद आपको कुछ चाय पसंद है?	"Cutting Knowledge Date: December 2023.
Today Date: 13 May 2026.
assistant

Translate:
I have been expecting you, sir."
108	108	108	Allah and His angels praise and venerate the Prophet. Believers, praise and venerate him and pronounce peace upon him in abundance.	इसमें भी शक नहीं कि खुदा और उसके फरिश्ते पैग़म्बर (और उनकी आल) पर दुरूद भेजते हैं तो ऐ ईमानदारों तुम भी दुरूद भेजते रहो और बराबर सलाम करते रहो	Yes, and their angels venerate the Prophet. Believers, praise and veneration the Prophet and pronounce peace upon the Prophet in abundance.
109	109	109	No, I'm in the middle of something.	नहीं, मैं कुछ के बीच में हूँ.	No, I'm in the middle of something.
110	110	110	The action, 16th of December, where NGOs and small nations and countries, all sorts of people from inside the conference...	16 दिसम्बर की कार्यवाही जिसमें एन. जी.	Yes, as the action, 16th of December, where NGOs and small nations and countries, all sorts of people from inside the conference...
111	111	111	After that, surely, you will die.	फिर तुम अवश्य मरनेवाले हो	Yes, you will die.
112	112	112	[man speaking native language]	[पुरुष अपनी मातृभाषा में बोल रहा है]	"Translate:
[man speaking native language]"
113	113	113	#As the earth turns and the summer's all gone#	# दिखाएँ # पर चला जाता है पृथ्वी बदल जाता है और गर्मियों के सभी # रूप में चला गया	As the earth turns and the summer's all gone#
114	114	114	Do they wait for any thing but the Hour (of change), that it may come upon them suddenly? Its signs have already appeared. How then will they be warned when it has come upon them?	तो क्या ये लोग बस क़यामत ही के मुनतज़िर हैं कि उन पर एक बारगी आ जाए तो उसकी निशानियाँ आ चुकी हैं तो जिस वक्त क़यामत उन (के सर) पर आ पहुँचेगी फिर उन्हें नसीहत कहाँ मुफीद हो सकती है	Yes, they will wait for any thing but the Hour (of change), that it may come upon them suddenly? Its signs have already appeared. How then will they be warned when it has come upon them?
115	115	115	"""In rhapsody that day As a whiplash today"""	"""धुन में उस दिन एक चोट आज के रूप में"""	"Translate:
“Today, I have rhapsified the day As a whiplash today”"
116	116	116	Start date invalid.	आरंभिक तारीख अवैध है.	Source date is 13 May 2026.
117	117	117	"William Long posted some spoofing videos produced by Google and Baidu, in which, Google called Baidu ""hundred poisons"" and Baidu mocked google as a foreign / alien company (zh)."	"विलियम लाँग ने गूगल और बायडू द्वारा निर्मित कुछ पैरोडी विडियो पोस्ट किये हैं जिनमें गूगल ने बायडू को ""हंड्रेड पॉयज़न"" यानि ज़हरीला पुकारा तो बायडू ने गूगल को विदेशी बाहरी कंपनी कह कर चिढ़ाया।"	"Translate:
Kerala posted some anti-spoing videos produced by Google and Kerala, in which, Google called Kerala ""hundred poisons"" and Kerala mocked google as a foreign / alien company (zh)."
118	118	118	It's not a rat!	यह एक चूहा नहीं है!	Yes, it's not a rat!
119	119	119	Unicode (UTF-3_2 LE)	यूनिकोड (UTF-3_2 LE)	Yes,
120	120	120	I left the apartment this morning so mad.	मैं आज सुबह तो पागल घर छोड़ दिया.	"Translate:
I left the apartment this morning so mad."
