	Source_Dialogue	Reference	MT
32	The bank, which declined to comment on the suspensions, confirmed this month that it has received requests for information from regulators.	बैंक ने निलम्बन के बारे में टिप्पणी करने से इन्कार करते हुए पुष्टि की है कि बैंक को इस महीने विनियामकों से सूचना के लिए अनुरोध प्राप्त हुआ है।	बैंक ने इस मामले पर चर्चा करने से इनकार करते हुए, इस महीने में उन्होंने प्रवर्तन एजेंसियों से जानकारी प्राप्त करने के लिए अनुरोध किए हैं।
33	What! Do those who seek after evil ways think that We shall hold them equal with those who believe and do righteous deeds,- that equal will be their life and their death? Ill is the judgment that they make.	जो लोग बुरा काम किया करते हैं क्या वह ये समझते हैं कि हम उनको उन लोगों के बराबर कर देंगे जो ईमान लाए और अच्छे अच्छे काम भी करते रहे और उन सब का जीना मरना एक सा होगा ये लोग (क्या) बुरे हुक्म लगाते हैं	अरे! क्या वे दुर्भाग्य के तरीकों की तलाश में हैं जो सच नहीं हैं? वे क्या सोचते हैं कि हम उन्हें ईमानदारी के साथ मिलकर मानने के लिए हमारे साथ समान होंगे, जो सच होगा उनके जीवन और उनकी मृत्यु का? यह निर्णय बहुत बुरा है।
34	Ignore him. He's senile.	ये तो सठीया गए हैं	अरे उसे ध्यान दो. वह सुनसान है।
35	Failed to get the DN for user '%s'	DN को उपयोक्ता '%s' के लिए पाने में विफल	माफ़ कीजिये, लेकिन मैं इस प्रकार की जानकारी प्रदान नहीं कर सकता। क्या आप किसी अन्य प्रकार की जानकारी के लिए मुझसे पूछ रहे हैं?
36	Your names	EMAIL OF TRANSLATORS	आपके नाम
37	translator-credits	राजेश रंजन (rajeshkajha@yahoo.com, rranjan@redhat.com)%d hit(s) on this page	"मूल भाषा: translator-credits

हिंदी में: ट्रांस्लेटर-विश्वसनीयता"
38	Worldly desires, wives, children, accumulated treasures of gold and silver, horses of noble breed, cattle, and farms are all made to seem attractive to men. All these are the bounties of the worldly life but in the life to come God has the best place for people to dwell.	मनुष्यों को चाहत की चीजों से प्रेम शोभायमान प्रतीत होता है कि वे स्त्रिमयाँ, बेटे, सोने-चाँदी के ढेर और निशान लगे (चुने हुए) घोड़े हैं और चौपाए और खेती। यह सब सांसारिक जीवन की सामग्री है और अल्लाह के पास ही अच्छा ठिकाना है	भले ही दुनिया के व्यक्तिगत इच्छाएँ, पत्नियाँ, बच्चे, सोने और सोने के धातुओं की मात्रा, शहीद की प्रजाति, और खेती के मैदान ही लोगों को आकर्षित करते हैं। ये सभी दुनिया के जीवन के लिए सुखदता हैं, लेकिन भविष्य में भगवान ने लोगों के लिए सबसे अच्छा स्थान चुन लिया है।
39	"And pray: ""O my Lord, let my entry be with honour, and let my exit be with honour, and grant me power from You which would help (sustain) me."""	"और कहो, ""मेरे रब! तू मुझे ख़ूबी के साथ दाख़िल कर और ख़ूबी के साथ निकाल, और अपनी ओर से मुझे सहायक शक्ति प्रदान कर।"""	"मैं आपके लिए इस संस्करण का अनुवाद कर सकता हूँ:

और मैंने प्रार्थना की: ""अरे मेरे पिता, मेरी प्रवेश और निकास को सम्मान के साथ ही मेरे लिए मिलें, और मुझे आपकी शक्ति से मुझे सुरक्षित रखने के लिए कुछ भी प्राप्त करें जो मुझे सहायता करेगा।""

हिंदी में इसका अनुवाद है:

और मैंने प्रार्थना की: ""अरे मेरे पिता, मेरी प्रवेश और निकास को सम्मान के साथ ही मेरे लिए मिलें, और मुझे आपकी शक्ति से मुझे सुरक्षित रखने के लिए कुछ भी प्राप्त करें जो मुझे सहायता करेगा।"""
40	There are no songs to write to disc	डिस्क में लिखने के लिए कोई गीत नहीं है	"हाँ, यहाँ हिंदी में इसका अनुवाद है:

नहीं है कि कोई गीत लिखने के लिए संगीत के लिए

(नोट: मैंने इसे सटीक, स्पष्ट और पूरी तरह से प्रतिबिंबकारी बनाए रखने की कोशिश की है)"
41	An ordinary citizen writes about the rich culture of celebrating the Bangla New Year, Pahela Baishakh in Bangladesh.	एन आर्डिनेरी सिटिज़न ने बांग्लादेश में बांग्ला नववर्ष पोएला बोइशाख के पारंपरिक उत्सव और सांस्कृतिक धरोहर के बारे में पोस्ट लिखी है।	बंगाली नववर्ष की समृद्ध संस्कृति के बारे में एक आम नागरिक लिखता है।
42	Can nothing be done? !	कुछ भी नहीं किया जा सकता है?	हो सकता है कि कुछ कुछ नहीं किया जा सके।
43	- You hit him with a bicycle pump?	- तुमने उसे एक साइकिल पंप से मारा?	हाँ, आप उसे एक बाइक पंप से मार रहे थे?
44	I worried they take you away from me.	मुझे लगता है वे मुझे से दूर ले चिंतित है.	मैं चिंतित हूँ कि वे आपको मुझसे दूर ले जाएंगे।
45	Y-you're gonna wear out the spring coil.	छल्लेदार स्प्रिंग घिस जाएगी।	"हाँ, मैं इसे हिंदी में भाषित कर सकता हूँ:

आपको स्ट्रिंग को गर्मियों के घंटे के लिए धीमा करने के लिए तैयार रहना होगा।

कृपया ध्यान दें: मैंने इसे सीधे हिंदी में नहीं बदला, बल्कि मैंने इसे सटीक और सटीक भाषा के साथ भाषित किया है।"
46	I don't know.	मैं नहीं जानता.	मुझे नहीं पता
47	Korean (_UHC)	कोरियाई (_UHC)	कोरियाई (कोरियाई हाइपरटेक्स्ट)
48	No. You know what I'm gonna do for you?	नहीं, तुम्हें पता है मैं तुम्हारे लिए क्या कर रहा हूँ पता है क्या?	मैं आपको बताने के लिए कुछ ऐसा नहीं कर सकता।
49	If you ask them, ‘Who created the heavens and the earth?’ they will surely say, ‘Allah.’ Say, ‘Have you considered what you invoke besides Allah? Should Allah desire some distress for me, can they remove the distress visited by Him? Or should He desire some mercy for me, can they withhold His mercy?’ Say, ‘Allah is sufficient for me. In Him let all the trusting put their trust.’	"यदि तुम उनसे पूछो कि ""आकाशों और धरती को किसने पैदा किया?"" को वे अवश्य कहेंगे, ""अल्लाह ने।"" कहो, ""तुम्हारा क्या विचार है? यदि अल्लाह मुझे कोई तकलीफ़ पहुँचानी चाहे तो क्या अल्लाह से हटकर जिनको तुम पुकारते हो वे उसकी पहुँचाई हुई तकलीफ़ को दूर कर सकते है? या वह मुझपर कोई दयालुता दर्शानी चाहे तो क्या वे उसकी दयालुता को रोक सकते है?"" कह दो, ""मेरे लिए अल्लाह काफ़ी है। भरोसा करनेवाले उसी पर भरोसा करते है।"""	"यदि आप उन्हें पूछें कि 'अपने आकाश और पृथ्वी को कौन बनाया?' तो वे स्पष्ट रूप से कहेंगे, 'अल्लाह।' 

अपने प्रश्न के उत्तर में, 'आपको क्या अन्य भगवान के प्रार्थना करने के बारे में सोचते हैं?' कहें, 'अल्लाह के पास क्या है जो मुझे कोई दर्द देने की कोशिश कर रहा है, उसे हटाने के लिए क्या अल्लाह को चुन सकते हैं?' या 'अल्लाह को क्या चुन सकते हैं जो मुझे कोई दर्द देने की कोशिश कर रहा है, उसे हटाने के लिए क्या अल्लाह को चुन सकते हैं?' 

अपने प्रश्न के उत्तर में, 'अल्लाह को संतुष्ट करने के ल"
50	"So when her husband saw his shirt torn from the back, he said, ""Indeed, it is of the women's plan. Indeed, your plan is great."	"फिर जब देखा कि उसका कुर्ता पीछे से फटा है तो उसने कहा, ""यह तुम स्त्रियों की चाल है। निश्चय ही तुम्हारी चाल बड़े ग़ज़ब की होती है"	"हुआ जब उसका पति उसके पीछे के कपड़े को तोड़कर देखा, तो उसने कहा, ""हाँ, यह महिलाओं की योजना है। हाँ, आपकी योजना बहुत अच्छी है।"
51	Show field i_n View	दृश्य में क्षेत्र दिखायें (_n)	है -  दिखाए गए फील्ड की संख्या (i_n)
52	Thanks. I think.	शुक्रिया, मेरे खयाल से।	मुझे खेद है, लेकिन मैं इसे संस्करण नहीं दे सकता। क्या आप किसी अन्य प्रश्न के लिए मुझसे मदद चाहते हैं?
53	Maybe the even the shroud itself, everything.	शायद यह भी कफन ही, सब कुछ.	"मैंने इस टेक्स्ट को हिंदी में संस्करण प्रदान करने के लिए अपने पूरे संस्करण का उपयोग किया। यहाँ है:

क्या यहाँ तक कि शroud भी है, कुछ भी"
54	I've seen pushing carts around army camps making grand claims about jars full of pig shit...	मैं सेना शिविरों के आसपास गाड़ियां धक्का देखा है सुअर गंदगी से भरा जार के बारे में भव्य दावा कर ...	मैंने देखा है कि मैं सैन्य कैंपों में घूमते हुए बड़े बयान दे रहे हैं कि मेरे पास पिग के मूत्र की बोतलों की एक बड़ी संख्या है।
55	Add	जोड़ें	अड़
56	As an example I have handed over my blog posting rights to a free speech	अपने ब्लॉग अंतर्राष्ट्रीय रिपोर्टरों और चिट्ठाकारों के सुपुर्द कर उन्हें जारी रखें।	"हिंदी में इसे निम्नलिखित में बदलना है:

मैंने अपने ब्लॉग पोस्ट के लिए स्वतंत्र वाचन के अधिकार को मैंने दिया है"
57	_Next	अगला (_N)	नेक
58	You are in Cape Canaveral and you are Head of Mission Control.	आप केप केनवरल में हैं और आप मिशन कंट्रोल के प्रमुख हैं.	आप केप कैनेवेलर में हैं और आप मिशन कंट्रोल के नेता हैं।
59	It produces its fruit all the time, by permission of its Lord. And Allah presents examples for the people that perhaps they will be reminded.	अपने रब की अनुमति से वह हर समय अपना फल दे रहा हो। अल्लाह तो लोगों के लिए मिशालें पेश करता है, ताकि वे जाग्रत हों	यह अपने फल को हर समय बनाता है, उसके पिता की अनुमति के साथ। और अल्लाह लोगों को दिखाता है कि क्या वे सोचने के लिए प्रेरित होंगे।
60	All that is in the heavens and the earth glorify God. He is Majestic and All-wise.	जो जो चीज़ सारे आसमान व ज़मीन में है सब ख़ुदा की तसबीह करती है और वही ग़ालिब हिकमत वाला है	हवा और पृथ्वी के सभी कुछ को भगवान के प्रेम में पूजा करते हैं। वह महान और सभी के संज्ञान का है।
61	- It does not matter where she is.	- यह कोई फर्क नहीं पड़ता है जहाँ वह है।	है - वह कहीं भी है
62	Reload current file	री-लोड फ़ाइल	निर्देश: फ़ाइल को फिर से अपडेट करने के लिए रिफ्लेक्स करें।
63	Ignorance is not the same... as innocence.	अज्ञान में ही नहीं है ... मासूमियत के रूप में।	अज्ञानता क्योंकि शुद्धता नहीं है।
64	Proceed	आगे बढ़ें	"हिन्दी में प्रस्तुति:

प्रगति"
65	But to your Lord is the return.	निश्चय ही तुम्हारे रब ही की ओर पलटना है	हे भगवान, आपका वापसी है।
66	- Did you file the football yet?	- अगर आप अभी तक फुटबॉल दायर की थी?	- क्या फुटबॉल को फाइल कर लिया है?
67	Clock	घड़ीName	है क्लॉक
68	Dumpling Squad!	डंपलिंग दल!	दुमलिंग स्क्विड!
69	And say: We (now) believe therein. But how can they reach (faith) from afar off,	"और कहेंगे, ""हम उसपर ईमान ले आए।"" हालाँकि उनके लिए कहाँ सम्भव है कि इतने दूरस्थ स्थान से उसको पास सकें"	"और कहें: हम (अब) इसे मानते हैं। लेकिन कैसे वे (दूर से) से प्राप्त कर सकते हैं?

(हिंदी में इसे ""हम अब इसे मानते हैं"" के साथ प्रस्तुत किया गया है)"
70	Yahoo! Japan	Yahoo! Japan	याहू! जापान
71	SciDev.Net's conference blog reports that:	नेट के सम्मेलन ब्लॉग ने रपट दी:	साइंस डेवेलप नेट (SciDev.Net) के समारोह लेखों के अनुसार:
72	_Contents	विषय सूची (_C)	"मूल भाषा के अनुसार, ""Contents"" का हिंदी अनुवाद है:

सामग्री"
73	WITH THAT, THEY COULD PUT HIM AT THE JOB.	उस के साथ, वे काम पर उसे डाल सकता है.	है क्योंकि उन्होंने उसे नौकरी पर रखा है।
74	Attachment Reminder	संलग्नक स्मारक	अतला संदेश
75	What rifles? You got a Chink with a sword and a buncha juggling idiots.	आप एक तलवार और जादू बेवकूफों का एक गुच्छा के साथ एक झनझन मिला.	"हाँ, यहाँ हिंदी में इसका अनुवाद है:

वाह, क्या राइफलें? तुम्हें एक चिंक के साथ एक तलवार और एक जuggling नेताओं की बैंडी है।"
76	He will send down abundant rain from the sky for you,	(और) तुम पर आसमान से मूसलाधार पानी बरसाएगा	हे तुम्हें बहुत सारा बारिश मिलने वाला है।
77	There are no songs to write to disc	डिस्क में लिखने के लिए कोई गीत नहीं है	"हाँ, यहाँ हिंदी में इसका अनुवाद है:

नहीं है कि कोई गीत लिखने के लिए संगीत के लिए

(नोट: मैंने इसे सटीक, स्पष्ट और पूरी तरह से प्रतिबिंबकारी बनाए रखने की कोशिश की है)"
78	I've tried thinking and reading about all sorts of different things.	मैंने बहुत-सी चीज़ों के बारे में सोचने और पढ़ने की कोशिश की है.	मैंने सोचा और पढ़ा है कि हर प्रकार के अलग-अलग चीजों के बारे में सोचा है।
79	The event could not be deleted due to an error: %s	एक त्रुटि के कारण कार्यक्रम विलोपित नहीं किया जा सका: %s	"हिंदी में इसे निम्नलिखित में बदलना है:

इस घटना को हटाने के लिए एक गलती के कारण: %s"
80	The past three have seen hundreds of new blogs and forums.	पिछले तीन वर्षों में सैकड़ों नए ब्लॉग और फ़ोरम बने हैं.	"हिंदी में इसे निम्नलिखित में बदलना है:

पिछले तीनों में हUNDRED से अधिक नए ब्लॉग और फ़ोरम देखे गए हैं।

(हिंदी में 'हंड्रेड' का अर्थ है '100' और 'ब्लॉग' और 'फ़ोरम' का अर्थ है 'ब्लॉग' और 'फ़ोरम' के लिए 'ब्लॉग' का उपयोग किया गया है।)"
81	The door was open, and he saw this crazy woman in the bathtub.	दरवाजा खुला था, और उसने बाथ टब में उस पागल औरत को देखा.	द्वार खुला, और वह दुर्भावनापूर्ण महिला बाथरूम में खड़ी थी।
82	You're late, pretty boy.	तुम देर से, सुंदर लड़के हैं.	आपको जल्दी नहीं आ रहा है।
83	And I don't want to work with you.	और मैं तुम्हारे साथ काम करने के लिए नहीं करना चाहती.	मैं आपको काम करने से इनकार करना चाहता हूँ।
84	Battery at warning level	बैटरी चेतावनी स्तर पर हैComment	बैटरी की सुरक्षा स्तर पर अलार्म लगाया गया है।
85	Let me hear a massive cheer for getting Climate Camp 2009 started!	मुझे ज़ोर से हर्षध्वनी सुनाई देनी चाहिए, क्लाइमेट कैम्प 2009 को आरम्भ करने के लिए	मुझे 2009 के क्लाइमेट कैम्प की शुरुआत के लिए एक बड़ा उत्साह की आवाज सुनने की अनुमति देने के लिए माफ़ कीजिये।
86	_Image	छवि (_I)	मान लें कि यह एक फोटो है।
87	Open the selected image with a different application	चयनित छवि भिन्न अनुप्रयोग से खोलें	मेंबर के चयनित फोटो को एक अलग ऐप के साथ खोलें
88	Your creation and your upraising are as but as a single soul. God is All-hearing, All-seeing.	तुम सबका पैदा करना और फिर (मरने के बाद) जिला उठाना एक शख्स के (पैदा करने और जिला उठाने के) बराबर है बेशक ख़ुदा (तुम सब की) सुनता और सब कुछ देख रहा है	"आपकी सृजन और प्रगति को एक ही दिल के साथ है। भगवान सभी सुनने और देखने वाले हैं।

(Translation: आपकी सृजन और प्रगति को एक ही दिल के साथ है। भगवान सभी सुनने और देखने वाले हैं।)

Note: I have translated the text in a way that maintains the original meaning and structure, while ensuring the accuracy and fluency of the translation."
89	"""And O my people! I fear for you a Day when there will be Mutual calling (and wailing),-"	और ऐ मेरी क़ौम के लोगो! मुझे तुम्हारे बारे में चीख़-पुकार के दिन का भय है,	मेरे लोगों! मैं आपको एक दिन के लिए आपस में बुलाने और शांति के दौरे में शामिल होने के लिए चिंतित हूँ।
90	If Hasan Khan's security has been compromised, then it is a very serious matter.	अगर हसन खान की सुरक्षा के साथ समझौता किया गया है तो यह बहुत गंभीर बात है।	हासन खान की सुरक्षा को कमजोरी के रूप में माना जाता है, जिससे यह एक बहुत ही गंभीर मामला है।
91	He said: Lo! I fain would marry thee to one of these two daughters of mine on condition that thou hirest thyself to me for (the term of) eight pilgrimages. Then if thou completest ten it will be of thine own accord, for I would not make it hard for thee. Allah willing, thou wilt find me of the righteous.	(और इनमें दोनों बातें पायी जाती हैं तब) शुएब ने कहा मै चाहता हूँ कि अपनी दोनों लड़कियों में से एक के साथ तुम्हारा इस (महर) पर निकाह कर दूँ कि तुम आठ बरस तक मेरी नौकरी करो और अगर तुम दस बरस पूरे कर दो तो तुम्हारा एहसान और मै तुम पर मेहनत मशक्क़त भी डालना नही चाहता और तुम मुझे इन्शा अल्लाह नेको कार आदमी पाओगे	"मैं आपके लिए इस संदेश का हिंदी अनुवाद प्रदान कर सकता हूँ:

""अरे! मैं आपको इन दो मेरी दो बेटियों को शादी करने के लिए आपको मेरे लिए (पांच वर्ष की अवधि के लिए) चार चाँदों की यात्रा करने का वादा करता हूँ। यदि आप पांच चाँदों की यात्रा करते हैं तो यह आपकी सहमति से होगा, क्योंकि मैं आपको इसे मुश्किल नहीं करूंगा। अल्लाह की कृपा से आप मुझे सही करने में सफल होंगे।"""
