	Unnamed: 0.1	Unnamed: 0	Source_Dialogue	Reference	MT
16	16	16	Did not the disbelievers observe that the heavens and the earth were together, so We parted them, and we made every living thing from water? So will they not accept faith?	जो लोग काफिर हो बैठे क्या उन लोगों ने इस बात पर ग़ौर नहीं किया कि आसमान और ज़मीन दोनों बस्ता (बन्द) थे तो हमने दोनों को शिगाफ़ता किया (खोल दिया) और हम ही ने जानदार चीज़ को पानी से पैदा किया इस पर भी ये लोग ईमान न लाएँगे	नहीं थे अस्वीकार्यों ने देखा था कि हम heavens और पृथ्वी एक साथ थीं और हमने उन्हें अलग कर दिया और हमारे पास हर जीव भी है जो पानी से बना है? ऐसा क्या उन्हें समझेंगे कि हमने ईमानदारी प्राप्त की?
17	17	17	Turn the siren off.	आप ठीक हो जाएगा रहे हैं, अरे नहीं;	सीनर को बंद कर दें।
18	18	18	Name:	नाम: Refresh every [NUMERIC_ENTRY] [TIME_UNITS_COMBO]	नाम:
19	19	19	We should go to a hospital.	हम एक अस्पताल जाना चाहिए।	हमें अस्पताल जाना चाहिए।
20	20	20	Whoa! So... What is your...	तो तुम्हारी योजना क्या है?	अहा! तो... आपका...
21	21	21	I'm not going to drink it.	मैं इसे पीने के लिए नहीं जा रहा हूँ।	मैं उसे पीने से पहले नहीं पीती।
22	22	22	Do they say: “He has forged a lie against Allah?” If Allah so wanted He could seal up your heart. Allah blots out falsehood and confirms the truth by His Words. He is well aware of all the secrets hidden in the breasts (of people).	क्या ये लोग (तुम्हारी निस्बत कहते हैं कि इस (रसूल) ने ख़ुदा पर झूठा बोहतान बाँधा है तो अगर (ऐसा) होता तो) ख़ुदा चाहता तो तुम्हारे दिल पर मोहर लगा देता (कि तुम बात ही न कर सकते) और ख़ुदा तो झूठ को नेस्तनाबूद और अपनी बातों से हक़ को साबित करता है वह यक़ीनी दिलों के राज़ से ख़ूब वाक़िफ है	हाँ, कहा है कि उन्होंने यह कहा है कि “अल्लाह ने इस तरह का झूठा बयान दिया है” ? अगर अल्लाह चाहता है तो वे आपका दिल छूट देते हैं। अल्लाह झूठ को खत्म करता है और सत्य को अपनी बातों से तुम्हें यह बताता है तो अल्लाह तुम्हारी बुद्धि के सभी रहस्यों को हटा देता है। वह सभी लोगों की चालों के बारे में जानकारी जानता है।
23	23	23	No, but I traded the BMW in for a Mercedes four fucking weeks ago, remember?	लेकिन मर्सिडीज़ के लिए उसका सौदा किया था। याद है चार हफ़्ते पहले।	नहीं, लेकिन मैं बीस फोर प्लस साल पहले एम्ब्रेज़र के लिए बीएमवी की ट्रेड की थी, याद हो लोगों को?
24	24	24	- No. Not here!	- यहाँ नहीं नहीं!	- नंबर? नहीं यहीं!
25	25	25	It shall insistently summon him who turned his back and retreated,	(और) उन लोगों को अपनी तरफ बुलाती होगी	इसे लगातार उसे प्रेरित करके आकर्षित करना चाहिए जो अपने पीछे चली गई या वापस नहीं आ रहा हूँ
26	26	26	And we've gathered around for that.	और हम उसके लिए चारों ओर इकट्ठा किया है।	और हमें इकट्ठा होकर बैठा रहे हैं इस पर।
27	27	27	MURPH:	MURPH:	एम.पी.एफ. (एम.यू.आर.पी):
28	28	28	And the mountains – how they have been established?	और पहाड़ों की तरफ़ कि किस तरह खड़े किए गए हैं	और पहाड़ियाँ - कैसे बनाई गईं?
29	29	29	Bold	गाढ़ा	बोल्ड
30	30	30	And he is going to say the word that I have prepared for you.	और वह मैं आप के लिए तैयार किया है कि शब्द कहने जा रहा है.	और वह वाक्य है जिसे मैं आपके लिए तैयार कर रहा हूँ।
31	31	31	Configure external packages	कॉन्फ़िगर संकुल	बाहरी पैकेज को निर्धारित करना
32	32	32	The bank, which declined to comment on the suspensions, confirmed this month that it has received requests for information from regulators.	बैंक ने निलम्बन के बारे में टिप्पणी करने से इन्कार करते हुए पुष्टि की है कि बैंक को इस महीने विनियामकों से सूचना के लिए अनुरोध प्राप्त हुआ है।	इस बारे में बैंक ने कोई टिप्पणी नहीं दी है कि निर्गमों से इनकार कर रहा है. इस महीने बैंक ने सुना है कि नियामकों से पूछताछ के लिए इसकी पुष्टि की है.
33	33	33	What! Do those who seek after evil ways think that We shall hold them equal with those who believe and do righteous deeds,- that equal will be their life and their death? Ill is the judgment that they make.	जो लोग बुरा काम किया करते हैं क्या वह ये समझते हैं कि हम उनको उन लोगों के बराबर कर देंगे जो ईमान लाए और अच्छे अच्छे काम भी करते रहे और उन सब का जीना मरना एक सा होगा ये लोग (क्या) बुरे हुक्म लगाते हैं	अरे! जो लोग बुरे तरीकों की तलाश में हैं उन्हें सोचता है कि हम उन्हें good ways के लोगों की तुलना में बराबर स्थान देने वाले हैं -क्या यह उनके जीवन और मृत्यु में बराबर स्थान वास्तव में होगा? यह निर्णय वे ठीक से नहीं बनाते हैं.
34	34	34	Ignore him. He's senile.	ये तो सठीया गए हैं	उसे छोड़ दें. वे सेनिल हैं।
35	35	35	Failed to get the DN for user '%s'	DN को उपयोक्ता '%s' के लिए पाने में विफल	यूज़र के लिए डी.एन. को प्राप्त करने में असफल रहा
36	36	36	Your names	EMAIL OF TRANSLATORS	आपके नाम
37	37	37	translator-credits	राजेश रंजन (rajeshkajha@yahoo.com, rranjan@redhat.com)%d hit(s) on this page	ट्रांस्लेटर-श्रेयदान
38	38	38	Worldly desires, wives, children, accumulated treasures of gold and silver, horses of noble breed, cattle, and farms are all made to seem attractive to men. All these are the bounties of the worldly life but in the life to come God has the best place for people to dwell.	मनुष्यों को चाहत की चीजों से प्रेम शोभायमान प्रतीत होता है कि वे स्त्रिमयाँ, बेटे, सोने-चाँदी के ढेर और निशान लगे (चुने हुए) घोड़े हैं और चौपाए और खेती। यह सब सांसारिक जीवन की सामग्री है और अल्लाह के पास ही अच्छा ठिकाना है	संसारिक इच्छाएँ, पत्नी, बच्चे, तांबे और चाँदी वाले स्वर्णिम भेड़, समुद्री भेड़, गाँव और उसकी देखभाल है जो मेंने आकर्षक लगते हैं, ये संसारिक जीवन की बounties हैं लेकिन आने वाली जीवन में हे इंसान के लिए सर्वश्रेष्ठ स्थान है है प्रहस्य।
39	39	39	"And pray: ""O my Lord, let my entry be with honour, and let my exit be with honour, and grant me power from You which would help (sustain) me."""	"और कहो, ""मेरे रब! तू मुझे ख़ूबी के साथ दाख़िल कर और ख़ूबी के साथ निकाल, और अपनी ओर से मुझे सहायक शक्ति प्रदान कर।"""	"और प्रार्थना करें: ""हे मेरे राजा, मेरी प्रवेश को सम्मान से और मेरी निकास को सम्मान से स्वीकार करो, और मुझे से जो शक्ति मिल जाती है उससे मुझे संघर्ष करने की शक्ति मिले तो मुझे से उसे संभालने की शक्ति मिलेगी जो मुझे सेवा करने की शक्ति दे देगी."""
40	40	40	There are no songs to write to disc	डिस्क में लिखने के लिए कोई गीत नहीं है	लिखने के लिए गाने नहीं हैं जो डिस्क पर रखें
41	41	41	An ordinary citizen writes about the rich culture of celebrating the Bangla New Year, Pahela Baishakh in Bangladesh.	एन आर्डिनेरी सिटिज़न ने बांग्लादेश में बांग्ला नववर्ष पोएला बोइशाख के पारंपरिक उत्सव और सांस्कृतिक धरोहर के बारे में पोस्ट लिखी है।	बांग्लादेश में बंगाली नववर्ष मनाने की समारोह की समृद्ध संस्कृति को लिखने वाले आम नागरिक ने बताया है।
42	42	42	Can nothing be done? !	कुछ भी नहीं किया जा सकता है?	क्या कुछ हो सकता है? नहीं!
43	43	43	- You hit him with a bicycle pump?	- तुमने उसे एक साइकिल पंप से मारा?	- क्या तुमने गाड़ी से ही उसे मारसल से मार कर दिया है?
44	44	44	I worried they take you away from me.	मुझे लगता है वे मुझे से दूर ले चिंतित है.	मैं चिंता करता हूँ कि वे तुम्हें मुझसे दूर ले जाएँगे।
45	45	45	Y-you're gonna wear out the spring coil.	छल्लेदार स्प्रिंग घिस जाएगी।	जो तुम्हें लगा दिया गया है वह तुम्हें कई दिनों तक चल नहीं सकता।
46	46	46	I don't know.	मैं नहीं जानता.	मुझे नहीं पता।
47	47	47	Korean (_UHC)	कोरियाई (_UHC)	कोरियाई (_यू.एच.सी.)
48	48	48	No. You know what I'm gonna do for you?	नहीं, तुम्हें पता है मैं तुम्हारे लिए क्या कर रहा हूँ पता है क्या?	नो. तुम्हें क्या मैं आपके लिए करने जा रहा हूँ?
49	49	49	If you ask them, ‘Who created the heavens and the earth?’ they will surely say, ‘Allah.’ Say, ‘Have you considered what you invoke besides Allah? Should Allah desire some distress for me, can they remove the distress visited by Him? Or should He desire some mercy for me, can they withhold His mercy?’ Say, ‘Allah is sufficient for me. In Him let all the trusting put their trust.’	"यदि तुम उनसे पूछो कि ""आकाशों और धरती को किसने पैदा किया?"" को वे अवश्य कहेंगे, ""अल्लाह ने।"" कहो, ""तुम्हारा क्या विचार है? यदि अल्लाह मुझे कोई तकलीफ़ पहुँचानी चाहे तो क्या अल्लाह से हटकर जिनको तुम पुकारते हो वे उसकी पहुँचाई हुई तकलीफ़ को दूर कर सकते है? या वह मुझपर कोई दयालुता दर्शानी चाहे तो क्या वे उसकी दयालुता को रोक सकते है?"" कह दो, ""मेरे लिए अल्लाह काफ़ी है। भरोसा करनेवाले उसी पर भरोसा करते है।"""	अगर आप उनसे पूछते हैं, 'कैसे आकाश और पृथ्वी बनी हुई है?' उन्होंने सुनने पर सुनिश्चितता से कहा, 'अल्लाह.' से कहें, 'क्या आपको अल्लाह से जो कुछ भी हो रहा है, उसकी सोच-विचार है? अल्लाह से क्या आपको किस तरह की दर्द है, अल्लाह के लिए क्या दर्द उसे हटा देगा? या अल्लाह से क्या दया है, अल्लाह के लिए क्या दया मेरे लिए है, ? से कहें, 'अल्लाह पर्याप्त है। इनमें से सभी विश्वास करने वालों को इनमें से अल्लाह पर विश्वास करने को कहना चाहिए।'
50	50	50	"So when her husband saw his shirt torn from the back, he said, ""Indeed, it is of the women's plan. Indeed, your plan is great."	"फिर जब देखा कि उसका कुर्ता पीछे से फटा है तो उसने कहा, ""यह तुम स्त्रियों की चाल है। निश्चय ही तुम्हारी चाल बड़े ग़ज़ब की होती है"	तो जब उनके पति ने अपने खूबसूरत से घिसे पेटे से व्यक्ति का कपड़ा निकाला, तो उसने कहा, “सच है, यह महिलाओं की योजना है। सच है, यह व्यक्ति की योजना भी बहुत अच्छी है।”
51	51	51	Show field i_n View	दृश्य में क्षेत्र दिखायें (_n)	प्रदर्शन का क्षेत्र क्या है
52	52	52	Thanks. I think.	शुक्रिया, मेरे खयाल से।	थanks। मुझे लग रहा था।
53	53	53	Maybe the even the shroud itself, everything.	शायद यह भी कफन ही, सब कुछ.	शायद यही है जो हो सकता है, वो भी सब कुछ।
54	54	54	I've seen pushing carts around army camps making grand claims about jars full of pig shit...	मैं सेना शिविरों के आसपास गाड़ियां धक्का देखा है सुअर गंदगी से भरा जार के बारे में भव्य दावा कर ...	मैंने देखा है कि मैंने सामान को आर्मी स्टेशन पर घुमाते हुए, बड़े-बड़े झूठे कह रहे हैं कि पigs के खून से भरे जारों में...
55	55	55	Add	जोड़ें	अड
56	56	56	As an example I have handed over my blog posting rights to a free speech	अपने ब्लॉग अंतर्राष्ट्रीय रिपोर्टरों और चिट्ठाकारों के सुपुर्द कर उन्हें जारी रखें।	एक उदाहरण के रूप में मैंने अपनी ब्लॉग पोस्ट की राइट्स फ्री स्पीच को सौंपा है।
57	57	57	_Next	अगला (_N)	अगला
58	58	58	You are in Cape Canaveral and you are Head of Mission Control.	आप केप केनवरल में हैं और आप मिशन कंट्रोल के प्रमुख हैं.	तुम केप कैनेवारल में है और तुम मिशन कंट्रोल की हेड हो।
59	59	59	It produces its fruit all the time, by permission of its Lord. And Allah presents examples for the people that perhaps they will be reminded.	अपने रब की अनुमति से वह हर समय अपना फल दे रहा हो। अल्लाह तो लोगों के लिए मिशालें पेश करता है, ताकि वे जाग्रत हों	यह हमेशा फल बनता है, अपने पिता की अनुमति से उनके लिए। और अल्लाह उन लोगों के उदाहरण प्रस्तुत करता है जो शायद वे सोचने के लिए प्रेरित होंगे |
60	60	60	All that is in the heavens and the earth glorify God. He is Majestic and All-wise.	जो जो चीज़ सारे आसमान व ज़मीन में है सब ख़ुदा की तसबीह करती है और वही ग़ालिब हिकमत वाला है	अग्रहों और पृथ्वी पर सभी पवित्र गणेश चित्त को सम्मान देते हैं। वह शानदार और सभ्य है।
61	61	61	- It does not matter where she is.	- यह कोई फर्क नहीं पड़ता है जहाँ वह है।	- यह तो बस यही है कि वह कहाँ है।
62	62	62	Reload current file	री-लोड फ़ाइल	रिलोड़ हाल ही से अपलोड किया गया फ़ाइल
63	63	63	Ignorance is not the same... as innocence.	अज्ञान में ही नहीं है ... मासूमियत के रूप में।	अनजानी ना और न्यायिक न होना किसी के लिए भी सही नहीं है।
64	64	64	Proceed	आगे बढ़ें	प्रोसेस करें
65	65	65	But to your Lord is the return.	निश्चय ही तुम्हारे रब ही की ओर पलटना है	लेकिन आपके पास वापसी है।
66	66	66	- Did you file the football yet?	- अगर आप अभी तक फुटबॉल दायर की थी?	क्या तुम फुटबॉल का फ़ैसला दे दी है?
67	67	67	Clock	घड़ीName	स्टॉप
68	68	68	Dumpling Squad!	डंपलिंग दल!	डम्पलिंग स्क्विड!
69	69	69	And say: We (now) believe therein. But how can they reach (faith) from afar off,	"और कहेंगे, ""हम उसपर ईमान ले आए।"" हालाँकि उनके लिए कहाँ सम्भव है कि इतने दूरस्थ स्थान से उसको पास सकें"	और कहें: अब हमें ये मानता है कि यहाँ (फर्क) से उन्हें ईमानदारी से प्राप्त है कि कैसे वे निकटता से संपर्क में रह पाएँ।
70	70	70	Yahoo! Japan	Yahoo! Japan	यॉहू! जापान
71	71	71	SciDev.Net's conference blog reports that:	नेट के सम्मेलन ब्लॉग ने रपट दी:	सी.आई.डी.।ई. नेट के सम्मेलन के ब्लॉग में बताया गया है कि:
72	72	72	_Contents	विषय सूची (_C)	_कंटेंट_
73	73	73	WITH THAT, THEY COULD PUT HIM AT THE JOB.	उस के साथ, वे काम पर उसे डाल सकता है.	इसलिए उन्होंने उसे नौकरी में रखा सकते हैं।
74	74	74	Attachment Reminder	संलग्नक स्मारक	अडह्यता की याद दिलाने के लिए संकेत
75	75	75	What rifles? You got a Chink with a sword and a buncha juggling idiots.	आप एक तलवार और जादू बेवकूफों का एक गुच्छा के साथ एक झनझन मिला.	आप कौन-से राइफल चुकी हैं? वो एक चिंक है जिसमें किसी ख़ड़ी को भी दिखाया है और किसी भी तरह के अज्ञात व्यक्ति को हिला-फलसा दिखाया है।
76	76	76	He will send down abundant rain from the sky for you,	(और) तुम पर आसमान से मूसलाधार पानी बरसाएगा	तुम्हें आरामदायक और ताज़ागी देने वाली बारिश होगी जो तुम्हें अच्छी लगेगी
77	77	77	There are no songs to write to disc	डिस्क में लिखने के लिए कोई गीत नहीं है	लिखने के लिए गाने नहीं हैं जो डिस्क पर रखें
78	78	78	I've tried thinking and reading about all sorts of different things.	मैंने बहुत-सी चीज़ों के बारे में सोचने और पढ़ने की कोशिश की है.	मैंने सोच रहा है था और सभी तरह की अलग-अलग चीज़ों के बारे में पढ़ रहा हूँ।
79	79	79	The event could not be deleted due to an error: %s	एक त्रुटि के कारण कार्यक्रम विलोपित नहीं किया जा सका: %s	इस आयोजन को किसी तरह से हटा सकते नहीं: %s
80	80	80	The past three have seen hundreds of new blogs and forums.	पिछले तीन वर्षों में सैकड़ों नए ब्लॉग और फ़ोरम बने हैं.	पिछले तीनों में हज़ारों नए ब्लॉग और फ़ोरम आई हैं.
81	81	81	The door was open, and he saw this crazy woman in the bathtub.	दरवाजा खुला था, और उसने बाथ टब में उस पागल औरत को देखा.	डोर पर लाल चाकू रखा था और वह बाथटब में बिल्कुल सहज महिला देख रहा था।
82	82	82	You're late, pretty boy.	तुम देर से, सुंदर लड़के हैं.	तुम बहुत पीछे आ रहे हो, यार?
83	83	83	And I don't want to work with you.	और मैं तुम्हारे साथ काम करने के लिए नहीं करना चाहती.	और मुझे तुमसे काम करने नहीं चाहिए।
84	84	84	Battery at warning level	बैटरी चेतावनी स्तर पर हैComment	अड़ीशी स्तर पर बैटरी
85	85	85	Let me hear a massive cheer for getting Climate Camp 2009 started!	मुझे ज़ोर से हर्षध्वनी सुनाई देनी चाहिए, क्लाइमेट कैम्प 2009 को आरम्भ करने के लिए	क्लाइमेट कैंप 2009 शुरू करने के लिए एक बड़े उत्साह के लिए एक मोटा चेरी चलाए!
86	86	86	_Image	छवि (_I)	इमेज
87	87	87	Open the selected image with a different application	चयनित छवि भिन्न अनुप्रयोग से खोलें	चुने गए इमेज को किसी और ऐप्प्लिकेशन के साथ ओपन कर
88	88	88	Your creation and your upraising are as but as a single soul. God is All-hearing, All-seeing.	तुम सबका पैदा करना और फिर (मरने के बाद) जिला उठाना एक शख्स के (पैदा करने और जिला उठाने के) बराबर है बेशक ख़ुदा (तुम सब की) सुनता और सब कुछ देख रहा है	आपकी रचना और प्रेमनिर्माण को एक ही आत्मा के रूप में माना जाना चाहिए। ईश्वर सभी सुनना, सभी देख सकता है।
89	89	89	"""And O my people! I fear for you a Day when there will be Mutual calling (and wailing),-"	और ऐ मेरी क़ौम के लोगो! मुझे तुम्हारे बारे में चीख़-पुकार के दिन का भय है,	और मेरे लोगों! मैं आपको ऐसा डराने वाला दिन चाहता हूँ कि जब आप एक दूसरे को आभार और आँसू देखेंगे,
90	90	90	If Hasan Khan's security has been compromised, then it is a very serious matter.	अगर हसन खान की सुरक्षा के साथ समझौता किया गया है तो यह बहुत गंभीर बात है।	अगर हसैन खान की सुरक्षा कम हो गई हो, तो यह बहुत गंभीर मामला होगा।
91	91	91	He said: Lo! I fain would marry thee to one of these two daughters of mine on condition that thou hirest thyself to me for (the term of) eight pilgrimages. Then if thou completest ten it will be of thine own accord, for I would not make it hard for thee. Allah willing, thou wilt find me of the righteous.	(और इनमें दोनों बातें पायी जाती हैं तब) शुएब ने कहा मै चाहता हूँ कि अपनी दोनों लड़कियों में से एक के साथ तुम्हारा इस (महर) पर निकाह कर दूँ कि तुम आठ बरस तक मेरी नौकरी करो और अगर तुम दस बरस पूरे कर दो तो तुम्हारा एहसान और मै तुम पर मेहनत मशक्क़त भी डालना नही चाहता और तुम मुझे इन्शा अल्लाह नेको कार आदमी पाओगे	उन्होंने कहा: अल्लाह का सुकून है! मैं तुम्हें इन दो बेटियों में से एक को मेरी तरफ से विवाह करने का वादा करता हूँ, पर तुम मेरे लिए आठ यात्राओं के लिए अपने स्वयं को मेरे साथ ले आएगी तो तुम तो पूरी तौर पर मेरी इच्छा करोगी होंगी। अगर तुम पूरी यात्रा पूरा करोगी तो मेरे लिए यह तुम्हारी freewill होगी क्योंकि मैं तुम्हारे लिए इसे बाध्यकारी नहीं बना सकता। अल्लाह का सुकून है कि तुम मेरे पास पवित्र होगी।
92	92	92	You got paint on you.	तुम्हारे रंग लग गया है.	तुम्हें रंग लगा है।
93	93	93	Hello, my name is Dick Hallorann.	नमस्ते, मेरा नाम डिक हैलोरन है.	हैलो, मेरा नाम डिक हॉलरन्न है।
94	94	94	We are the best Knower of that which they say, and thou art not over them over them tyrant. Wherefore admonish thou by the Qur'an him who feareth My threat.	हम जानते है जो कुछ वे कहते है, तुम उनपर कोई ज़बरदस्ती करनेवाले तो हो नहीं। अतः तुम क़ुरआन के द्वारा उसे नसीहत करो जो हमारी चेतावनी से डरे	हम उन्हें कह रहे हैं कि वे कह रहे हैं जो वे कह रहे हैं, और तुम उन पर उन पर शासन करती हो। इसलिए उन पर संदेश दो कि क्योंगा ये लोग तुम पर डरते हैं, ये ग़लती हैं।
95	95	95	Bhairava!	भैरवा!	भैरवा!
96	96	96	If my dad could see me now...	यदि मेरे पिता अब मुझे देख सकता था...	अगर मेरे पिताजी को अब मैं दिखा सकता था...
97	97	97	Tet's offline in 15 minutes.	15मिनटमेंTet केऑफ़लाइन	टेट 15 मिनट में ऑफलाइन है।
98	98	98	..that we're going to be blessed with a girl instead of useless boys.	..that हम बेकार लड़के के बजाय एक लड़की के साथ धन्य हो जा रहे हैं।	. हमें लड़कियों के बजाय लड़कों की जगह दी जाने वाली लड़की में बैठ जाने की शुभकामना है।
99	99	99	Add	जोड़ें (d)	अड
100	100	100	L have your child.	मैं अपने बच्चे है.	मेरे पास तुम्हारे बच्चे की है।
101	101	101	Tweedledee and Tweedledum went out the door, and in came Tweedle Dumb and Dumber.	दोनों नाकारा लोगों को दरवाज़ा दिखाया गया... और आए दो और नाकारा लोग।	त्वेड़लdee और त्वेड़ल्डुम तोड़ी डोर से निकले और त्वेड़ल्डुम निकले हुए थे।
102	102	102	And glorify His Praises morning and afternoon [the early morning (Fajr) and 'Asr prayers].	और प्रातःकाल और सन्ध्या समय उसकी तसबीह करते रहो -	और उनकी प्रशंसा दिन के शुरुआती समय (फजर) और 'अस्र prayers' के दौरान की जानी चाहिए।
103	103	103	2O million pounds.	2O लाख पाउंड.	2 करोड़  लाख पाउंड।
104	104	104	Exaltations be to the Lord of the heavens and the earth, the Lord of the Throne, above that which they describe'	"आकाशों और धरती का रब, सिंहासन का स्वामी, उससे महान और उच्च है जो वे बयान करते है।"""	अभिव्यक्ति के अनुसार उन्हें आकाशों और पृथ्वी के भगवान, राज्य के भगवान को अभिव्यक्त करना है जो उन्हें वर्णित विवरण से ऊपर'
105	105	105	- You need a time-out!	- तुम्हें अकेले रहना चाहिए!	- तुम्हें थोड़ी देर के लिए रुकना होगा!
106	106	106	%s (%s)	%s (%s)	%. से से ? (सही संख्या में से)
107	107	107	I have been expecting you Captain. Perhaps you would like some tea.	मैं तुम्हारे लिए इंतजार कर रहा था कप्तान- शायद आपको कुछ चाय पसंद है?	मैंने तुम्हें इंतज़ार किया है। शायद तुम्हें कुछ चाय पाने की इच्छा हो सकती है।
108	108	108	Allah and His angels praise and venerate the Prophet. Believers, praise and venerate him and pronounce peace upon him in abundance.	इसमें भी शक नहीं कि खुदा और उसके फरिश्ते पैग़म्बर (और उनकी आल) पर दुरूद भेजते हैं तो ऐ ईमानदारों तुम भी दुरूद भेजते रहो और बराबर सलाम करते रहो	अल्लाह और उनकेएंजेल पैगामा पैगामा पैगामा पैगामा पैगामा पैगामा पैगामा पैगामा पैगामा पैगामा पैगामा पैगामा पैगामा पैगामा पैगामा पैगामा पैगामा पैगामा पैगामा पैगामा पैगामा पैगामा पैगामा पैगामा पैगामा पैगामा पैगामा पैगामा पैगामा पैगामा पैगामा पैगामा पैगामा पैगामा पैगामा पैगामा पैगामा पैगामा पैगामा पैगामा पैगामा पैगामा पैगामा पैगामा पैगामा पैगामा पैगामा पैगामा पैगामा पैगामा पैगामा पैगामा पैगामा पैगामा पैगामा पैगामा पैगामा पैगामा पैगामा पैगामा पैगामा पैग
109	109	109	No, I'm in the middle of something.	नहीं, मैं कुछ के बीच में हूँ.	नहीं, मैं कुछ और में हूँ।
110	110	110	The action, 16th of December, where NGOs and small nations and countries, all sorts of people from inside the conference...	16 दिसम्बर की कार्यवाही जिसमें एन. जी.	दिए गए आदेश, 16 दिसंबर को एक सम्मेलन में एनजीओ और छोटी देशों और देशों सहित सभी प्रकार के लोगों ने बाहर आए थे, अंदर के सभी लोगों से भी...
