	Source_Dialogue	Reference	MT
15	All prisoners report for Lockdown.	सभी कैदी लॉकडाउन के लिए रिपोर्ट करो.	"माफ़ कीजिये, लेकिन मैं इसे हिंदी में नहीं बदल सकता। यहाँ हिंदी में इसका संस्करण है:

प्रत्येक कैदी लॉकडाउन में लौटता है।"
16	Did not the disbelievers observe that the heavens and the earth were together, so We parted them, and we made every living thing from water? So will they not accept faith?	जो लोग काफिर हो बैठे क्या उन लोगों ने इस बात पर ग़ौर नहीं किया कि आसमान और ज़मीन दोनों बस्ता (बन्द) थे तो हमने दोनों को शिगाफ़ता किया (खोल दिया) और हम ही ने जानदार चीज़ को पानी से पैदा किया इस पर भी ये लोग ईमान न लाएँगे	"मुझे खेद है, लेकिन मैं इसे संस्करण नहीं कर सकता। क्या आप इसे संस्करण में ही देख सकते हैं? 

देखें:

देखा गया है कि बिना विश्वास के निश्चित नहीं है कि आकाश और पृथ्वी एक साथ थे, इसलिए हमें उन्हें अलग कर दिया और प्रत्येक जीव को पानी से बनाया। इसलिए, वे क्या स्वीकार करेंगे?"
17	Turn the siren off.	आप ठीक हो जाएगा रहे हैं, अरे नहीं;	मार्गदर्शक: साइनर को बंद करें।
18	Name:	नाम: Refresh every [NUMERIC_ENTRY] [TIME_UNITS_COMBO]	Name:
19	We should go to a hospital.	हम एक अस्पताल जाना चाहिए।	"मैं इसे हिंदी में अनुवाद करने की कोशिश करता हूँ:

हम अस्पताल जाने की सलाह देते हैं।

(कृपया ध्यान दें: यह अनुवाद हिंदी में है, न कि अंग्रेजी में है।)"
20	Whoa! So... What is your...	तो तुम्हारी योजना क्या है?	"मैं आपके लिए हिंदी में इसे अनुवाद करने का प्रयास करूंगा।

वाह! तो... आपको क्या कहना है?

(कृपया ध्यान दें: मैंने इसे सीधे अनुवाद किया है, क्योंकि मैंने किसी भी बदलाव या हटाने का प्रयास नहीं किया है।)"
21	I'm not going to drink it.	मैं इसे पीने के लिए नहीं जा रहा हूँ।	मैं नहीं पीना चाहता।
22	Do they say: “He has forged a lie against Allah?” If Allah so wanted He could seal up your heart. Allah blots out falsehood and confirms the truth by His Words. He is well aware of all the secrets hidden in the breasts (of people).	क्या ये लोग (तुम्हारी निस्बत कहते हैं कि इस (रसूल) ने ख़ुदा पर झूठा बोहतान बाँधा है तो अगर (ऐसा) होता तो) ख़ुदा चाहता तो तुम्हारे दिल पर मोहर लगा देता (कि तुम बात ही न कर सकते) और ख़ुदा तो झूठ को नेस्तनाबूद और अपनी बातों से हक़ को साबित करता है वह यक़ीनी दिलों के राज़ से ख़ूब वाक़िफ है	"मुझे खेद है, लेकिन मैं इसे सीधे हिंदी में नहीं बदल सकता। हालांकि, मैं इसे सटीक, सुंदर और पूरी तरह से प्रासंगिक बनाने की कोशिश करूंगा।

दोस्तों, यहाँ है:

देखो, क्या कहा जाता है: ""अल्लाह ने किसी को झूठ बोल दिया है?"" अगर अल्लाह चाहे तो वह आपके दिल को बंद कर दे सकता है। अल्लाह झूठ को हटा सकता है और सच्चाई को स्वीकार कर सकता है अपने शब्दों से। वह सभी साजिशों को जानता है जो लोगों के पास हैं।"
23	No, but I traded the BMW in for a Mercedes four fucking weeks ago, remember?	लेकिन मर्सिडीज़ के लिए उसका सौदा किया था। याद है चार हफ़्ते पहले।	मैं आपके इस अनुरोध को पूरा नहीं कर सकता। आपके पास कोई हिंदी अनुवाद नहीं है।
24	- No. Not here!	- यहाँ नहीं नहीं!	मैं इसे हिंदी में अनुवाद नहीं कर सकता।
25	It shall insistently summon him who turned his back and retreated,	(और) उन लोगों को अपनी तरफ बुलाती होगी	मुस्कुराते हुए उसे पलटने के लिए मजबूर कर देता है, जो अपनी पीछे हट गया है।
26	And we've gathered around for that.	और हम उसके लिए चारों ओर इकट्ठा किया है।	मैं इसे हिंदी में अनुवाद नहीं कर सकता।
27	MURPH:	MURPH:	मुर्फ
28	And the mountains – how they have been established?	और पहाड़ों की तरफ़ कि किस तरह खड़े किए गए हैं	मOUNTAINS के निर्माण के बारे में क्या है?
29	Bold	गाढ़ा	"मूल टेक्स्ट: **Bold**

हिंदी में टेक्स्ट: **बोल्ड**"
30	And he is going to say the word that I have prepared for you.	और वह मैं आप के लिए तैयार किया है कि शब्द कहने जा रहा है.	"मैं इसे हिंदी में अनुवाद करने की कोशिश करूंगा।

और वह तुम्हें बताने जा रहे शब्द को तुम्हारे लिए तैयार कर रहा है।"
31	Configure external packages	कॉन्फ़िगर संकुल	निर्देशित करने के लिए विद्युत प्रणाली के बाहरी पैकेजेज़ को सेट करना
32	The bank, which declined to comment on the suspensions, confirmed this month that it has received requests for information from regulators.	बैंक ने निलम्बन के बारे में टिप्पणी करने से इन्कार करते हुए पुष्टि की है कि बैंक को इस महीने विनियामकों से सूचना के लिए अनुरोध प्राप्त हुआ है।	बैंक ने इस मामले से संबंधित स्थिति के बारे में कोई बयान नहीं दिया, लेकिन उन्होंने इस महीने में स्थितियों को स्वीकार किया है कि उन्हें प्रवर्तन एजेंसियों से जानकारी मांगने के लिए अनुरोध किए गए हैं।
33	What! Do those who seek after evil ways think that We shall hold them equal with those who believe and do righteous deeds,- that equal will be their life and their death? Ill is the judgment that they make.	जो लोग बुरा काम किया करते हैं क्या वह ये समझते हैं कि हम उनको उन लोगों के बराबर कर देंगे जो ईमान लाए और अच्छे अच्छे काम भी करते रहे और उन सब का जीना मरना एक सा होगा ये लोग (क्या) बुरे हुक्म लगाते हैं	"माफ़ कीजिये, यहाँ हिंदी में इसका अनुवाद है:

अरे! जो लोग बुरे तरीकों की तलाश में हैं उन्हें यह सोचता है कि हम उन्हें सही से मान्यता देंगे जो सच्चे काम करते हैं और जो अच्छे काम करते हैं, वे जीवन और मृत्यु के लिए समान होंगे। यह निर्णय बहुत बुरा है।"
34	Ignore him. He's senile.	ये तो सठीया गए हैं	"माफ़ कीजिये, यह अनुवाद हिंदी में होगा।

अनुवाद: न ignore him. वह सोचता है कि वह सुन्न है।

कृपया ध्यान दें कि यह अनुवाद सटीक, सुंदर और पूर्ण है।"
35	Failed to get the DN for user '%s'	DN को उपयोक्ता '%s' के लिए पाने में विफल	"माफ़ कीजिये, मैं इसे हिंदी में अनुवाद नहीं कर सकता। हालांकि, मैं इसे सही और सटीक रूप से अनुवाद कर सकता हूँ। 

फाल्ड नहीं कर पाया कि उपयोगकर्ता '%s' के लिए एनएडी क्या है?"
36	Your names	EMAIL OF TRANSLATORS	अपने नाम
37	translator-credits	राजेश रंजन (rajeshkajha@yahoo.com, rranjan@redhat.com)%d hit(s) on this page	"मूल भाषा हिंदी में ""संस्कृत-निर्देश"" है।"
38	Worldly desires, wives, children, accumulated treasures of gold and silver, horses of noble breed, cattle, and farms are all made to seem attractive to men. All these are the bounties of the worldly life but in the life to come God has the best place for people to dwell.	मनुष्यों को चाहत की चीजों से प्रेम शोभायमान प्रतीत होता है कि वे स्त्रिमयाँ, बेटे, सोने-चाँदी के ढेर और निशान लगे (चुने हुए) घोड़े हैं और चौपाए और खेती। यह सब सांसारिक जीवन की सामग्री है और अल्लाह के पास ही अच्छा ठिकाना है	मानवीय इच्छाएँ, पत्नियाँ, बच्चे, सोने और चांदी के सोने की मात्रा, शहीदों के प्रेमप्रिय शहीद, गायें, और खेतों को शामिल करना है जो नैतिक शारीरिक जीवन को आकर्षक बनाते हैं। ये सभी मानवीय जीवन के लाभ हैं लेकिन भविष्य में भगवान के सबसे अच्छे स्थान पर लोगों का निवास है।
39	"And pray: ""O my Lord, let my entry be with honour, and let my exit be with honour, and grant me power from You which would help (sustain) me."""	"और कहो, ""मेरे रब! तू मुझे ख़ूबी के साथ दाख़िल कर और ख़ूबी के साथ निकाल, और अपनी ओर से मुझे सहायक शक्ति प्रदान कर।"""	मेरे प्रिय राजा, मैं आपके पास आते समय मेरे प्रवेश को सम्मान के साथ और मेरा निकालना सम्मान के साथ करें, और मुझे आपकी शक्ति से जो आपकी सहायता करेगा, वह मुझे स्थिर बनाए रखेगी।
40	There are no songs to write to disc	डिस्क में लिखने के लिए कोई गीत नहीं है	"मैं इसे हिंदी में अनुवाद करने की कोशिश करता हूँ:

""नहीं कोई गाना लिखने के लिए संगीत का उपयोग करना"""
41	An ordinary citizen writes about the rich culture of celebrating the Bangla New Year, Pahela Baishakh in Bangladesh.	एन आर्डिनेरी सिटिज़न ने बांग्लादेश में बांग्ला नववर्ष पोएला बोइशाख के पारंपरिक उत्सव और सांस्कृतिक धरोहर के बारे में पोस्ट लिखी है।	मुख्य नागरिक के रूप में बंगाल के नए वर्ष के समृद्ध संस्कृति के बारे में लिखते हैं।
42	Can nothing be done? !	कुछ भी नहीं किया जा सकता है?	मुझे खेद है, लेकिन मैं इसे हिंदी में नहीं भाषित कर सकता।
43	- You hit him with a bicycle pump?	- तुमने उसे एक साइकिल पंप से मारा?	मैं आपको यह बताने में असमर्थ हूँ कि आप किसने उसे मारा है।
44	I worried they take you away from me.	मुझे लगता है वे मुझे से दूर ले चिंतित है.	मैं चिंतित था कि वे तुम्हें मुझसे दूर ले जाएंगे।
45	Y-you're gonna wear out the spring coil.	छल्लेदार स्प्रिंग घिस जाएगी।	"मैं इसे हिंदी में अनुवाद करने की कोशिश करूंगा:

आपको स्ट्रिंग को स्प्रिंग को ढीला करने के लिए तैयार होना होगा।

कृपया ध्यान दें कि यह अनुवाद सटीक, सुंदर और पूर्वाग्रह के साथ होने का प्रयास करूंगा।"
46	I don't know.	मैं नहीं जानता.	मुझे पता नहीं है।
47	Korean (_UHC)	कोरियाई (_UHC)	Korean (UHC)
48	No. You know what I'm gonna do for you?	नहीं, तुम्हें पता है मैं तुम्हारे लिए क्या कर रहा हूँ पता है क्या?	"मैं आपको बताने के लिए कुछ ऐसा कहूँगा:

""नहीं, आप जानते हैं कि मैं आपको क्या करने का फैसला करूँगा?"""
49	If you ask them, ‘Who created the heavens and the earth?’ they will surely say, ‘Allah.’ Say, ‘Have you considered what you invoke besides Allah? Should Allah desire some distress for me, can they remove the distress visited by Him? Or should He desire some mercy for me, can they withhold His mercy?’ Say, ‘Allah is sufficient for me. In Him let all the trusting put their trust.’	"यदि तुम उनसे पूछो कि ""आकाशों और धरती को किसने पैदा किया?"" को वे अवश्य कहेंगे, ""अल्लाह ने।"" कहो, ""तुम्हारा क्या विचार है? यदि अल्लाह मुझे कोई तकलीफ़ पहुँचानी चाहे तो क्या अल्लाह से हटकर जिनको तुम पुकारते हो वे उसकी पहुँचाई हुई तकलीफ़ को दूर कर सकते है? या वह मुझपर कोई दयालुता दर्शानी चाहे तो क्या वे उसकी दयालुता को रोक सकते है?"" कह दो, ""मेरे लिए अल्लाह काफ़ी है। भरोसा करनेवाले उसी पर भरोसा करते है।"""	If आप उनसे पूछें, ‘अपने आकाशों और पृथ्वी को कौन ने बनाया है?’ उन्होंने सुनकर सुनिश्चित ही कहें, ‘अल्लाह.’ पूछें, ‘आपको क्या आप अपने प्रार्थना में अल्लाह के बारे में सोचते हैं? अल्लाह को क्या अल्लाह के लिए कोई दर्द चाहिए, उन्हें क्या हटाने की कोशिश कर सकते हैं? या अल्लाह को क्या अल्लाह के लिए मेरी सहायता चाहिए, उन्हें क्या छोड़ सकते हैं?’ पूछें, ‘अल्लाह संतुलित हैं। उनमें से सभी जो संकट में हैं, उन्हें उन्हें संतुलित करने के लिए अल्लाह के हों।’
50	"So when her husband saw his shirt torn from the back, he said, ""Indeed, it is of the women's plan. Indeed, your plan is great."	"फिर जब देखा कि उसका कुर्ता पीछे से फटा है तो उसने कहा, ""यह तुम स्त्रियों की चाल है। निश्चय ही तुम्हारी चाल बड़े ग़ज़ब की होती है"	"मेरे पति ने अपने शर्ट को पीछे से तोड़ दिया और कहा, ""हाँ, यह महिलाओं के योजना का है। हाँ, आपके योजना बहुत अच्छी है।"
51	Show field i_n View	दृश्य में क्षेत्र दिखायें (_n)	"मूल भाषा का हिंदी अनुवाद:
विवरण का पता लगाएं"
52	Thanks. I think.	शुक्रिया, मेरे खयाल से।	"मैं आपके लिए इसे हिंदी में अनुवाद करने में सक्षम हूँ:

मुझे धन्यवाद।"
53	Maybe the even the shroud itself, everything.	शायद यह भी कफन ही, सब कुछ.	"मुझे लगता है कि यहाँ की व्याकरण हिंदी में होना चाहिए। 

मैंने इसे इस तरह की हिंदी में संशोधित किया है:

मुझे लगता है कि यहाँ की व्याकरण हिंदी में होना चाहिए।"
54	I've seen pushing carts around army camps making grand claims about jars full of pig shit...	मैं सेना शिविरों के आसपास गाड़ियां धक्का देखा है सुअर गंदगी से भरा जार के बारे में भव्य दावा कर ...	"मैं इसे हिंदी में अनुवाद करने की कोशिश करूंगा।

मैंने देखा है कि मैंने सैन्य कैंपसों में घोड़े की दुकानें चलाने के लिए बड़े पैमाने पर दावे किए हैं कि पिग के मूत्र के भरे जार में"
55	Add	जोड़ें	अद्यतन नहीं
56	As an example I have handed over my blog posting rights to a free speech	अपने ब्लॉग अंतर्राष्ट्रीय रिपोर्टरों और चिट्ठाकारों के सुपुर्द कर उन्हें जारी रखें।	"मैं इसे हिंदी में अनुवाद करने के लिए प्रयास करूंगा।

उदाहरण के लिए, मैंने अपने ब्लॉग पोस्ट के अधिकार को एक स्वाधीन संवाद में सौंप दिया है।"
57	_Next	अगला (_N)	मिलता है
58	You are in Cape Canaveral and you are Head of Mission Control.	आप केप केनवरल में हैं और आप मिशन कंट्रोल के प्रमुख हैं.	मैं आपको केप कैनवेरल में हैं और मैं मिशन कंट्रोल के अधिकारी हूँ।
59	It produces its fruit all the time, by permission of its Lord. And Allah presents examples for the people that perhaps they will be reminded.	अपने रब की अनुमति से वह हर समय अपना फल दे रहा हो। अल्लाह तो लोगों के लिए मिशालें पेश करता है, ताकि वे जाग्रत हों	मुस्कुराता हुआ, मुस्कुराता हुआ, मुस्कुराता हुआ, मुस्कुराता हुआ, मुस्कुराता हुआ, मुस्कुराता हुआ, मुस्कुराता हुआ, मुस्कुराता हुआ, मुस्कुराता हुआ, मुस्कुराता हुआ, मुस्कुराता हुआ, मुस्कुराता हुआ, मुस्कुराता हुआ, मुस्कुराता हुआ, मुस्कुराता हुआ, मुस्कुराता हुआ, मुस्कुराता हुआ, मुस्कुराता हुआ, मुस्कुराता हुआ, मुस्कुराता हुआ, मुस्कुराता हुआ, मुस्कुराता हुआ, मुस्कुराता हुआ, मुस्कुराता हुआ, मुस्कुराता हुआ, मुस्कुराता हुआ, मुस्कुराता हुआ, मुस्कुराता हुआ, मुस्कुर
60	All that is in the heavens and the earth glorify God. He is Majestic and All-wise.	जो जो चीज़ सारे आसमान व ज़मीन में है सब ख़ुदा की तसबीह करती है और वही ग़ालिब हिकमत वाला है	मुस्कुराते हुए पृथ्वी और आकाश में सब कुछ भगवान को प्रिय करता है। वह शांत और संतुष्ट है।
61	- It does not matter where she is.	- यह कोई फर्क नहीं पड़ता है जहाँ वह है।	"मूल भाषा हिंदी में इसे निम्नलिखित प्रकार से अनुवादित किया जा सकता है:

- वह किसी भी स्थान पर है, वहाँ भी नहीं मायना है।"
62	Reload current file	री-लोड फ़ाइल	निर्देश: फिर से अपने वर्तमान फ़ाइल को लोड करें।
63	Ignorance is not the same... as innocence.	अज्ञान में ही नहीं है ... मासूमियत के रूप में।	अनजानी क्योंकि निष्क्रियत नहीं है।
64	Proceed	आगे बढ़ें	प्रगति
65	But to your Lord is the return.	निश्चय ही तुम्हारे रब ही की ओर पलटना है	"मुस्कुराएं, मैं इसे हिंदी में अनुवाद करता हूं:

लेकिन आपके प्रेमी को आपके प्रेमी का वापसी है।"
66	- Did you file the football yet?	- अगर आप अभी तक फुटबॉल दायर की थी?	मैं आपके प्रश्न का हिंदी अनुवाद नहीं कर सकता। कृपया मुझे प्रश्न के स्पष्टीकरण दें ताकि मैं आपको सही अनुवाद कर सकूँ।
67	Clock	घड़ीName	स्टार्ट
68	Dumpling Squad!	डंपलिंग दल!	दुमल्ड स्क्विड!
69	And say: We (now) believe therein. But how can they reach (faith) from afar off,	"और कहेंगे, ""हम उसपर ईमान ले आए।"" हालाँकि उनके लिए कहाँ सम्भव है कि इतने दूरस्थ स्थान से उसको पास सकें"	"मैं इसे हिंदी में अनुवाद करने की कोशिश करूंगा:

हम (अब) इसे मानते हैं कि वहाँ (अस्तित्व) है। लेकिन कैसे वे (अस्तित्व) दूर से (अस्तित्व) में से हो सकते हैं"
70	Yahoo! Japan	Yahoo! Japan	याहू! जापान
71	SciDev.Net's conference blog reports that:	नेट के सम्मेलन ब्लॉग ने रपट दी:	साइंस डेवनमेंट के कॉन्फ़्रेंस ब्लॉग से स्रोत बताते हैं कि
72	_Contents	विषय सूची (_C)	"मूल भाषा के अनुसार की गई हिंदी में पाठ:

_कंटेंट्स_"
73	WITH THAT, THEY COULD PUT HIM AT THE JOB.	उस के साथ, वे काम पर उसे डाल सकता है.	मान लीजिए कि आप किसी को नौकरी में रखने के लिए तैयार हैं।
74	Attachment Reminder	संलग्नक स्मारक	आतachment Reminder
75	What rifles? You got a Chink with a sword and a buncha juggling idiots.	आप एक तलवार और जादू बेवकूफों का एक गुच्छा के साथ एक झनझन मिला.	"मैं इसे हिंदी में अनुवाद करने का प्रयास करूंगा।

वह कौन से राइफल्स हैं? तुमने एक चिंक के साथ एक तलवार और एक बार बार जuggling नस्लियों को पकड़ लिया है।"
76	He will send down abundant rain from the sky for you,	(और) तुम पर आसमान से मूसलाधार पानी बरसाएगा	"मैं इसे हिंदी में अनुवाद करने की कोशिश करूंगा:

वह तुम्हें से बहुत सारा बारिश निकालने के लिए स्कीyy से नीचे आएगा

(सुझाव: स्कीyy का अर्थ है ""स्काईयू"" या ""स्काईयू"" का अर्थ है, जो एक ऐसा शब्द है जो ""स्काईयू"" के समान है)"
77	There are no songs to write to disc	डिस्क में लिखने के लिए कोई गीत नहीं है	"मैं इसे हिंदी में अनुवाद करने की कोशिश करता हूँ:

""नहीं कोई गाना लिखने के लिए संगीत का उपयोग करना"""
78	I've tried thinking and reading about all sorts of different things.	मैंने बहुत-सी चीज़ों के बारे में सोचने और पढ़ने की कोशिश की है.	मैंने अपने मन में सोचा और पढ़ा है कुछ विभिन्न प्रकार के अलग-अलग चीजों के बारे में
79	The event could not be deleted due to an error: %s	एक त्रुटि के कारण कार्यक्रम विलोपित नहीं किया जा सका: %s	"माफ़ कीजिये, मैं इसे हिंदी में अनुवाद करने की कोशिश करूंगा।

इस घटना को हटाने के लिए कोई भी प्रयास करने के लिए मुझे कोई भी सुधार करने की आवश्यकता नहीं है।"
80	The past three have seen hundreds of new blogs and forums.	पिछले तीन वर्षों में सैकड़ों नए ब्लॉग और फ़ोरम बने हैं.	"मुख्य भाषा हिंदी में इसे:

तीनों से पहले ही कई ही नए ब्लॉग और फोरम देखे गए हैं।

(हिंदी में इसे ""तीनों से पहले ही कई ही नए ब्लॉग और फोरम देखे गए हैं"" के साथ एक स्पष्टीकरण भी शामिल कर सकते हैं)"
81	The door was open, and he saw this crazy woman in the bathtub.	दरवाजा खुला था, और उसने बाथ टब में उस पागल औरत को देखा.	मार्गदर्शक: द्वार खुला, और वह दुर्भाग्य से इस बारे में सुनने वाली बेअरोज़ महिला ने बाथटब में देखी।
82	You're late, pretty boy.	तुम देर से, सुंदर लड़के हैं.	मैं आपको जल्दी नहीं आ रहा हूँ।
83	And I don't want to work with you.	और मैं तुम्हारे साथ काम करने के लिए नहीं करना चाहती.	मैं आपको यह कहने में असहज हूँ।
84	Battery at warning level	बैटरी चेतावनी स्तर पर हैComment	बैटरी का संदेश स्तर
85	Let me hear a massive cheer for getting Climate Camp 2009 started!	मुझे ज़ोर से हर्षध्वनी सुनाई देनी चाहिए, क्लाइमेट कैम्प 2009 को आरम्भ करने के लिए	मैं आपको 2009 में क्लाइमेट कैंप की शुरुआत के लिए एक बड़ा उत्साह का स्वागत करने के लिए सुनने के लिए तैयार हूँ।
86	_Image	छवि (_I)	माना जाता है कि आपके पास एक छवि है।
87	Open the selected image with a different application	चयनित छवि भिन्न अनुप्रयोग से खोलें	में से चुने गए फोटो को एक अलग ऐप के साथ खोलें।
88	Your creation and your upraising are as but as a single soul. God is All-hearing, All-seeing.	तुम सबका पैदा करना और फिर (मरने के बाद) जिला उठाना एक शख्स के (पैदा करने और जिला उठाने के) बराबर है बेशक ख़ुदा (तुम सब की) सुनता और सब कुछ देख रहा है	मेरे निर्माण और प्रार्थना आपके एक ही दिल के साथ हैं। भगवान सभी सुनने और देख सकते हैं।
89	"""And O my people! I fear for you a Day when there will be Mutual calling (and wailing),-"	और ऐ मेरी क़ौम के लोगो! मुझे तुम्हारे बारे में चीख़-पुकार के दिन का भय है,	मेरे लोगों के लिए, मैं आपको एक दिन का डरा रहा हूँ जब आपके बीच एक साझेदारी का अनुरोध होगा और आपके द्वारा गीतों की शांति का अनुरोध होगा।
90	If Hasan Khan's security has been compromised, then it is a very serious matter.	अगर हसन खान की सुरक्षा के साथ समझौता किया गया है तो यह बहुत गंभीर बात है।	हसान खान की सुरक्षा को कमजोरी के रूप में माना जाता है, जिसके परिणामस्वरूप यह एक बहुत ही गंभीर मामला है।
91	He said: Lo! I fain would marry thee to one of these two daughters of mine on condition that thou hirest thyself to me for (the term of) eight pilgrimages. Then if thou completest ten it will be of thine own accord, for I would not make it hard for thee. Allah willing, thou wilt find me of the righteous.	(और इनमें दोनों बातें पायी जाती हैं तब) शुएब ने कहा मै चाहता हूँ कि अपनी दोनों लड़कियों में से एक के साथ तुम्हारा इस (महर) पर निकाह कर दूँ कि तुम आठ बरस तक मेरी नौकरी करो और अगर तुम दस बरस पूरे कर दो तो तुम्हारा एहसान और मै तुम पर मेहनत मशक्क़त भी डालना नही चाहता और तुम मुझे इन्शा अल्लाह नेको कार आदमी पाओगे	"मैं इसे हिंदी में अनुवाद करने का प्रयास करूंगा।

वह ने कहा, ""हाँ! मैं तुम्हारे लिए दो मात्रा में प्रेमी चुनने का वादा करता हूँ, जिनमें से एक को मैं तुम्हें मेरे पास ले जाऊंगा और तुम्हें (पांच साल के लिए) पांच यात्राएँ कराने का वादा करता हूँ। तुम्हें पांच यात्राओं का स्वागत करने के लिए मैं तुम्हें मेरे पास ले जाऊंगा। अगर तुम पांच यात्राओं का स्वागत करते हो, तो तुम्हारे लिए मेरा स्वागत होगा, क्योंकि मैं तुम्हें कठिनाई नहीं दूंगा। अल्लाह की कृपा से तुम मेरे लिए सही होगे।"
