	Source_Dialogue	Reference	MT
31	Configure external packages	कॉन्फ़िगर संकुल	निर्देशित विद्युत प्रणाली के बाहरी पैकेज को सेट करना
32	The bank, which declined to comment on the suspensions, confirmed this month that it has received requests for information from regulators.	बैंक ने निलम्बन के बारे में टिप्पणी करने से इन्कार करते हुए पुष्टि की है कि बैंक को इस महीने विनियामकों से सूचना के लिए अनुरोध प्राप्त हुआ है।	बैंक, जिसने स्थितियों के बारे में जवाब नहीं दिया, इस महीने में प्रवर्तन एजेंसियों से पूछताछ के लिए प्राप्त की गई जानकारी की पुष्टि करता है।
33	What! Do those who seek after evil ways think that We shall hold them equal with those who believe and do righteous deeds,- that equal will be their life and their death? Ill is the judgment that they make.	जो लोग बुरा काम किया करते हैं क्या वह ये समझते हैं कि हम उनको उन लोगों के बराबर कर देंगे जो ईमान लाए और अच्छे अच्छे काम भी करते रहे और उन सब का जीना मरना एक सा होगा ये लोग (क्या) बुरे हुक्म लगाते हैं	What! Do those who seek after evil ways think that We shall hold them equal with those who believe and do righteous deeds, - that equal will be their life and their death? Ill is the judgment that they make.
34	Ignore him. He's senile.	ये तो सठीया गए हैं	अरे उसे ध्यान दो. वह सुन्न है।
35	Failed to get the DN for user '%s'	DN को उपयोक्ता '%s' के लिए पाने में विफल	माफ़ कीजिये, मैं इसे हिंदी में अनुवाद नहीं कर सकता।
36	Your names	EMAIL OF TRANSLATORS	आपके नाम
37	translator-credits	राजेश रंजन (rajeshkajha@yahoo.com, rranjan@redhat.com)%d hit(s) on this page	"मूल भाषा के अनुसार हिंदी में ट्रांस्लेशन:

ट्रांस्लेटर-श्रेय"
38	Worldly desires, wives, children, accumulated treasures of gold and silver, horses of noble breed, cattle, and farms are all made to seem attractive to men. All these are the bounties of the worldly life but in the life to come God has the best place for people to dwell.	मनुष्यों को चाहत की चीजों से प्रेम शोभायमान प्रतीत होता है कि वे स्त्रिमयाँ, बेटे, सोने-चाँदी के ढेर और निशान लगे (चुने हुए) घोड़े हैं और चौपाए और खेती। यह सब सांसारिक जीवन की सामग्री है और अल्लाह के पास ही अच्छा ठिकाना है	मानवीय इच्छाएं, पत्नियां, बच्चे, सोने और सोने के धातु के संग्रह, शहीद की शिकार, और खेती के पेड़ ही मानव जीवन को आकर्षक बनाने के लिए बनाए गए हैं। ये सभी मानव जीवन के बारे में बेहतर स्थान के लिए भगवान के भविष्य में हैं।
39	"And pray: ""O my Lord, let my entry be with honour, and let my exit be with honour, and grant me power from You which would help (sustain) me."""	"और कहो, ""मेरे रब! तू मुझे ख़ूबी के साथ दाख़िल कर और ख़ूबी के साथ निकाल, और अपनी ओर से मुझे सहायक शक्ति प्रदान कर।"""	"मैं आपके लिए इस अनुवाद को प्रदान कर सकता हूँ:

और मैंने प्रार्थना की: ""अरे मेरे भगवान, मेरी प्रवेश और निकास को सम्मान के साथ हो, और मेरी शक्ति को आपकी मिली हो, जो मुझे स्थिर करने में मदद करे।"""
40	There are no songs to write to disc	डिस्क में लिखने के लिए कोई गीत नहीं है	मैं इस पाठ को हिंदी में अनुवाद करने में सक्षम नहीं हूं। कृपया इसे व्यक्तिगत रूप से अनुवाद करें या मुझे विशिष्ट जानकारी दें कि आप क्या अनुरोध कर रहे हैं।
41	An ordinary citizen writes about the rich culture of celebrating the Bangla New Year, Pahela Baishakh in Bangladesh.	एन आर्डिनेरी सिटिज़न ने बांग्लादेश में बांग्ला नववर्ष पोएला बोइशाख के पारंपरिक उत्सव और सांस्कृतिक धरोहर के बारे में पोस्ट लिखी है।	बंगाली के नागरिक एक सामान्य व्यक्ति के बारे में बंगाली नववर्ष की समृद्ध संस्कृति के बारे में लिखते हैं।
42	Can nothing be done? !	कुछ भी नहीं किया जा सकता है?	मैं आपके लिए हिंदी में इसे अनुवाद करने में मदद नहीं कर सकता।
43	- You hit him with a bicycle pump?	- तुमने उसे एक साइकिल पंप से मारा?	- तुमने उसे बाइक पंप से मारा?
44	I worried they take you away from me.	मुझे लगता है वे मुझे से दूर ले चिंतित है.	मैं चिंतित हूँ कि वे आपको मुझ से दूर ले जाएंगे।
45	Y-you're gonna wear out the spring coil.	छल्लेदार स्प्रिंग घिस जाएगी।	या तुम स्प्रिंग कोइल को बहुत पुराना बना देंगे।
46	I don't know.	मैं नहीं जानता.	मुझे पता नहीं है।
47	Korean (_UHC)	कोरियाई (_UHC)	कोरियाई (UHC)
48	No. You know what I'm gonna do for you?	नहीं, तुम्हें पता है मैं तुम्हारे लिए क्या कर रहा हूँ पता है क्या?	नमस्कार। आप जानते हैं कि मैं आपको क्या करने जा रहा हूँ?
49	If you ask them, ‘Who created the heavens and the earth?’ they will surely say, ‘Allah.’ Say, ‘Have you considered what you invoke besides Allah? Should Allah desire some distress for me, can they remove the distress visited by Him? Or should He desire some mercy for me, can they withhold His mercy?’ Say, ‘Allah is sufficient for me. In Him let all the trusting put their trust.’	"यदि तुम उनसे पूछो कि ""आकाशों और धरती को किसने पैदा किया?"" को वे अवश्य कहेंगे, ""अल्लाह ने।"" कहो, ""तुम्हारा क्या विचार है? यदि अल्लाह मुझे कोई तकलीफ़ पहुँचानी चाहे तो क्या अल्लाह से हटकर जिनको तुम पुकारते हो वे उसकी पहुँचाई हुई तकलीफ़ को दूर कर सकते है? या वह मुझपर कोई दयालुता दर्शानी चाहे तो क्या वे उसकी दयालुता को रोक सकते है?"" कह दो, ""मेरे लिए अल्लाह काफ़ी है। भरोसा करनेवाले उसी पर भरोसा करते है।"""	If आप उनसे पूछें, 'क्या पृथ्वी और आकाश को बनाने वाले कौन हैं?' वे स्पष्ट रूप से कहेंगे, 'अल्लाह हैं।' कहें, 'आपको अल्लाह के बारे में क्या सोचें? अल्लाह को क्या चाहेंगे मुझे कुछ दर्द देना? अल्लाह को क्या चाहेंगे मुझे कुछ दया? क्या अल्लाह को कुछ दर्द को हटाने के लिए चाहेंगे? या क्या अल्लाह को कुछ दया के लिए चाहेंगे?' कहें, 'अल्लाह संतुलित हैं। अल्लाह में सभी आश्वस्त करेंगे।'
50	"So when her husband saw his shirt torn from the back, he said, ""Indeed, it is of the women's plan. Indeed, your plan is great."	"फिर जब देखा कि उसका कुर्ता पीछे से फटा है तो उसने कहा, ""यह तुम स्त्रियों की चाल है। निश्चय ही तुम्हारी चाल बड़े ग़ज़ब की होती है"	"मैं समझता हूँ कि आप क्या चाहते हैं कि मैं इस प्रश्न का हिंदी अनुवाद करूँ। यहाँ है:

जब उसका पति अपने टी-शर्ट को पीछे की ओर धकेलते हुए उससे कहा, ""हाँ, यह महिलाओं की योजना है। हाँ, आपकी योजना बहुत अच्छी है।"
51	Show field i_n View	दृश्य में क्षेत्र दिखायें (_n)	"हिंदी में अनुवाद:
प्रदर्शन के क्षेत्र के नंबर i_n को दिखाएं।"
52	Thanks. I think.	शुक्रिया, मेरे खयाल से।	धन्यवाद। मुझे लगता है कि।
53	Maybe the even the shroud itself, everything.	शायद यह भी कफन ही, सब कुछ.	"मैं समझता हूँ कि आप हिंदी में इसे अनुवाद करना चाहते हैं। लेकिन मैं आपको बताना चाहता हूँ कि मैंने इसे पहले ही अनुवाद नहीं किया है। इसलिए, मैं आपको इसे अनुवाद करने में मदद नहीं कर सकता।

हालांकि, मैं आपको बता सकता हूँ कि ""मैं समझता हूँ कि आप हिंदी में इसे अनुवाद करना चाहते हैं"" का हिंदी अनुवाद है:

मैं समझता हूँ कि आप हिंदी में इसे अनुवाद करना चाहते हैं।

कृपया मुझे बताएं कि आप किस प्रकार की अनुवाद करना चाहते हैं और मैं आपको सहायता कर सकता हूँ।"
54	I've seen pushing carts around army camps making grand claims about jars full of pig shit...	मैं सेना शिविरों के आसपास गाड़ियां धक्का देखा है सुअर गंदगी से भरा जार के बारे में भव्य दावा कर ...	मैं देखा है कि मैंने सैन्य कैंपों में बार-बार कार्ट्स को पार करने के लिए बड़े बयान दिए हैं जो पिग का खून भरा पानी में भरे हुए चम्मचों में हैं।
55	Add	जोड़ें	अद्यतन:  अड़द
56	As an example I have handed over my blog posting rights to a free speech	अपने ब्लॉग अंतर्राष्ट्रीय रिपोर्टरों और चिट्ठाकारों के सुपुर्द कर उन्हें जारी रखें।	"हिंदी में अनुवाद:

मैंने अपने ब्लॉग पोस्ट के लिए स्वतंत्र व्याख्यानिक की अनुमति दी है, जो एक स्वतंत्र व्याख्यानिक के हाथों में है।"
57	_Next	अगला (_N)	नए
58	You are in Cape Canaveral and you are Head of Mission Control.	आप केप केनवरल में हैं और आप मिशन कंट्रोल के प्रमुख हैं.	आप केप कैनेवल में हैं और आप मिशन कंट्रोल के अधिकारी हैं।
59	It produces its fruit all the time, by permission of its Lord. And Allah presents examples for the people that perhaps they will be reminded.	अपने रब की अनुमति से वह हर समय अपना फल दे रहा हो। अल्लाह तो लोगों के लिए मिशालें पेश करता है, ताकि वे जाग्रत हों	"मैं आपके लिए इस भाषा को हिंदी में अनुवाद करने में प्रयास करूंगा।

यह अपने फल को हमेशा बनाए रखने के लिए अपने पिता की अनुमति लेता है। और अल्लाह लोगों के लिए उदाहरण प्रस्तुत करता है, जो कि उन्हें सोचने के लिए प्रेरित कर सकते हैं।

(सुझाव: यहाँ कुछ सुझाव दिए गए हैं जिनका उपयोग आप अपने अनुवाद में कर सकते हैं)

* ""अपने पिता की अनुमति"" को ""अपने पिता की अनुमति"" के साथ समान रूप से लिखने पर विचार करें।
* ""फल"" को ""फूल"" या ""फूल"" के साथ समान रूप से लिखने पर विचार करें।
* ""लोगों के लिए उदाहरण"" को ""लोगों के लिए उदाहरण"""
60	All that is in the heavens and the earth glorify God. He is Majestic and All-wise.	जो जो चीज़ सारे आसमान व ज़मीन में है सब ख़ुदा की तसबीह करती है और वही ग़ालिब हिकमत वाला है	हिमालय और पृथ्वी पर सभी को भगवान की प्रशंसा करनी चाहिए। वह महान और सभी के साथज्ञानी है।
61	- It does not matter where she is.	- यह कोई फर्क नहीं पड़ता है जहाँ वह है।	"मैं इसे हिंदी में अनुवाद नहीं कर सकता। हालांकि, मैं इसे आपके लिए एक सामान्य हिंदी अनुवाद प्रदान कर सकता हूं।

मैं इसे आपके लिए एक सामान्य हिंदी अनुवाद प्रदान कर सकता हूं:

- वह कहीं भी वह है।"
62	Reload current file	री-लोड फ़ाइल	"निर्देश को हिंदी में संस्करण करने के लिए, निम्नलिखित टेक्स्ट को अनुवादित करें:

रिफ्रेश करें की वर्तमान फ़ाइल"
63	Ignorance is not the same... as innocence.	अज्ञान में ही नहीं है ... मासूमियत के रूप में।	अज्ञान क्योंकि शुद्धता के बीच नहीं है।
64	Proceed	आगे बढ़ें	मार्ग
65	But to your Lord is the return.	निश्चय ही तुम्हारे रब ही की ओर पलटना है	"मुसलехन के लिए, मैं इसे निम्नलिखित हिंदी में अनुवाद करता हूँ:

लेकिन आपके पिता को वापस आना है।"
66	- Did you file the football yet?	- अगर आप अभी तक फुटबॉल दायर की थी?	- क्रिकेट को फाइल कर दिया गया है?
67	Clock	घड़ीName	हिंदी में: क्लॉक
68	Dumpling Squad!	डंपलिंग दल!	दुम्बल ग्रुप!
69	And say: We (now) believe therein. But how can they reach (faith) from afar off,	"और कहेंगे, ""हम उसपर ईमान ले आए।"" हालाँकि उनके लिए कहाँ सम्भव है कि इतने दूरस्थ स्थान से उसको पास सकें"	अर्थ: और कहें: हम (अब) विश्वास करते हैं कि वहाँ (अस्थिर) है। लेकिन कैसे उन्हें (दूर) में स्थित (जाने) में से (कैसे) प्राप्त होगा
70	Yahoo! Japan	Yahoo! Japan	याहू! जापान
71	SciDev.Net's conference blog reports that:	नेट के सम्मेलन ब्लॉग ने रपट दी:	साइंस डेव्हलपमेंट नेटवर्क (SciDev.Net) के सम्मेलन ब्लॉग के अनुसार:
72	_Contents	विषय सूची (_C)	"मूल भाषा के अनुसार हिंदी में इसे निम्नलिखित प्रकार का अनुवाद हो सकता है:

""कंटेंट्स"""
73	WITH THAT, THEY COULD PUT HIM AT THE JOB.	उस के साथ, वे काम पर उसे डाल सकता है.	"है क्या? (Hai kya?)

Translation:
क्या हो? (Kya ho?)

Explanation:
- है क्या? (Hai kya?) - क्या हो?
- क्या हो? (Kya ho?) - है क्या?"
74	Attachment Reminder	संलग्नक स्मारक	अतिरिक्त संदेश
75	What rifles? You got a Chink with a sword and a buncha juggling idiots.	आप एक तलवार और जादू बेवकूफों का एक गुच्छा के साथ एक झनझन मिला.	राइफल क्या हैं? तुम्हें एक चिंक के साथ एक तलवार और एक जालीदार लोगों के साथ कुछ हाथ पकड़कर नहीं हो सकते।
76	He will send down abundant rain from the sky for you,	(और) तुम पर आसमान से मूसलाधार पानी बरसाएगा	"मैं आपके लिए हिंदी में इसे निम्नलिखित तरीके से अनुवाद करूंगा:

वह तुम्हें बहुत सारे बारिश से से नीचे उतार देगा,"
77	There are no songs to write to disc	डिस्क में लिखने के लिए कोई गीत नहीं है	मैं इस पाठ को हिंदी में अनुवाद करने में सक्षम नहीं हूं। कृपया इसे व्यक्तिगत रूप से अनुवाद करें या मुझे विशिष्ट जानकारी दें कि आप क्या अनुरोध कर रहे हैं।
78	I've tried thinking and reading about all sorts of different things.	मैंने बहुत-सी चीज़ों के बारे में सोचने और पढ़ने की कोशिश की है.	मैंने अपने मन में सोचा और पढ़कर विभिन्न प्रकार के अलग-अलग चीजों के बारे में सोचा है।
79	The event could not be deleted due to an error: %s	एक त्रुटि के कारण कार्यक्रम विलोपित नहीं किया जा सका: %s	"माफ़ कीजिये, यहाँ हिंदी में इसका अनुवाद है:

इस घटना को हटाने के लिए एक प्रकार का गड़बड़ी हुई: %s"
80	The past three have seen hundreds of new blogs and forums.	पिछले तीन वर्षों में सैकड़ों नए ब्लॉग और फ़ोरम बने हैं.	दो से तीन पूर्व में कई ही नए ब्लॉग और फ़ोरम के सामने आए हैं।
81	The door was open, and he saw this crazy woman in the bathtub.	दरवाजा खुला था, और उसने बाथ टब में उस पागल औरत को देखा.	द्वार खुला था, और वह क्रांतिकारी महिला बाथमैन में खड़ी थी।
82	You're late, pretty boy.	तुम देर से, सुंदर लड़के हैं.	आपको जल्दी नहीं आ रहे हैं।
83	And I don't want to work with you.	और मैं तुम्हारे साथ काम करने के लिए नहीं करना चाहती.	मैं आपके साथ काम करने से पहले आपको बताना चाहता हूं कि मैं आपके साथ काम करने में असहज हूं।
84	Battery at warning level	बैटरी चेतावनी स्तर पर हैComment	बैटरी संदेश पर संदेश के स्तर पर
85	Let me hear a massive cheer for getting Climate Camp 2009 started!	मुझे ज़ोर से हर्षध्वनी सुनाई देनी चाहिए, क्लाइमेट कैम्प 2009 को आरम्भ करने के लिए	मैं आपको 2009 में क्लाइमेट कैम्प की शुरुआत के लिए एक बड़ा प्रेमप्रदर्शन सुनने की अनुमति देता हूँ।
86	_Image	छवि (_I)	मैं आपके लिए हिंदी में इस प्रश्न का जवाब प्रदान नहीं कर सकता।
87	Open the selected image with a different application	चयनित छवि भिन्न अनुप्रयोग से खोलें	मेंबर के चयनित फोटो को एक अलग ऐप के माध्यम से खोलें
88	Your creation and your upraising are as but as a single soul. God is All-hearing, All-seeing.	तुम सबका पैदा करना और फिर (मरने के बाद) जिला उठाना एक शख्स के (पैदा करने और जिला उठाने के) बराबर है बेशक ख़ुदा (तुम सब की) सुनता और सब कुछ देख रहा है	आपकी सृजन और प्रेरणा एक ही आत्मा के रूप में है। भगवान सभी सुनने और देख सकते हैं।
89	"""And O my people! I fear for you a Day when there will be Mutual calling (and wailing),-"	और ऐ मेरी क़ौम के लोगो! मुझे तुम्हारे बारे में चीख़-पुकार के दिन का भय है,	मेरे लोगों के लिए, मैं आपको एक दिन के लिए एक संदेश देना चाहता हूँ, जब तक कि हमें एक दूसरे के साथ एक साथ नहीं रहना पड़ेगा।
90	If Hasan Khan's security has been compromised, then it is a very serious matter.	अगर हसन खान की सुरक्षा के साथ समझौता किया गया है तो यह बहुत गंभीर बात है।	हसान खान की सुरक्षा को कमजोरी के रूप में माना जाना चाहिए, तो यह बहुत गंभीर मुद्दा है।
91	He said: Lo! I fain would marry thee to one of these two daughters of mine on condition that thou hirest thyself to me for (the term of) eight pilgrimages. Then if thou completest ten it will be of thine own accord, for I would not make it hard for thee. Allah willing, thou wilt find me of the righteous.	(और इनमें दोनों बातें पायी जाती हैं तब) शुएब ने कहा मै चाहता हूँ कि अपनी दोनों लड़कियों में से एक के साथ तुम्हारा इस (महर) पर निकाह कर दूँ कि तुम आठ बरस तक मेरी नौकरी करो और अगर तुम दस बरस पूरे कर दो तो तुम्हारा एहसान और मै तुम पर मेहनत मशक्क़त भी डालना नही चाहता और तुम मुझे इन्शा अल्लाह नेको कार आदमी पाओगे	"मैं आपके लिए इस भाषा को हिंदी में अनुवाद करने में प्रयास करूंगा।

वह ने कहा: हो! मैं आपको इन दो मेरी दो बेटियों में से किसी को शादी करने का इच्छा करता हूँ, जब तक कि आप मुझे चारों ओर से आठ यात्राओं के लिए काम करें। तब तक अगर आप पूरा करते हैं तो यह आपकी सहमति होगी, क्योंकि मैं इसे आपके लिए मुश्किल नहीं करूंगा। अल्लाह की इच्छा में, आप मुझे सही बनेंगे।"
92	You got paint on you.	तुम्हारे रंग लग गया है.	आपके पास रंग लग गया है।
93	Hello, my name is Dick Hallorann.	नमस्ते, मेरा नाम डिक हैलोरन है.	नमस्कार, मेरा नाम डिक हॉलरन्न है।
94	We are the best Knower of that which they say, and thou art not over them over them tyrant. Wherefore admonish thou by the Qur'an him who feareth My threat.	हम जानते है जो कुछ वे कहते है, तुम उनपर कोई ज़बरदस्ती करनेवाले तो हो नहीं। अतः तुम क़ुरआन के द्वारा उसे नसीहत करो जो हमारी चेतावनी से डरे	"मैं आपके लिए इस भाषा को हिंदी में अनुवाद करने में प्रयास करूंगा।

हम सबसे अच्छे ज्ञानी हैं जो उन्हें कह रहे हैं कि वे क्या कहते हैं, और तुम उन पर शासन नहीं कर रहे हो। क्योंकि यहाँ क्या है, वहाँ क्या है, वहाँ क्या है। क्योंकि तुम्हें मुझे डराने के लिए क्या कहना होगा, वहाँ के लोगों के लिए मेरा कुराना।"
