	Unnamed: 0.1	Unnamed: 0	Source_Dialogue	Reference	MT
10	10	10	Is it cool like Phil's?	यह अच्छा है फिल की तरह है?	assistant.
11	11	11	Whether the current stream is seekable	क्या मौजूदा स्ट्रीम seekable है	assistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistant
12	12	12	You let two unknown men enter this house uninvited.	आप दो अज्ञात पुरुषों इस घर बिन बुलाए दर्ज करें.	"assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant."
13	13	13	This whole situation is completely fucked.	यह पूरी स्थिति पूरी तरह से गड़बड़ है.	assistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistant
14	14	14	Google Talk Home Name 3	गूगल टाक होम नाम 3	assistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistant
15	15	15	All prisoners report for Lockdown.	सभी कैदी लॉकडाउन के लिए रिपोर्ट करो.	assistant.
16	16	16	Did not the disbelievers observe that the heavens and the earth were together, so We parted them, and we made every living thing from water? So will they not accept faith?	जो लोग काफिर हो बैठे क्या उन लोगों ने इस बात पर ग़ौर नहीं किया कि आसमान और ज़मीन दोनों बस्ता (बन्द) थे तो हमने दोनों को शिगाफ़ता किया (खोल दिया) और हम ही ने जानदार चीज़ को पानी से पैदा किया इस पर भी ये लोग ईमान न लाएँगे	assistant.
17	17	17	Turn the siren off.	आप ठीक हो जाएगा रहे हैं, अरे नहीं;	assistant.
18	18	18	Name:	नाम: Refresh every [NUMERIC_ENTRY] [TIME_UNITS_COMBO]	assistant.
19	19	19	We should go to a hospital.	हम एक अस्पताल जाना चाहिए।	assistant.
20	20	20	Whoa! So... What is your...	तो तुम्हारी योजना क्या है?	assistant.
21	21	21	I'm not going to drink it.	मैं इसे पीने के लिए नहीं जा रहा हूँ।	"assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant."
22	22	22	Do they say: “He has forged a lie against Allah?” If Allah so wanted He could seal up your heart. Allah blots out falsehood and confirms the truth by His Words. He is well aware of all the secrets hidden in the breasts (of people).	क्या ये लोग (तुम्हारी निस्बत कहते हैं कि इस (रसूल) ने ख़ुदा पर झूठा बोहतान बाँधा है तो अगर (ऐसा) होता तो) ख़ुदा चाहता तो तुम्हारे दिल पर मोहर लगा देता (कि तुम बात ही न कर सकते) और ख़ुदा तो झूठ को नेस्तनाबूद और अपनी बातों से हक़ को साबित करता है वह यक़ीनी दिलों के राज़ से ख़ूब वाक़िफ है	Did.
23	23	23	No, but I traded the BMW in for a Mercedes four fucking weeks ago, remember?	लेकिन मर्सिडीज़ के लिए उसका सौदा किया था। याद है चार हफ़्ते पहले।	assistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistant
24	24	24	- No. Not here!	- यहाँ नहीं नहीं!	assistant.
25	25	25	It shall insistently summon him who turned his back and retreated,	(और) उन लोगों को अपनी तरफ बुलाती होगी	"assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant."
26	26	26	And we've gathered around for that.	और हम उसके लिए चारों ओर इकट्ठा किया है।	assistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistant
27	27	27	MURPH:	MURPH:	assistant.
28	28	28	And the mountains – how they have been established?	और पहाड़ों की तरफ़ कि किस तरह खड़े किए गए हैं	"assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant."
29	29	29	Bold	गाढ़ा	"assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant."
30	30	30	And he is going to say the word that I have prepared for you.	और वह मैं आप के लिए तैयार किया है कि शब्द कहने जा रहा है.	"assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant."
31	31	31	Configure external packages	कॉन्फ़िगर संकुल	"assistantassistant.
assistantassistant.
assistantassistant.
assistantassistant.
assistantassistant.
assistantassistant.
assistantassistant.
assistantassistant.
assistantassistant.
assistantassistant.
assistantassistant.
assistantassistant.
assistantassistant.
assistantassistant.
assistantassistant.
assistantassistant.
assistantassistant.
assistantassistant.
assistantassistant.
assistantassistant.
assistantassistant.
assistantassistant.
assistantassistant.
assistantassistant.
assistantassistant.
assistantassistant.
assistantassistant.
assistantassistant.
assistantassistant.
assistantassistant.
assistantassistant.
assistantassistant.
assistantassistant.
assistantassistant.
assistantassistant.
assistantassistant.
assistantassistant.
assistantassistant.
assistantassistant.
assistantassistant.
assistantassistant.
assistantassistant.
assistantassistant.
assistantassistant.
assistantassistant.
assistantassistant.
assistantassistant.
assistantassistant.
assistantassistant.
assistantassistant.
assistantassistant.
assistantassistant.
assistantassistant.
assistantassistant.
assistantassistant.
assistantassistant.
assistantassistant.
assistantassistant.
assistantassistant.
assistantassistant.
assistantassistant.
assistantassistant.
assistantassistant.
assistantassistant."
32	32	32	The bank, which declined to comment on the suspensions, confirmed this month that it has received requests for information from regulators.	बैंक ने निलम्बन के बारे में टिप्पणी करने से इन्कार करते हुए पुष्टि की है कि बैंक को इस महीने विनियामकों से सूचना के लिए अनुरोध प्राप्त हुआ है।	"assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant."
33	33	33	What! Do those who seek after evil ways think that We shall hold them equal with those who believe and do righteous deeds,- that equal will be their life and their death? Ill is the judgment that they make.	जो लोग बुरा काम किया करते हैं क्या वह ये समझते हैं कि हम उनको उन लोगों के बराबर कर देंगे जो ईमान लाए और अच्छे अच्छे काम भी करते रहे और उन सब का जीना मरना एक सा होगा ये लोग (क्या) बुरे हुक्म लगाते हैं	Did. Do the following following following following following following following following following following.
34	34	34	Ignore him. He's senile.	ये तो सठीया गए हैं	assistant.
35	35	35	Failed to get the DN for user '%s'	DN को उपयोक्ता '%s' के लिए पाने में विफल	assistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistant
36	36	36	Your names	EMAIL OF TRANSLATORS	"assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant.
assistant."
37	37	37	translator-credits	राजेश रंजन (rajeshkajha@yahoo.com, rranjan@redhat.com)%d hit(s) on this page	assistant.
38	38	38	Worldly desires, wives, children, accumulated treasures of gold and silver, horses of noble breed, cattle, and farms are all made to seem attractive to men. All these are the bounties of the worldly life but in the life to come God has the best place for people to dwell.	मनुष्यों को चाहत की चीजों से प्रेम शोभायमान प्रतीत होता है कि वे स्त्रिमयाँ, बेटे, सोने-चाँदी के ढेर और निशान लगे (चुने हुए) घोड़े हैं और चौपाए और खेती। यह सब सांसारिक जीवन की सामग्री है और अल्लाह के पास ही अच्छा ठिकाना है	assistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistantassistant
39	39	39	"And pray: ""O my Lord, let my entry be with honour, and let my exit be with honour, and grant me power from You which would help (sustain) me."""	"और कहो, ""मेरे रब! तू मुझे ख़ूबी के साथ दाख़िल कर और ख़ूबी के साथ निकाल, और अपनी ओर से मुझे सहायक शक्ति प्रदान कर।"""	assistant.
