	prompt
20	"Translate following English dialogue to Hindi.
Source Sentence:
The movie, featuring Ryan Gosling and Emma Stone, received nominations in all major categories.
Target:
जिस फिल्म में रायन गोज़लिंग और एम्मा स्टोन ने मुख्य भूमिकाएँ निभाई हैं, उसे सभी प्रमुख श्रेणियों में नॉमिनेशन किया गया है."
21	"Translate following English dialogue to Hindi.
Source Sentence:
Gosling and Stone received nominations for Best Actor and Actress respectively.
Target:
गोसलिंग और स्टोन को क्रमशः सर्वश्रेष्ठ अभिनेता और अभिनेत्री के लिए नामांकन मिला है."
22	"Translate following English dialogue to Hindi.
Source Sentence:
The other nominations include Best Picture, Director, Cinematography, Costume Design, Film-editing, Original Score, Production Design, Sound Editing, Sound Mixing and Original Screenplay.
Target:
अन्य नामांकनों में बेस्ट पिक्चर, डायरेक्टर, सिनेमेटोग्राफ़ी, कॉस्ट्यूम डिज़ाइन, फ़िल्म-संपादन, मूल स्कोर, प्रोडक्शन डिज़ाइन, ध्वनि संपादन, ध्वनि मिश्रण और ओरिजनल स्क्रीनप्ले शामिल हैं."
23	"Translate following English dialogue to Hindi.
Source Sentence:
Two songs from the movie, Audition (The Fools Who Dream) and City of Stars, received nominations for best original song. Lionsgate studio received 26 nominations — more than any other studio.
Target:
ऑडिशन (द फ़ूल्स हू ड्रीम) और सिटी ऑफ़ स्टार्स के दो गानो को सर्वश्रेष्ठ मूल गीत के लिए नामांकन मिला. किसी भी अन्य स्टूडियो से ज़्यादा — लायंसगेट स्टूडियो को 26 नामांकन मिले."
24	"Translate following English dialogue to Hindi.
Source Sentence:
Late on Sunday, the United States President Donald Trump, in a statement delivered via the press secretary, announced US troops would be leaving Syria.
Target:
रविवार को देर शाम, यूनाइटेड स्टेट्स के राष्ट्रपति डोनाल्ड ट्रंप ने प्रेस सेक्रेटरी के ज़रिए दिए बयान में बताया कि यूएस सेना सीरिया को छोड़ने वाली है."
25	"Translate following English dialogue to Hindi.
Source Sentence:
The announcement was made after Trump had a phone conversation with Turkish President Recep Tayyip Erdoğan.
Target:
तुर्की के राष्ट्रपति रजब तैयब इरदुगान के साथ ट्रंप की फ़ोन पर चर्चा होने के बाद घोषणा की गई थी."
26	"Translate following English dialogue to Hindi.
Source Sentence:
Turkey would also take over guarding captured ISIS fighters which, the statement said, European nations have refused to repatriate.
Target:
तुर्की ने आईएसआईएस के लड़ाकों को पकड़ना और निगरानी करना शुरू कर दिया है, बयान में कहा गया है कि यूरोपीय देशों ने प्रत्यावर्तन करने से इन्कार कर दिया है."
27	"Translate following English dialogue to Hindi.
Source Sentence:
This not only confirms that at least some dinosaurs had feathers, a theory already widespread, but provides details fossils generally cannot, such as color and three-dimensional arrangement.
Target:
यह न केवल इसकी पुष्टि करता है कि कम से कम कुछ डायनासोर के पंख थे, एक सिद्धांत पहले से ही प्रचलित है, लेकिन यह ऐसी जानकारी प्रदान करता जो जीवाश्म आमतौर पर नहीं कर सकते, जैसे रंग और तीन आयामी अरेंजमेंट."
28	"Translate following English dialogue to Hindi.
Source Sentence:
. Scientists say this animal's plumage was chestnut-brown on top with a pale or carotenoid-colored underside.
Target:
वैज्ञानिकों का यह कहना है कि इस जानवर के रोमछिद्र भूरे और कैरोटीनॉयड के नीचे का रंग भूरा-भूरा था।"
29	"Translate following English dialogue to Hindi.
Source Sentence:
The find also grants insight into the evolution of feathers in birds.
Target:
यह खोज पक्षियों में पंखों के विकास की पूरी जानकारी भी प्रदान करती है."
30	"Translate following English dialogue to Hindi.
Source Sentence:
Because the dinosaur feathers do not have a well-developed shaft, called a rachis, but do have other features of feathers — barbs and barbules — the researchers inferred the rachis was likely a later evolutionary development that these other features.
Target:
हालाँकि, डायनासोर के पंखों के शाफ्ट पूरी तरह से विकसित नहीं होते हैं और उन्हें रैचिस कहा जाता है. लेकिन उनके पंखों में बार्ब्स और बार्बुल्स जैसी अन्य खूबियाँ होती हैं. शोधकर्ताओं ने अनुमान लगाया है कि डायनासोर की अन्य खूबियों की तरह शायद रैचिस भी बाद में विकसित हुए होंगे."
31	"Translate following English dialogue to Hindi.
Source Sentence:
The feathers' structure suggests that they were not used in flight but rather for temperature regulation or display. The researchers suggested that, even though this is the tail of a young dinosaur, the sample shows adult plumage and not a chick's down.
Target:
पंखों की संरचना से पता चलता है कि उनका उपयोग उड़ान में नहीं, बल्कि तापमान विनियमन या प्रदर्शन के लिए किया जाता था। शोधकर्ताओं ने सुझाव दिया कि, भले ही यह एक युवा डायनासोर की पूँछ हो, लेकिन नमूना वयस्क साहुल दर्शाता है ना कि बच्चे का निचला हिस्सा।"
32	"Translate following English dialogue to Hindi.
Source Sentence:
The researchers suggested that, even though this is the tail of a young dinosaur, the sample shows adult plumage and not a chick's down.
Target:
शोधकर्ताओं ने सुझाव दिया कि, भले ही यह किसी छोटे डायनासोर की पूंछ है, लेकिन नमूना वयस्क के पंख का लगता है ना कि किसी बच्चे का।"
33	"Translate following English dialogue to Hindi.
Source Sentence:
A car bomb detonated at police headquarters in Gaziantep, Turkey yesterday morning killed two police officers and injured more than twenty other people.
Target:
कल सुबह तुर्की के गाज़ियाँटेप में पुलिस मुख्यालय में एक कार बम विस्फोट हुआ, जिसमें दो पुलिस अधिकारी मारे गए और बीस से अधिक लोग घायल हुए."
34	"Translate following English dialogue to Hindi.
Source Sentence:
The governor's office said nineteen of the injured were police officers.
Target:
राज्यपाल के कार्यालय ने बताया कि घायलों में से उन्नीस पुलिस अधिकारी थे।"
35	"Translate following English dialogue to Hindi.
Source Sentence:
Police said they suspect an alleged Daesh (ISIL) militant of responsibility for the attack.
Target:
पुलिस ने कहा कि उन्हें हमले के लिए ज़िम्मेदार कथित डाएश (आईएसआईएल) लड़ाकों पर संदेह है."
36	"Translate following English dialogue to Hindi.
Source Sentence:
They found the Sun operated on the same basic principles as other stars: The activity of all stars in the system was found to be driven by their luminosity, their rotation, and nothing else.
Target:
उन्होंने पाया कि सूर्य अन्य सितारों के समान मूल सिद्धांतों पर संचालित होता है: मंडल के सभी सितारों की गतिविधि उनके प्रकाश, उनके परिक्रमण द्वारा संचालित थी, किसी और कारण से नहीं।"
37	"Translate following English dialogue to Hindi.
Source Sentence:
The luminosity and rotation are used together to determine a star's Rossby number, which is related to plasma flow.
Target:
एक तारे की रॉस्बी संख्या, जो प्लाज़्मा फ़्लो से संबंधित है, का पता लगाने के लिए उसकी चमक और रोटेशन का एक साथ इस्तेमाल किया जाता है,"
38	"Translate following English dialogue to Hindi.
Source Sentence:
The smaller the Rossby number, the less active the star with respect to magnetic reversals.
Target:
रॉस्बी संख्या जितनी छोटी होगी, चुंबकीय उत्क्रमण के संबंध में तारा उतना ही कम सक्रिय होगा."
39	"Translate following English dialogue to Hindi.
Source Sentence:
During his trip, Iwasaki ran into trouble on many occasions.
Target:
अपनी यात्रा के दौरान, इवासाकी कई मौकों पर परेशानियों में फंस गया था."
40	"Translate following English dialogue to Hindi.
Source Sentence:
He was robbed by pirates, attacked in Tibet by a rabid dog, escaped marriage in Nepal and was arrested in India.
Target:
उसे समुद्री डाकुओं ने लूटा था, तिब्बत में पागल कुत्ते ने हमला किया, नेपाल में शादी से भाग निकला और भारत में गिरफ्तार कर लिया गया।"
41	"Translate following English dialogue to Hindi.
Source Sentence:
The 802.11n standard operates on both the 2.4Ghz and 5.0Ghz frequencies.
Target:
802.11n मानक दोनों 2.4 गीगाहर्टज़ और 5.0 गीगाहर्टज़ आवृत्तियों पर काम करता है."
42	"Translate following English dialogue to Hindi.
Source Sentence:
This will allow it to be backwards compatible with 802.11a, 802.11b and 802.11g, provided that the base station has dual radios.
Target:
यह इसे 802.11a, 802.11b और 802.11g के साथ पीछे की ओर संगत करने की अनुमति देगा, बशर्ते कि बेस स्टेशन में दोहरे रेडियो हों."
43	"Translate following English dialogue to Hindi.
Source Sentence:
The speeds of 802.11n are substantially faster than that of its predecessors with a maximum theoretical throughput of 600Mbit/s.
Target:
600 मेगाबिट/सेकंड के अधिकतम थियोरिटीकल थ्रोपुट के साथ 802.11n की गति अपने पहले वाले चालकों से उल्लेखनीय रूप से बहुत तेज़ है."
44	"Translate following English dialogue to Hindi.
Source Sentence:
Duvall, who is married with two adult children, did not leave a big impression on Miller, to whom the story was related.
Target:
डुवैल, जो विवाहित है और उसके दो वयस्क बच्चे हैं, उसने मिलर पर बड़ा असर नहीं किया, जिस से कहानी संबंधित है."
45	"Translate following English dialogue to Hindi.
Source Sentence:
When asked for comment, Miller said, ""Mike talks a lot during the hearing...I was getting ready so I wasn't really hearing what he was saying.""
Target:
जब टिप्पणी के लिए कहा गया, तो मिलर ने कहा, “माइक सुनते समय बहुत सारी बातें करता है ... मैं तैयार हो रहा था इसलिए वह जो कह रहा था मैं वास्तव में उसे सुन नहीं रहा था”."
46	"Translate following English dialogue to Hindi.
Source Sentence:
""We will endeavour to cut carbon dioxide emissions per unit of GDP by a notable margin by 2020 from the 2005 level,"" Hu said.
Target:
“हू ने कहा, हम 2005 के स्तर से 2020 तक उल्लेखनीय अंतर से सकल घरेलू उत्पाद की प्रति यूनिट कार्बन डाइऑक्साइड उत्सर्जन में कटौती करने का प्रयास करेंगे."
47	"Translate following English dialogue to Hindi.
Source Sentence:
He did not set a figure for the cuts, saying they will be made based on China's economic output.
Target:
यह कहते हुए कि वे चीन के आर्थिक उत्पादन के आधार पर बनाए जाएँगे, उन्होंने कटौती के लिए कोई आँकड़ा निर्धारित नहीं किया."
48	"Translate following English dialogue to Hindi.
Source Sentence:
Hu encouraged developing countries ""to avoid the old path of polluting first and cleaning up later.""
Target:
हू ने विकासशील देशों को “ पुराने तरीकों से प्रदूषण फैलाने से रोकने और बाद में सफाई करने के लिए प्रोत्साहित किया।”"
49	"Translate following English dialogue to Hindi.
Source Sentence:
He added that ""they should not, however, be asked to take on obligations that go beyond their development stage, responsibility and capabilities.""
Target:
उन्होंने आगे कहा कि “हालाँकि, उन्हें ऐसे दायित्व लेने के लिए नहीं कहा जाना चाहिए जो उनके विकास के चरण, जिम्मेदारी और क्षमताओं से परे हैं.”"
50	"Translate following English dialogue to Hindi.
Source Sentence:
The Iraq Study Group presented its report at 12.00 GMT today.
Target:
आज 12.00 GMT पर इराक स्टडी ग्रुप ने अपनी रिपोर्ट प्रस्तुत की."
51	"Translate following English dialogue to Hindi.
Source Sentence:
It warns No one can guarantee that any course of action in Iraq at this point will stop sectarian warfare, growing violence, or a slide toward chaos.
Target:
यह चेतावनी देता है कि कोई भी इस बात की गारंटी नहीं दे सकता कि इस स्थिति में इराक में किसी भी तरह की कार्रवाई से सांप्रदायिक युद्ध, बढ़ती हिंसा या अराजकता पर लगाम लगेगी."
52	"Translate following English dialogue to Hindi.
Source Sentence:
The Report opens with plea for open debate and the formation of a consensus in the United States about the policy towards the Middle East.
Target:
खुली बहस और मध्य पूर्व की ओर नीति के बारे में संयुक्त राज्य अमेरिका में आम सहमति बनाने के लिए रिपोर्ट एक याचिका के साथ खुलती है."
53	"Translate following English dialogue to Hindi.
Source Sentence:
The Report is highly critical of almost every aspect of the present policy of the Executive towards Iraq and it urges an immediate change of direction.
Target:
यह रिपोर्ट इराक के प्रति प्रशासन की वर्तमान नीति के लगभग सभी पहलुओं के प्रति बेहद आलोचनात्मक है और यह इसकी दिशा में तत्काल परिवर्तन का आग्रह करती है।"
54	"Translate following English dialogue to Hindi.
Source Sentence:
First among its 78 recommendations is that a new diplomatic initiative should be taken before the end of this year to secure Iraq’s borders against hostile interventions and to re-establish diplomatic relations with its neighbors.
Target:
78 सुझावों में से सबसे पहला सुझाव यह है कि शत्रुतापूर्ण हस्तक्षेपों के खिलाफ इराक की सीमाओं को सुरक्षित करने और अपने पड़ोसियों के साथ कूटनीतिक संबंधों को फिर से बनाने के लिए, ये साल खत्म होने से पहले कोई नई राजनयिक पहल की जानी चाहिए."
55	"Translate following English dialogue to Hindi.
Source Sentence:
Current senator and Argentine First Lady Cristina Fernandez de Kirchner announced her presidential candidacy yesterday evening in La Plata, a city 50 kilometers (31 miles) away from Buenos Aires.
Target:
वर्तमान सीनेटर और अर्जेंटीना की प्रथम महिला क्रिस्टीना फ़र्नांडीज़ डी किर्चनेर ने कल शाम ब्यूनस आयर्स से 50 किलोमीटर (31 मील) दूर शहर ला प्लाटा में अपने राष्ट्रपति पद की उम्मीदवारी की घोषणा की."
56	"Translate following English dialogue to Hindi.
Source Sentence:
Mrs. Kirchner announced her intention to run for president at the Argentine Theatre, the same location she used to start her 2005 campaign for the Senate as member of the Buenos Aires province delegation.
Target:
श्रीमती किरचनर ने अर्जेंटीना थियेटर में राष्ट्रपति की दौड़ में शामिल होने की घोषणा की, उसी स्थान से उन्होंने ब्यूनस आयर्स प्रांत के प्रतिनिधिमंडल के सदस्य के रूप में सीनेट के लिए अपना 2005 का अभियान शुरू किया था।"
57	"Translate following English dialogue to Hindi.
Source Sentence:
The debate was sparked by controversy over spending on relief and reconstruction in the wake Hurricane Katrina; which some fiscal conservatives have humorously labeled ""Bush's New Orleans Deal.""
Target:
तूफ़ान कैटरीना के मद्देनज़र राहत और पुनर्निर्माण पर चल रहे लंबे विवाद से बहस छिड़ गई थी; जिसमें कुछ राजकोषीय रूढ़िवादियों ने “बुश की न्यू ऑरलियन्स डील” का मज़ाक बनाया है."
58	"Translate following English dialogue to Hindi.
Source Sentence:
Liberal criticism of the reconstruction effort has focused on the awarding of reconstruction contracts to perceived Washington insiders.
Target:
पुनर्निर्माण की कोशिश की स्पष्ट आलोचना वॉशिंगटन के कथित घनिष्ट लोगों को पुनर्निर्माण के ठेके दिए जाने पर केंद्रित रही है."
59	"Translate following English dialogue to Hindi.
Source Sentence:
Over four million people went to Rome to attend the funeral.
Target:
अंतिम संस्कार में शामिल होने के लिए, चार मिलियन से ज़्यादा लोग रोम गए."
60	"Translate following English dialogue to Hindi.
Source Sentence:
The number of people present was so large that it was not possible for everybody to gain access to the funeral in St. Peter's Square.
Target:
मौजूद लोगों की संख्या इतनी बड़ी थी कि सेंट पीटर्स स्क्वायर में अंतिम संस्कार के लिए हर किसी के लिए पहुँच पाना मुमकिन नहीं था."
61	"Translate following English dialogue to Hindi.
Source Sentence:
Several large television screens were installed in various places in Rome to let the people watch the ceremony.
Target:
रोम में अलग-अलग जगहों पर कई बड़े टेलीविज़न स्क्रीन लगाए गए ताकि लोग समारोह देख सकें."
62	"Translate following English dialogue to Hindi.
Source Sentence:
In many other cities of Italy and in the rest of the world, particularly in Poland, similar setups were made, which were viewed by a great number of people.
Target:
इटली के कई अन्य शहरों और दुनिया के बाकी हिस्सों में, खासकर पोलैंड में, इस तरह के सेटअप बनाए गए थे, जिन्हें बड़ी संख्या में लोगों ने देखा था।"
63	"Translate following English dialogue to Hindi.
Source Sentence:
Historians have criticized past FBI policies for focusing resources on cases which are easy to solve, especially stolen car cases, with the intent of boosting the agency's success rate.
Target:
इतिहासकारों ने उन मामलों पर संसाधनों को केंद्रित करने के लिए एफबीआई की पिछली नीतियों की आलोचना की है जो एजेंसी की सफलता की दर को बढ़ाने के इरादे से हल करना आसान है,विशेष रूप से कार चोरी के मामलेा।"
64	"Translate following English dialogue to Hindi.
Source Sentence:
Congress began funding the obscenity initiative in fiscal 2005 and specified that the FBI must devote 10 agents to adult pornography.
Target:
कांग्रेस ने वित्त वर्ष 2005 में अश्लीलता के लिए निधिकरण शुरू किया और निर्दिष्ट किया कि एफबीआई को वयस्क पोर्नोग्राफी के लिए 10 एजेंटों को समर्पित करना चाहिए।"
65	"Translate following English dialogue to Hindi.
Source Sentence:
Robin Uthappa made the innings highest score, 70 runs in just 41 balls by hitting 11 fours and 2 sixes.
Target:
रॉबिन उथप्पा ने केवल 41 गेंदों में 11 चौकों और 2 छक्कों की मदद से 70 रन बना कर पारी का सर्वोच्च स्कोर बनाया."
66	"Translate following English dialogue to Hindi.
Source Sentence:
Middle order batsmen, Sachin Tendulkar and Rahul Dravid, performed well and made a hundred-run partnership.
Target:
मध्य क्रम के बल्लेबाज सचिन तेंदुलकर और राहुल द्रविड़ ने अच्छा प्रदर्शन किया और शतकीय साझेदारी बनाई."
67	"Translate following English dialogue to Hindi.
Source Sentence:
But, after losing the captain's wicket India only made 36 runs loosing 7 wickets to end the innings.
Target:
लेकिन, कप्तान का विकेट गँवाने के बाद भारत ने पारी समाप्ति तक 7 विकेट खोकर केवल 36 रन ही बनाए।"
68	"Translate following English dialogue to Hindi.
Source Sentence:
U.S. President George W. Bush arrived in Singapore the morning of November 16, beginning a week-long tour of Asia.
Target:
अमेरिकी राष्ट्रपति जॉर्ज डब्ल्यू बुश एशिया के एक हफ़्ते के दौरे की शुरुआत करते हुए 16 नवंबर की सुबह सिंगापुर पहुँचे."
69	"Translate following English dialogue to Hindi.
Source Sentence:
He was greeted by Singapore's Deputy Prime Minister Wong Kan Seng and discussed trade and terrorism issues with the Singapore Prime Minister Lee Hsien Loong.
Target:
उनका सिंगापुर के उप-प्रधान मंत्री वोंग कान सेंग ने स्वागत किया और उन्होंने सिंगापुर के प्रधानमंत्री ली सिएन लूंग के साथ व्यापार और आतंकवाद के मामले पर बातचीत की."
70	"Translate following English dialogue to Hindi.
Source Sentence:
After a week of losses in the midterm election, Bush told an audience about the expansion of trade in Asia.
Target:
मध्यावधि चुनाव में एक हफ्ते तक हारने के बाद, बुश ने लोगों को एशिया में व्यापार के विस्तार के बारे में बताया।"
71	"Translate following English dialogue to Hindi.
Source Sentence:
Prime Minister Stephen Harper has agreed to send the government's 'Clean Air Act' to an all-party committee for review, before its second reading, after Tuesday's 25 minute meeting with NDP leader Jack Layton at the PMO.
Target:
प्रधान मंत्री स्टीफन हार्पर ने, पीएमओ में एनडीपी नेता जैक लेटन के साथ मंगलवार की 25 मिनट की बैठक के बाद, अपनी दूसरी रीडिंग से पहले समीक्षा के लिए सरकार के 'स्वच्छ वायु अधिनियम' (क्लिन एयर ऐक्ट) को एक सर्वदलीय समिति को भेजने पर सहमति व्यक्त की है."
72	"Translate following English dialogue to Hindi.
Source Sentence:
Layton had asked for changes to the conservatives' environmental bill during the meeting with the PM, asking for a ""thorough and complete rewriting"" of the Conservative party's environmental bill.
Target:
लेटन ने पीएम से मुलाकात के दौरान कंज़र्वेटिव पार्टी के पर्यावरण बिल में बदलाव के लिए कहा था. अब कंज़र्वेटिव पार्टी के पर्यावरण बिल को “पूरी तरह से फिर से लिखने” के लिए कहा जा रहा है."
73	"Translate following English dialogue to Hindi.
Source Sentence:
Ever since the Federal Government stepped in to take over funding of the Mersey hospital in Devonport, Tasmania, the state government and some federal MPs have criticised this act as a stunt in the prelude to the federal election to be called by November.
Target:
जब संघीय सरकार ने डेवोनपोर्ट, तस्मानिया में मर्सी अस्पताल का वित्तपोषण करने के लिए कदम उठाया, तब राज्य सरकार और कुछ संघीय सांसदों ने नवंबर तक बुलाए जाने वाले संघीय चुनाव की प्रस्तावना में इस कार्य की आलोचना की."
74	"Translate following English dialogue to Hindi.
Source Sentence:
But Prime Minister John Howard has said the act was only to safeguard the facilities of the hospital from being downgraded by the Tasmanian government, in giving an extra AUD$45 million.
Target:
लेकिन प्रधानमंत्री जॉन हॉवर्ड ने कहा है कि यह अधिनियम केवल अस्पताल की सुविधाओं को तस्मानियाई सरकार द्वारा नीचे गिरने से बचाने के लिए अतिरिक्त AUD $45 मिलियन देने के लिए था."
